Line    	 Rest_wv 	 Center  	 dCenter 	 Amp     	         dAmp    	 Sigma    	 dSig     	 Flux    	         dFlux   	 Pos     	 dPos    	 Vel     	 Rel_Vel 	         dVel    	 flu_per 	 fwhm    
[OI]a   	 6300.300	 6366.083	    0.252	 9.295e-17	         9.276e-18	    2.526	    0.233	 5.886e-16	 8.006e-17	  -15.245	            0.378	 3113.858	 3113.858	   11.883	   13.602	    5.949
[OI]b   	 6363.800	 6430.246	    0.252	 2.998e-17	         9.276e-18	    2.526	    0.233	 1.899e-16	 6.131e-17	  -15.245	            0.378	 3113.858	 3113.858	   11.764	   32.288	    5.949
[NII]b  	 6548.100	 6616.203	    0.295	 3.501e-16	         1.364e-16	    2.378	    0.245	 2.086e-15	 8.410e-16	          -15.245	    0.378	 3101.754	 3101.754	   13.360	           40.312	    5.599
Halpha  	 6562.800	 6631.014	    0.252	 1.543e-15	         1.885e-16	    2.313	    0.199	 8.948e-15	 1.336e-15	          -15.245	    0.378	 3099.879	 3099.879	   11.386	           14.934	    5.447
[NII]a  	 6583.500	 6651.971	    0.295	 1.015e-15	         1.364e-16	    2.390	    0.245	 6.083e-15	 1.029e-15	          -15.245	    0.378	 3101.754	 3101.754	   13.288	           16.908	    5.629
[SII]a  	 6716.400	 6786.284	    0.571	 2.746e-16	         8.905e-17	    2.002	    0.500	 1.378e-15	 5.641e-16	          -15.245	    0.378	 3103.112	 3103.112	   25.217	           40.927	    4.715
[SII]b  	 6730.800	 6800.834	    0.571	 1.646e-16	         7.487e-17	    2.006	    0.500	 8.277e-16	 4.293e-16	          -15.245	    0.378	 3103.112	 3103.112	   25.163	           51.873	    4.725
Hbeta   	 4861.000	 4911.973	    0.190	 1.968e-16	         2.860e-17	    1.960	    0.117	 9.668e-16	 1.519e-16	          -15.245	    0.378	 3127.198	 3127.198	   11.581	           15.708	    4.616
[OIII]49	 4959.000	 5010.626	    0.349	 2.059e-17	         1.392e-17	    2.005	    0.305	 1.035e-16	 7.170e-17	          -15.245	    0.378	 3104.783	 3104.783	   20.872	           69.267	    4.722
[OIII]50	 5007.000	 5059.127	    0.349	 6.178e-17	         1.392e-17	    2.005	    0.305	 3.105e-16	 8.441e-17	          -15.245	    0.378	 3104.841	 3104.841	   20.672	           27.183	    4.722
[OI]a   	 6300.300	 6366.083	    0.252	 9.295e-17	         9.276e-18	    2.526	    0.233	 5.886e-16	 8.006e-17	          -15.245	    0.378	 3113.858	 3113.858	   11.883	           13.602	    5.949
[OI]b   	 6363.800	 6430.246	    0.252	 2.998e-17	         9.276e-18	    2.526	    0.233	 1.899e-16	 6.131e-17	          -15.245	    0.378	 3113.858	 3113.858	   11.764	           32.288	    5.949
[NII]b  	 6548.100	 6616.203	    0.295	 3.501e-16	         1.364e-16	    2.378	    0.245	 2.086e-15	 8.410e-16	          -15.245	    0.378	 3101.754	 3101.754	   13.360	           40.312	    5.599
Halpha  	 6562.800	 6631.014	    0.252	 1.543e-15	         1.885e-16	    2.313	    0.199	 8.948e-15	 1.336e-15	          -15.245	    0.378	 3099.879	 3099.879	   11.386	           14.934	    5.447
[NII]a  	 6583.500	 6651.971	    0.295	 1.015e-15	         1.364e-16	    2.390	    0.245	 6.083e-15	 1.029e-15	          -15.245	    0.378	 3101.754	 3101.754	   13.288	           16.908	    5.629
[SII]a  	 6716.400	 6786.284	    0.571	 2.746e-16	         8.905e-17	    2.002	    0.500	 1.378e-15	 5.641e-16	          -15.245	    0.378	 3103.112	 3103.112	   25.217	           40.927	    4.715
[SII]b  	 6730.800	 6800.834	    0.571	 1.646e-16	         7.487e-17	    2.006	    0.500	 8.277e-16	 4.293e-16	          -15.245	    0.378	 3103.112	 3103.112	   25.163	           51.873	    4.725
Hbeta   	 4861.000	 4911.973	    0.190	 1.968e-16	         2.860e-17	    1.960	    0.117	 9.668e-16	 1.519e-16	          -15.245	    0.378	 3127.198	 3127.198	   11.581	           15.708	    4.616
[OIII]49	 4959.000	 5010.626	    0.349	 2.059e-17	         1.392e-17	    2.005	    0.305	 1.035e-16	 7.170e-17	          -15.245	    0.378	 3104.783	 3104.783	   20.872	           69.267	    4.722
[OIII]50	 5007.000	 5059.127	    0.349	 6.178e-17	         1.392e-17	    2.005	    0.305	 3.105e-16	 8.441e-17	          -15.245	    0.378	 3104.841	 3104.841	   20.672	           27.183	    4.722
