WV      	 Sigma   
4176.646	    0.016
4177.397	    0.010
4178.147	    0.022
4178.898	    0.030
4179.649	    0.036
4180.400	    0.040
4181.151	    0.043
4181.902	    0.045
4182.653	    0.045
4183.405	    0.043
4184.157	    0.038
4184.908	    0.032
4185.660	    0.028
4186.412	    0.025
4187.164	    0.028
4187.917	    0.035
4188.669	    0.042
4189.422	    0.044
4190.174	    0.043
4190.927	    0.037
4191.680	    0.025
4192.433	    0.042
4193.186	    0.050
4193.940	    0.045
4194.693	    0.014
4195.447	    0.018
4196.201	    0.017
4196.955	    0.059
4197.709	    0.056
4198.463	    0.037
4199.217	    0.012
4199.972	    0.031
4200.726	    0.026
4201.481	    0.040
4202.236	    0.044
4202.991	    0.030
4203.746	    0.007
4204.501	    0.018
4205.257	    0.010
4206.012	    0.039
4206.768	    0.051
4207.524	    0.042
4208.280	    0.031
4209.036	    0.037
4209.792	    0.033
4210.548	    0.016
4211.305	    0.024
4212.061	    0.034
4212.818	    0.032
4213.575	    0.033
4214.332	    0.032
4215.089	    0.032
4215.846	    0.014
4216.604	    0.007
4217.361	    0.018
4218.119	    0.024
4218.877	    0.023
4219.635	    0.039
4220.393	    0.044
4221.151	    0.035
4221.910	    0.010
4222.668	    0.010
4223.427	    0.010
4224.186	    0.007
4224.945	    0.032
4225.704	    0.021
4226.463	    0.017
4227.222	    0.029
4227.982	    0.029
4228.741	    0.012
4229.501	    0.033
4230.261	    0.041
4231.021	    0.020
4231.781	    0.021
4232.542	    0.025
4233.302	    0.031
4234.063	    0.012
4234.823	    0.012
4235.584	    0.014
4236.345	    0.021
4237.106	    0.035
4237.868	    0.035
4238.629	    0.031
4239.390	    0.024
4240.152	    0.023
4240.914	    0.010
4241.676	    0.016
4242.438	    0.021
4243.200	    0.016
4243.963	    0.033
4244.725	    0.021
4245.488	    0.022
4246.250	    0.021
4247.013	    0.037
4247.776	    0.036
4248.540	    0.026
4249.303	    0.024
4250.066	    0.025
4250.830	    0.029
4251.594	    0.036
4252.357	    0.051
4253.121	    0.037
4253.886	    0.033
4254.650	    0.032
4255.414	    0.034
4256.179	    0.038
4256.944	    0.021
4257.708	    0.012
4258.473	    0.028
4259.238	    0.043
4260.004	    0.036
4260.769	    0.031
4261.535	    0.030
4262.300	    0.029
4263.066	    0.040
4263.832	    0.047
4264.598	    0.050
4265.364	    0.028
4266.130	    0.029
4266.897	    0.043
4267.664	    0.052
4268.430	    0.029
4269.197	    0.034
4269.964	    0.029
4270.731	    0.017
4271.499	    0.007
4272.266	    0.030
4273.034	    0.035
4273.801	    0.037
4274.569	    0.039
4275.337	    0.026
4276.105	    0.035
4276.874	    0.042
4277.642	    0.046
4278.411	    0.047
4279.179	    0.042
4279.948	    0.041
4280.717	    0.042
4281.486	    0.035
4282.255	    0.045
4283.025	    0.050
4283.794	    0.050
4284.564	    0.032
4285.334	    0.007
4286.104	    0.018
4286.874	    0.033
4287.644	    0.042
4288.414	    0.031
4289.185	    0.034
4289.955	    0.042
4290.726	    0.052
4291.497	    0.054
4292.268	    0.052
4293.039	    0.045
4293.811	    0.035
4294.582	    0.053
4295.354	    0.050
4296.125	    0.052
4296.897	    0.056
4297.669	    0.056
