WV      	 Sigma   
4259.984	    0.059
4260.688	    0.059
4261.392	    0.059
4262.096	    0.060
4262.800	    0.061
4263.505	    0.061
4264.209	    0.062
4264.914	    0.062
4265.618	    0.062
4266.323	    0.063
4267.028	    0.064
4267.733	    0.064
4268.439	    0.065
4269.144	    0.065
4269.849	    0.065
4270.555	    0.066
4271.261	    0.067
4271.966	    0.094
4272.672	    0.090
4273.378	    0.063
4274.084	    0.014
4274.791	    0.089
4275.497	    0.085
4276.204	    0.050
4276.910	    0.048
4277.617	    0.070
4278.324	    0.067
4279.031	    0.076
4279.738	    0.078
4280.445	    0.071
4281.152	    0.059
4281.860	    0.024
4282.567	    0.036
4283.275	    0.054
4283.983	    0.065
4284.691	    0.116
4285.399	    0.107
4286.107	    0.084
4286.815	    0.064
4287.523	    0.085
4288.232	    0.071
4288.940	    0.061
4289.649	    0.062
4290.358	    0.055
4291.067	    0.027
4291.776	    0.027
4292.485	    0.047
4293.194	    0.062
4293.904	    0.070
4294.613	    0.067
4295.323	    0.059
4296.033	    0.044
4296.743	    0.048
4297.453	    0.058
4298.163	    0.069
4298.873	    0.079
4299.583	    0.065
4300.294	    0.084
4301.004	    0.098
4301.715	    0.104
4302.426	    0.094
4303.137	    0.089
4303.848	    0.092
4304.559	    0.097
4305.270	    0.103
4305.982	    0.094
4306.693	    0.090
4307.405	    0.091
4308.117	    0.094
4308.829	    0.085
4309.541	    0.083
4310.253	    0.094
4310.965	    0.097
4311.677	    0.081
4312.390	    0.076
4313.102	    0.098
4313.815	    0.106
4314.528	    0.101
4315.241	    0.075
4315.954	    0.069
4316.667	    0.084
4317.380	    0.098
4318.094	    0.098
4318.807	    0.069
4319.521	    0.047
4320.235	    0.017
4320.949	    0.049
4321.663	    0.058
4322.377	    0.069
4323.091	    0.063
4323.805	    0.045
4324.520	    0.030
4325.234	    0.024
4325.949	    0.042
4326.664	    0.069
4327.379	    0.088
4328.094	    0.083
4328.809	    0.059
4329.524	    0.054
4330.240	    0.059
4330.955	    0.062
4331.671	    0.070
4332.387	    0.066
4333.103	    0.066
4333.819	    0.071
4334.535	    0.081
4335.251	    0.064
4335.968	    0.046
4336.684	    0.033
4337.401	    0.044
4338.117	    0.054
4338.834	    0.061
4339.551	    0.072
4340.268	    0.086
4340.985	    0.104
4341.703	    0.094
4342.420	    0.068
4343.138	    0.022
4343.855	    0.070
4344.573	    0.102
4345.291	    0.112
4346.009	    0.099
4346.727	    0.056
4347.445	    0.055
4348.164	    0.073
4348.882	    0.075
4349.601	    0.059
4350.320	    0.054
4351.039	    0.057
4351.758	    0.081
4352.477	    0.115
4353.196	    0.142
4353.915	    0.130
4354.635	    0.073
4355.354	    0.065
4356.074	    0.060
4356.794	    0.022
4357.514	    0.098
4358.234	    0.101
4358.954	    0.081
4359.674	    0.065
4360.394	    0.111
4361.115	    0.105
4361.836	    0.103
4362.556	    0.099
4363.277	    0.090
4363.998	    0.043
4364.719	    0.057
4365.441	    0.055
4366.162	    0.019
4366.883	    0.060
4367.605	    0.065
4368.327	    0.067
4369.049	    0.059
4369.771	    0.045
4370.493	    0.014
4371.215	    0.017
4371.937	    0.035
4372.660	    0.033
4373.382	    0.017
4374.105	    0.054
4374.828	    0.025
4375.550	    0.017
4376.273	    0.032
4376.997	    0.052
4377.720	    0.040
4378.443	    0.070
4379.167	    0.079
4379.890	    0.073
4380.614	    0.037
4381.338	    0.041
4382.062	    0.054
4382.786	    0.024
4383.510	    0.073
4384.235	    0.109
4384.959	    0.105
4385.684	    0.108
4386.408	    0.112
4387.133	    0.114
4387.858	    0.080
4388.583	    0.010
4389.308	    0.040
4390.034	    0.035
4390.759	    0.090
4391.485	    0.087
4392.210	    0.053
4392.936	    0.014
4393.662	    0.014
4394.388	    0.022
4395.114	    0.027
4395.840	    0.051
4396.567	    0.077
4397.293	    0.102
4398.020	    0.102
4398.747	    0.076
4399.473	    0.091
4400.200	    0.105
4400.928	    0.098
4401.655	    0.071
4402.382	    0.069
4403.110	    0.082
