Line    	 Rest_wv 	 Center  	 dCenter 	 Amp     	         dAmp    	 Sigma    	 dSig     	 Flux    	         dFlux   	 Pos     	 dPos    	 Vel     	 Rel_Vel 	         dVel    	 flu_per 	 fwhm    
[OI]a   	 6300.300	 6365.604	    0.109	 2.225e-16	         1.399e-17	    1.861	    0.092	 1.038e-15	 8.292e-17	   -1.907	            0.553	 3091.317	 3091.317	    5.138	    7.990	    4.383
[OI]b   	 6363.800	 6429.762	    0.109	 7.177e-17	         1.399e-17	    1.861	    0.092	 3.348e-16	 6.731e-17	   -1.907	            0.553	 3091.317	 3091.317	    5.086	   20.104	    4.383
[NII]b  	 6548.100	 6615.456	    0.503	 3.825e-16	         3.478e-16	    1.895	    0.399	 1.817e-15	 1.696e-15	           -1.907	    0.553	 3067.901	 3067.901	   22.790	           93.322	    4.463
Halpha  	 6562.800	 6630.359	    0.382	 2.367e-15	         5.756e-16	    1.902	    0.291	 1.129e-14	 3.243e-15	           -1.907	    0.553	 3070.235	 3070.235	   17.254	           28.730	    4.480
[NII]a  	 6583.500	 6651.220	    0.503	 1.109e-15	         3.478e-16	    1.906	    0.399	 5.299e-15	 1.998e-15	           -1.907	    0.553	 3067.901	 3067.901	   22.668	           37.700	    4.487
[SII]a  	 6716.400	 6785.405	    0.733	 3.517e-16	         2.161e-16	    1.580	    0.498	 1.393e-15	 9.617e-16	           -1.907	    0.553	 3064.286	 3064.286	   32.394	           69.050	    3.720
[SII]b  	 6730.800	 6799.953	    0.733	 2.288e-16	         1.777e-16	    1.583	    0.498	 9.081e-16	 7.610e-16	           -1.907	    0.553	 3064.286	 3064.286	   32.325	           83.795	    3.728
Hbeta   	 4861.000	 4912.020	    0.267	 1.758e-16	         3.192e-17	    1.647	    0.204	 7.257e-16	 1.595e-16	           -1.907	    0.553	 3130.039	 3130.039	   16.323	           21.985	    3.879
[OIII]49	 4959.000	 5010.546	    0.479	 1.452e-17	         1.317e-17	    1.831	    0.364	 6.664e-17	 6.189e-17	           -1.907	    0.553	 3099.958	 3099.958	   28.640	           92.866	    4.311
[OIII]50	 5007.000	 5059.046	    0.479	 4.356e-17	         1.317e-17	    1.831	    0.364	 1.999e-16	 7.238e-17	           -1.907	    0.553	 3100.016	 3100.016	   28.365	           36.201	    4.311
