WV      	 Sigma   
4176.646	    0.073
4177.397	    0.078
4178.147	    0.081
4178.898	    0.083
4179.649	    0.083
4180.400	    0.082
4181.151	    0.078
4181.902	    0.072
4182.653	    0.066
4183.405	    0.059
4184.157	    0.059
4184.908	    0.065
4185.660	    0.076
4186.412	    0.087
4187.164	    0.096
4187.917	    0.104
4188.669	    0.085
4189.422	    0.089
4190.174	    0.090
4190.927	    0.085
4191.680	    0.067
4192.433	    0.032
4193.186	    0.032
4193.940	    0.066
4194.693	    0.060
4195.447	    0.065
4196.201	    0.063
4196.955	    0.028
4197.709	    0.061
4198.463	    0.059
4199.217	    0.051
4199.972	    0.024
4200.726	    0.072
4201.481	    0.074
4202.236	    0.069
4202.991	    0.053
4203.746	    0.055
4204.501	    0.049
4205.257	    0.045
4206.012	    0.053
4206.768	    0.044
4207.524	    0.059
4208.280	    0.066
4209.036	    0.040
4209.792	    0.045
4210.548	    0.044
4211.305	    0.044
4212.061	    0.056
4212.818	    0.075
4213.575	    0.073
4214.332	    0.068
4215.089	    0.059
4215.846	    0.043
4216.604	    0.018
4217.361	    0.026
4218.119	    0.070
4218.877	    0.067
4219.635	    0.056
4220.393	    0.044
4221.151	    0.034
4221.910	    0.065
4222.668	    0.060
4223.427	    0.054
4224.186	    0.054
4224.945	    0.030
4225.704	    0.028
4226.463	    0.026
4227.222	    0.024
4227.982	    0.034
4228.741	    0.034
4229.501	    0.050
4230.261	    0.076
4231.021	    0.044
4231.781	    0.053
4232.542	    0.050
4233.302	    0.035
4234.063	    0.056
4234.823	    0.034
4235.584	    0.028
4236.345	    0.044
4237.106	    0.055
4237.868	    0.028
4238.629	    0.050
4239.390	    0.052
4240.152	    0.052
4240.914	    0.034
4241.676	    0.034
4242.438	    0.021
4243.200	    0.026
4243.963	    0.026
4244.725	    0.053
4245.488	    0.067
4246.250	    0.026
4247.013	    0.034
4247.776	    0.026
4248.540	    0.015
4249.303	    0.035
4250.066	    0.054
4250.830	    0.015
4251.594	    0.049
4252.357	    0.045
4253.121	    0.049
4253.886	    0.050
4254.650	    0.038
4255.414	    0.038
4256.179	    0.052
4256.944	    0.035
4257.708	    0.011
4258.473	    0.038
4259.238	    0.051
4260.004	    0.051
4260.769	    0.043
4261.535	    0.026
4262.300	    0.056
4263.066	    0.080
4263.832	    0.066
4264.598	    0.018
4265.364	    0.063
4266.130	    0.059
4266.897	    0.072
4267.664	    0.075
4268.430	    0.037
4269.197	    0.047
4269.964	    0.026
4270.731	    0.026
4271.499	    0.067
4272.266	    0.059
4273.034	    0.050
4273.801	    0.041
4274.569	    0.035
4275.337	    0.024
4276.105	    0.041
4276.874	    0.038
4277.642	    0.011
4278.411	    0.024
4279.179	    0.028
4279.948	    0.045
4280.717	    0.054
4281.486	    0.047
4282.255	    0.045
4283.025	    0.032
4283.794	    0.026
4284.564	    0.060
4285.334	    0.079
4286.104	    0.067
4286.874	    0.052
4287.644	    0.051
4288.414	    0.011
4289.185	    0.054
4289.955	    0.072
4290.726	    0.080
4291.497	    0.064
4292.268	    0.049
4293.039	    0.028
4293.811	    0.018
4294.582	    0.011
4295.354	    0.098
4296.125	    0.096
4296.897	    0.078
4297.669	    0.065
4298.441	    0.086
4299.214	    0.068
4299.986	    0.058
4300.759	    0.075
4301.531	    0.083
4302.304	    0.083
4303.077	    0.072
4303.850	    0.051
4304.623	    0.034
4305.397	    0.045
4306.170	    0.065
4306.944	    0.077
4307.718	    0.054
4308.492	    0.060
4309.266	    0.085
4310.040	    0.092
4310.814	    0.071
4311.589	    0.053
4312.364	    0.075
4313.138	    0.077
4313.913	    0.060
4314.688	    0.066
4315.464	    0.081
4316.239	    0.075
4317.014	    0.059
4317.790	    0.048
4318.566	    0.081
4319.342	    0.080
4320.118	    0.078
4320.894	    0.083
4321.670	    0.092
4322.447	    0.094
4323.223	    0.092
4324.000	    0.089
4324.777	    0.099
4325.554	    0.111
4326.331	    0.100
4327.108	    0.081
4327.886	    0.078
4328.663	    0.081
4329.441	    0.083
4330.219	    0.077
4330.997	    0.055
4331.775	    0.050
4332.553	    0.044
4333.332	    0.034
4334.110	    0.030
4334.889	    0.057
4335.668	    0.086
4336.447	    0.081
4337.226	    0.075
4338.005	    0.082
4338.784	    0.107
4339.564	    0.077
4340.344	    0.056
4341.123	    0.060
4341.903	    0.075
4342.683	    0.070
4343.464	    0.045
4344.244	    0.018
4345.024	    0.064
4345.805	    0.058
4346.586	    0.056
4347.367	    0.057
4348.148	    0.062
4348.929	    0.061
4349.710	    0.069
4350.492	    0.075
4351.274	    0.077
4352.055	    0.075
4352.837	    0.078
4353.619	    0.070
4354.402	    0.058
4355.184	    0.047
4355.966	    0.051
4356.749	    0.075
4357.532	    0.074
4358.315	    0.063
4359.098	    0.060
4359.881	    0.040
4360.664	    0.067
4361.448	    0.073
4362.231	    0.054
4363.015	    0.094
4363.799	    0.091
4364.583	    0.102
4365.367	    0.109
4366.151	    0.074
4366.936	    0.076
4367.720	    0.076
4368.505	    0.072
4369.290	    0.062
4370.075	    0.049
4370.860	    0.097
4371.645	    0.092
4372.431	    0.079
4373.216	    0.101
4374.002	    0.072
4374.788	    0.090
4375.574	    0.097
4376.360	    0.089
4377.146	    0.062
4390.535	    0.053
4391.324	    0.067
4392.113	    0.095
4392.902	    0.077
4393.691	    0.064
4394.480	    0.070
4395.270	    0.073
4396.059	    0.045
4396.849	    0.058
4397.639	    0.073
4398.429	    0.063
4399.220	    0.075
4400.010	    0.075
4400.801	    0.079
4401.591	    0.088
4402.382	    0.103
4403.173	    0.087
4403.964	    0.069
4404.755	    0.063
4405.547	    0.076
4406.338	    0.072
4407.130	    0.094
4407.922	    0.102
4408.714	    0.105
4409.506	    0.106
4410.298	    0.072
4411.090	    0.058
4411.883	    0.065
4412.675	    0.088
4413.468	    0.127
4414.261	    0.083
4415.054	    0.054
4415.848	    0.050
4416.641	    0.074
4417.434	    0.092
4418.228	    0.067
4419.022	    0.072
4419.816	    0.079
4420.610	    0.072
4421.404	    0.044
4422.199	    0.081
4422.993	    0.096
4423.788	    0.100
4424.583	    0.090
4425.377	    0.080
4426.173	    0.066
4426.968	    0.052
4427.763	    0.045
4428.559	    0.055
4429.354	    0.034
4430.150	    0.032
4430.946	    0.034
4431.742	    0.030
4432.538	    0.055
4433.335	    0.060
4434.131	    0.050
4434.928	    0.038
4435.725	    0.048
4436.522	    0.051
4437.319	    0.050
4438.116	    0.049
4438.913	    0.044
4439.711	    0.032
4440.509	    0.056
4441.306	    0.053
4442.104	    0.041
4442.902	    0.015
4443.701	    0.035
4444.499	    0.011
4445.298	    0.037
4446.096	    0.047
4446.895	    0.034
4447.694	    0.062
4448.493	    0.064
4449.292	    0.055
4450.092	    0.045
4450.891	    0.040
4451.691	    0.059
4452.491	    0.011
4453.291	    0.030
4454.091	    0.045
4454.891	    0.041
4455.691	    0.064
4456.492	    0.032
4457.293	    0.018
4458.093	    0.015
4458.894	    0.034
4459.695	    0.061
4460.497	    0.061
4461.298	    0.050
4462.100	    0.028
4462.901	    0.018
4463.703	    0.052
4464.505	    0.064
4465.307	    0.065
4466.109	    0.053
4466.912	    0.024
4467.714	    0.063
4468.517	    0.054
4469.320	    0.047
4470.123	    0.041
4470.926	    0.044
4471.729	    0.015
4472.533	    0.034
4473.336	    0.032
4474.140	    0.069
4474.944	    0.078
4475.748	    0.072
4476.552	    0.067
4477.356	    0.062
4478.161	    0.058
4478.965	    0.059
4479.770	    0.065
4480.575	    0.072
4481.380	    0.078
4482.185	    0.081
4482.990	    0.080
4483.796	    0.075
4484.601	    0.067
4485.407	    0.058
4486.213	    0.052
4487.019	    0.053
4487.825	    0.057
4488.631	    0.064
4489.438	    0.069
4490.244	    0.072
4491.051	    0.072
4491.858	    0.071
4492.665	    0.067
4493.472	    0.063
4494.280	    0.058
4495.087	    0.050
4495.895	    0.038
4496.702	    0.015
4497.510	    0.035
4498.318	    0.044
4499.127	    0.044
4499.935	    0.056
4500.743	    0.066
4501.552	    0.052
4502.361	    0.024
4503.170	    0.040
4503.979	    0.037
4504.788	    0.035
4505.597	    0.043
4506.407	    0.037
4507.216	    0.043
4508.026	    0.049
4508.836	    0.045
4509.646	    0.028
4510.456	    0.028
4511.267	    0.045
4512.077	    0.024
4512.888	    0.041
4513.699	    0.034
4514.510	    0.026
4515.321	    0.040
4516.132	    0.072
4516.943	    0.068
4517.755	    0.074
4518.567	    0.072
4519.379	    0.055
4520.191	    0.038
4521.003	    0.044
4521.815	    0.050
4522.627	    0.051
4523.440	    0.044
4524.253	    0.028
4525.065	    0.015
4525.878	    0.018
4526.692	    0.011
4527.505	    0.011
4528.318	    0.041
4529.132	    0.050
4529.946	    0.035
4530.759	    0.024
4531.573	    0.050
4532.388	    0.064
4533.202	    0.028
4534.016	    0.040
4534.831	    0.058
4535.646	    0.057
4536.461	    0.034
4537.276	    0.015
