Line    	 Rest_wv 	 Center  	 dCenter 	 Amp     	         dAmp    	 Sigma    	 dSig     	 Flux    	         dFlux   	 Pos     	 dPos    	 Vel     	 Rel_Vel 	         dVel    	 flu_per 	 fwhm    
[OI]a   	 6300.300	 6362.270	    0.311	 4.920e-17	         6.668e-18	    2.296	    0.297	 2.831e-16	 5.307e-17	  -12.977	            0.378	 2934.255	 2934.255	   14.675	   18.745	    5.406
[OI]b   	 6363.800	 6426.394	    0.311	 1.587e-17	         6.668e-18	    2.296	    0.297	 9.133e-17	 4.015e-17	  -12.977	            0.378	 2934.255	 2934.255	   14.529	   43.964	    5.406
[NII]b  	 6548.100	 6611.777	    0.290	 4.854e-16	         2.714e-16	    1.731	    0.234	 2.106e-15	 1.211e-15	          -12.977	    0.378	 2901.162	 2901.162	   13.127	           57.521	    4.077
Halpha  	 6562.800	 6626.517	    0.172	 4.260e-15	         5.437e-16	    1.631	    0.131	 1.741e-14	 2.628e-15	          -12.977	    0.378	 2896.514	 2896.514	    7.792	           15.096	    3.840
[NII]a  	 6583.500	 6647.521	    0.290	 1.408e-15	         2.714e-16	    1.741	    0.234	 6.141e-15	 1.443e-15	          -12.977	    0.378	 2901.162	 2901.162	   13.057	           23.504	    4.099
[SII]a  	 6716.400	 6781.686	    0.478	 4.242e-16	         1.607e-16	    1.732	    0.393	 1.842e-15	 8.132e-16	          -12.977	    0.378	 2899.951	 2899.951	   21.118	           44.151	    4.079
[SII]b  	 6730.800	 6796.226	    0.478	 3.111e-16	         1.373e-16	    1.736	    0.393	 1.354e-15	 6.712e-16	          -12.977	    0.378	 2899.951	 2899.951	   21.073	           49.592	    4.087
Hbeta   	 4861.000	 4908.685	    0.157	 5.762e-16	         6.969e-17	    1.647	    0.100	 2.379e-15	 3.217e-16	          -12.977	    0.378	 2926.473	 2926.473	    9.558	           13.526	    3.878
[OIII]49	 4959.000	 5007.700	    0.434	 2.098e-17	         1.935e-17	    1.887	    0.342	 9.922e-17	 9.326e-17	          -12.977	    0.378	 2929.665	 2929.665	   25.989	           94.000	    4.443
[OIII]50	 5007.000	 5056.172	    0.434	 6.294e-17	         1.935e-17	    1.887	    0.342	 2.976e-16	 1.063e-16	          -12.977	    0.378	 2929.723	 2929.723	   25.740	           35.702	    4.443
