Line    	 Rest_wv 	 Center  	 dCenter 	 Amp     	     dAmp    	 Sigma    	 dSig     	 Flux    	     dFlux   	 Pos     	 dPos    	 Vel     	 Rel_Vel 	     dVel    	 flu_per 	 fwhm    
[OI]a   	 6300.300	 6360.882	    0.217	 4.764e-17	     5.522e-18	    1.864	    0.202	 2.227e-16	 3.533e-17	    2.843	        0.378	 2868.878	 2868.878	   10.246	   15.866	    4.390
[OI]b   	 6363.800	 6424.993	    0.217	 1.537e-17	     5.522e-18	    1.864	    0.202	 7.182e-17	 2.696e-17	    2.843	        0.378	 2868.878	 2868.878	   10.144	   37.530	    4.390
[NII]b  	 6548.100	 6611.739	    0.307	 3.556e-16	     1.758e-16	    2.152	    0.266	 1.918e-15	 9.772e-16	        2.843	    0.378	 2899.412	 2899.412	   13.924	       50.950	    5.067
Halpha  	 6562.800	 6626.333	    0.199	 2.623e-15	     3.198e-16	    2.000	    0.159	 1.315e-14	 1.913e-15	        2.843	    0.378	 2888.157	 2888.157	    9.008	       14.550	    4.709
[NII]a  	 6583.500	 6647.483	    0.307	 1.031e-15	     1.758e-16	    2.163	    0.266	 5.592e-15	 1.175e-15	        2.843	    0.378	 2899.412	 2899.412	   13.849	       21.006	    5.094
[SII]a  	 6716.400	 6781.525	    0.489	 2.988e-16	     1.023e-16	    1.989	    0.409	 1.490e-15	 5.949e-16	        2.843	    0.378	 2892.797	 2892.797	   21.600	       39.938	    4.684
[SII]b  	 6730.800	 6796.064	    0.489	 2.279e-16	     8.942e-17	    1.993	    0.409	 1.139e-15	 5.043e-16	        2.843	    0.378	 2892.797	 2892.797	   21.553	       44.286	    4.694
Hbeta   	 4861.000	 4907.906	    0.140	 3.471e-16	     3.119e-17	    1.990	    0.109	 1.731e-15	 1.820e-16	        2.843	    0.378	 2878.884	 2878.884	    8.542	       10.512	    4.686
[OIII]49	 4959.000	 5007.019	    0.507	 9.077e-18	     7.330e-18	    1.847	    0.433	 4.202e-17	 3.534e-17	        2.843	    0.378	 2888.870	 2888.870	   30.351	       84.096	    4.349
[OIII]50	 5007.000	 5055.484	    0.507	 2.723e-17	     7.330e-18	    1.847	    0.433	 1.261e-16	 4.500e-17	        2.843	    0.378	 2888.927	 2888.927	   30.060	       35.699	    4.349
