Line    	 Rest_wv 	 Center  	 dCenter 	 Amp     	     dAmp    	 Sigma    	 dSig     	 Flux    	     dFlux   	 Pos     	 dPos    	 Vel     	 Rel_Vel 	     dVel    	 flu_per 	 fwhm    
[OI]a   	 6300.300	 6360.942	    0.172	 2.510e-17	     4.475e-18	    1.021	    0.149	 6.426e-17	 1.481e-17	    6.620	        0.378	 2871.684	 2871.684	    8.129	   23.054	    2.405
[OI]b   	 6363.800	 6425.053	    0.172	 8.096e-18	     4.475e-18	    1.021	    0.149	 2.073e-17	 1.185e-17	    6.620	        0.378	 2871.684	 2871.684	    8.048	   57.171	    2.405
[NII]b  	 6548.100	 6611.523	    0.338	 4.062e-17	     1.982e-17	    2.344	    0.286	 2.386e-16	 1.200e-16	        6.620	    0.378	 2889.639	 2889.639	   15.336	       50.300	    5.519
Halpha  	 6562.800	 6626.465	    0.268	 2.167e-16	     3.033e-17	    2.308	    0.217	 1.254e-15	 2.114e-16	        6.620	    0.378	 2894.137	 2894.137	   12.128	       16.866	    5.434
[NII]a  	 6583.500	 6647.266	    0.338	 1.178e-16	     1.982e-17	    2.357	    0.286	 6.958e-16	 1.443e-16	        6.620	    0.378	 2889.639	 2889.639	   15.254	       20.742	    5.549
[SII]a  	 6716.400	 6781.384	    0.495	 4.098e-17	     1.370e-17	    1.975	    0.419	 2.029e-16	 8.031e-17	        6.620	    0.378	 2886.572	 2886.572	   21.871	       39.587	    4.650
[SII]b  	 6730.800	 6795.923	    0.495	 3.027e-17	     1.185e-17	    1.979	    0.419	 1.502e-16	 6.681e-17	        6.620	    0.378	 2886.572	 2886.572	   21.824	       44.486	    4.660
Hbeta   	 4861.000	 4907.881	    0.534	 4.118e-17	     1.382e-17	    2.035	    0.447	 2.101e-16	 8.427e-17	        6.620	    0.378	 2877.378	 2877.378	   32.622	       40.113	    4.793
[OIII]49	 4959.000	 5004.409	    0.583	 5.824e-18	     1.101e-17	    1.024	    0.458	 1.495e-17	 2.904e-17	        6.620	    0.378	 2732.571	 2732.571	   34.928	      194.266	    2.412
[OIII]50	 5007.000	 5052.849	    0.583	 1.747e-17	     1.101e-17	    1.024	    0.458	 4.485e-17	 3.465e-17	        6.620	    0.378	 2732.629	 2732.629	   34.593	       77.265	    2.412
