Line    	 Rest_wv 	 Center  	 dCenter 	 Amp     	     dAmp    	 Sigma    	 dSig     	 Flux    	     dFlux   	 Pos     	 dPos    	 Vel     	 Rel_Vel 	     dVel    	 flu_per 	 fwhm    
[OI]a   	 6300.300	 6360.382	    0.412	 6.292e-17	     8.575e-18	    3.009	    0.388	 4.746e-16	 8.907e-17	    0.675	        0.378	 2845.286	 2845.286	   19.426	   18.768	    7.086
[OI]b   	 6363.800	 6424.487	    0.412	 2.030e-17	     8.575e-18	    3.009	    0.388	 1.531e-16	 6.763e-17	    0.675	        0.378	 2845.286	 2845.286	   19.233	   44.175	    7.086
[NII]b  	 6548.100	 6611.093	    0.298	 3.528e-16	     1.442e-16	    2.328	    0.250	 2.059e-15	 8.699e-16	        0.675	    0.378	 2870.130	 2870.130	   13.534	       42.256	    5.481
Halpha  	 6562.800	 6625.831	    0.254	 1.660e-15	     1.999e-16	    2.404	    0.201	 1.000e-14	 1.467e-15	        0.675	    0.378	 2865.470	 2865.470	   11.480	       14.664	    5.660
[NII]a  	 6583.500	 6646.833	    0.298	 1.023e-15	     1.442e-16	    2.340	    0.250	 6.002e-15	 1.062e-15	        0.675	    0.378	 2870.130	 2870.130	   13.461	       17.685	    5.511
[SII]a  	 6716.400	 6781.003	    0.541	 2.739e-16	     7.993e-17	    2.365	    0.452	 1.624e-15	 5.664e-16	        0.675	    0.378	 2869.761	 2869.761	   23.894	       34.873	    5.570
[SII]b  	 6730.800	 6795.542	    0.541	 2.043e-16	     7.050e-17	    2.370	    0.452	 1.214e-15	 4.785e-16	        0.675	    0.378	 2869.761	 2869.761	   23.843	       39.417	    5.582
Hbeta   	 4861.000	 4907.647	    0.193	 2.654e-16	     3.275e-17	    2.039	    0.140	 1.357e-15	 1.914e-16	        0.675	    0.378	 2863.030	 2863.030	   11.800	       14.109	    4.803
[OIII]49	 4959.000	 5006.721	    0.399	 1.356e-17	     1.152e-17	    1.890	    0.358	 6.423e-17	 5.593e-17	        0.675	    0.378	 2871.063	 2871.063	   23.873	       87.081	    4.450
[OIII]50	 5007.000	 5055.184	    0.399	 4.068e-17	     1.152e-17	    1.890	    0.358	 1.927e-16	 6.567e-17	        0.675	    0.378	 2871.121	 2871.121	   23.644	       34.082	    4.450
