Line    	 Rest_wv 	 Center  	 dCenter 	 Amp     	     dAmp    	 Sigma    	 dSig     	 Flux    	     dFlux   	 Pos     	 dPos    	 Vel     	 Rel_Vel 	     dVel    	 flu_per 	 fwhm    
[OI]a   	 6300.300	 6359.611	    0.182	 7.854e-17	     7.641e-18	    1.993	    0.164	 3.924e-16	 4.999e-17	   -0.934	        0.378	 2808.954	 2808.954	    8.559	   12.739	    4.694
[OI]b   	 6363.800	 6423.709	    0.182	 2.534e-17	     7.641e-18	    1.993	    0.164	 1.266e-16	 3.957e-17	   -0.934	        0.378	 2808.954	 2808.954	    8.474	   31.260	    4.694
[NII]b  	 6548.100	 6610.359	    0.303	 4.382e-16	     2.423e-16	    1.849	    0.246	 2.031e-15	 1.155e-15	       -0.934	    0.378	 2836.873	 2836.873	   13.735	       56.888	    4.354
Halpha  	 6562.800	 6625.247	    0.216	 2.928e-15	     4.136e-16	    1.853	    0.168	 1.360e-14	 2.282e-15	       -0.934	    0.378	 2839.030	 2839.030	    9.770	       16.774	    4.364
[NII]a  	 6583.500	 6646.096	    0.303	 1.271e-15	     2.423e-16	    1.859	    0.246	 5.921e-15	 1.375e-15	       -0.934	    0.378	 2836.873	 2836.873	   13.661	       23.225	    4.377
[SII]a  	 6716.400	 6780.357	    0.486	 3.721e-16	     1.393e-16	    1.867	    0.389	 1.741e-15	 7.460e-16	       -0.934	    0.378	 2841.193	 2841.193	   21.468	       42.839	    4.396
[SII]b  	 6730.800	 6794.894	    0.486	 3.008e-16	     1.224e-16	    1.871	    0.389	 1.411e-15	 6.445e-16	       -0.934	    0.378	 2841.193	 2841.193	   21.422	       45.686	    4.406
Hbeta   	 4861.000	 4907.083	    0.122	 3.919e-16	     3.489e-17	    1.772	    0.087	 1.741e-15	 1.770e-16	       -0.934	    0.378	 2828.632	 2828.632	    7.478	       10.166	    4.174
[OIII]49	 4959.000	 5005.315	    0.288	 1.634e-17	     1.045e-17	    1.736	    0.248	 7.109e-17	 4.657e-17	       -0.934	    0.378	 2786.853	 2786.853	   17.272	       65.501	    4.087
[OIII]50	 5007.000	 5053.764	    0.288	 4.902e-17	     1.045e-17	    1.736	    0.248	 2.133e-16	 5.473e-17	       -0.934	    0.378	 2786.911	 2786.911	   17.107	       25.662	    4.087
