Line    	 Rest_wv 	 Center  	 dCenter 	 Amp     	     dAmp    	 Sigma    	 dSig     	 Flux    	     dFlux   	 Pos     	 dPos    	 Vel     	 Rel_Vel 	     dVel    	 flu_per 	 fwhm    
[OI]a   	 6300.300	 6360.695	    0.341	 5.358e-17	     7.121e-18	    2.577	    0.328	 3.461e-16	 6.366e-17	    1.332	        0.378	 2860.045	 2860.045	   16.064	   18.394	    6.068
[OI]b   	 6363.800	 6424.804	    0.341	 1.728e-17	     7.121e-18	    2.577	    0.328	 1.116e-16	 4.814e-17	    1.332	        0.378	 2860.045	 2860.045	   15.904	   43.119	    6.068
[NII]b  	 6548.100	 6611.428	    0.297	 2.741e-16	     1.053e-16	    2.455	    0.248	 1.687e-15	 6.699e-16	        1.332	    0.378	 2885.334	 2885.334	   13.448	       39.719	    5.781
Halpha  	 6562.800	 6625.997	    0.259	 1.207e-15	     1.431e-16	    2.500	    0.208	 7.565e-15	 1.095e-15	        1.332	    0.378	 2872.966	 2872.966	   11.698	       14.473	    5.887
[NII]a  	 6583.500	 6647.170	    0.297	 7.948e-16	     1.053e-16	    2.468	    0.248	 4.917e-15	 8.176e-16	        1.332	    0.378	 2885.334	 2885.334	   13.376	       16.627	    5.812
[SII]a  	 6716.400	 6781.251	    0.528	 2.084e-16	     5.564e-17	    2.583	    0.427	 1.350e-15	 4.237e-16	        1.332	    0.378	 2880.707	 2880.707	   23.324	       31.396	    6.083
[SII]b  	 6730.800	 6795.790	    0.528	 1.617e-16	     4.955e-17	    2.589	    0.427	 1.049e-15	 3.651e-16	        1.332	    0.378	 2880.707	 2880.707	   23.274	       34.802	    6.096
Hbeta   	 4861.000	 4907.681	    0.265	 1.913e-16	     2.997e-17	    2.087	    0.192	 1.001e-15	 1.818e-16	        1.332	    0.378	 2865.130	 2865.130	   16.167	       18.161	    4.914
[OIII]49	 4959.000	 5006.541	    0.314	 2.137e-17	     1.524e-17	    1.805	    0.227	 9.671e-17	 7.001e-17	        1.332	    0.378	 2860.306	 2860.306	   18.796	       72.390	    4.251
[OIII]50	 5007.000	 5055.003	    0.314	 6.411e-17	     1.524e-17	    1.805	    0.227	 2.901e-16	 7.799e-17	        1.332	    0.378	 2860.364	 2860.364	   18.616	       26.880	    4.251
