Line    	 Rest_wv 	 Center  	 dCenter 	 Amp     	     dAmp    	 Sigma    	 dSig     	 Flux    	     dFlux   	 Pos     	 dPos    	 Vel     	 Rel_Vel 	     dVel    	 flu_per 	 fwhm    
[OI]a   	 6300.300	 6360.278	    0.264	 7.109e-17	     9.501e-18	    1.959	    0.240	 3.490e-16	 6.332e-17	   -0.178	        0.378	 2840.419	 2840.419	   12.423	   18.140	    4.612
[OI]b   	 6363.800	 6424.383	    0.264	 2.293e-17	     9.501e-18	    1.959	    0.240	 1.126e-16	 4.865e-17	   -0.178	        0.378	 2840.419	 2840.419	   12.299	   43.207	    4.612
[NII]b  	 6548.100	 6610.719	    0.301	 3.572e-16	     1.643e-16	    2.163	    0.249	 1.936e-15	 9.181e-16	       -0.178	    0.378	 2853.205	 2853.205	   13.648	       47.408	    5.092
Halpha  	 6562.800	 6625.478	    0.229	 2.035e-15	     2.584e-16	    2.145	    0.181	 1.094e-14	 1.667e-15	       -0.178	    0.378	 2849.477	 2849.477	   10.341	       15.238	    5.050
[NII]a  	 6583.500	 6646.458	    0.301	 1.036e-15	     1.643e-16	    2.174	    0.249	 5.646e-15	 1.105e-15	       -0.178	    0.378	 2853.205	 2853.205	   13.575	       19.571	    5.120
[SII]a  	 6716.400	 6780.668	    0.501	 2.862e-16	     9.029e-17	    2.230	    0.408	 1.600e-15	 5.836e-16	       -0.178	    0.378	 2854.955	 2854.955	   22.142	       36.480	    5.252
[SII]b  	 6730.800	 6795.206	    0.501	 2.382e-16	     8.179e-17	    2.235	    0.408	 1.335e-15	 5.191e-16	       -0.178	    0.378	 2854.955	 2854.955	   22.094	       38.892	    5.263
Hbeta   	 4861.000	 4907.256	    0.159	 3.166e-16	     3.502e-17	    1.771	    0.115	 1.405e-15	 1.804e-16	       -0.178	    0.378	 2839.193	 2839.193	    9.696	       12.843	    4.169
[OIII]49	 4959.000	 5005.951	    0.305	 1.725e-17	     1.178e-17	    1.558	    0.216	 6.737e-17	 4.693e-17	       -0.178	    0.378	 2824.929	 2824.929	   18.264	       69.654	    3.669
[OIII]50	 5007.000	 5054.406	    0.305	 5.175e-17	     1.178e-17	    1.558	    0.216	 2.021e-16	 5.384e-17	       -0.178	    0.378	 2824.987	 2824.987	   18.089	       26.636	    3.669
