Line    	 Rest_wv 	 Center  	 dCenter 	 Amp     	     dAmp    	 Sigma    	 dSig     	 Flux    	     dFlux   	 Pos     	 dPos    	 Vel     	 Rel_Vel 	     dVel    	 flu_per 	 fwhm    
[OI]a   	 6300.300	 6359.737	    0.168	 6.789e-17	     7.124e-18	    1.717	    0.149	 2.921e-16	 3.974e-17	   -1.690	        0.378	 2814.890	 2814.890	    7.938	   13.604	    4.043
[OI]b   	 6363.800	 6423.836	    0.168	 2.190e-17	     7.124e-18	    1.717	    0.149	 9.424e-17	 3.172e-17	   -1.690	        0.378	 2814.890	 2814.890	    7.859	   33.664	    4.043
[NII]b  	 6548.100	 6610.226	    0.303	 3.982e-16	     2.310e-16	    1.821	    0.242	 1.818e-15	 1.082e-15	       -1.690	    0.378	 2830.819	 2830.819	   13.745	       59.504	    4.289
Halpha  	 6562.800	 6625.107	    0.217	 2.725e-15	     4.058e-16	    1.798	    0.167	 1.228e-14	 2.155e-15	       -1.690	    0.378	 2832.726	 2832.726	    9.833	       17.541	    4.235
[NII]a  	 6583.500	 6645.962	    0.303	 1.155e-15	     2.310e-16	    1.831	    0.242	 5.301e-15	 1.271e-15	       -1.690	    0.378	 2830.819	 2830.819	   13.671	       23.973	    4.312
[SII]a  	 6716.400	 6780.214	    0.482	 3.464e-16	     1.341e-16	    1.845	    0.376	 1.602e-15	 7.007e-16	       -1.690	    0.378	 2834.876	 2834.876	   21.328	       43.744	    4.344
[SII]b  	 6730.800	 6794.751	    0.482	 2.656e-16	     1.133e-16	    1.849	    0.376	 1.231e-15	 5.818e-16	       -1.690	    0.378	 2834.876	 2834.876	   21.282	       47.259	    4.353
Hbeta   	 4861.000	 4907.018	    0.120	 3.607e-16	     3.279e-17	    1.696	    0.082	 1.533e-15	 1.580e-16	       -1.690	    0.378	 2824.642	 2824.642	    7.360	       10.305	    3.993
[OIII]49	 4959.000	 5005.548	    0.307	 1.346e-17	     9.312e-18	    1.616	    0.265	 5.452e-17	 3.877e-17	       -1.690	    0.378	 2800.829	 2800.829	   18.365	       71.108	    3.806
[OIII]50	 5007.000	 5054.000	    0.307	 4.037e-17	     9.312e-18	    1.616	    0.265	 1.636e-16	 4.627e-17	       -1.690	    0.378	 2800.887	 2800.887	   18.189	       28.285	    3.806
