Line    	 Rest_wv 	 Center  	 dCenter 	 Amp     	     dAmp    	 Sigma    	 dSig     	 Flux    	     dFlux   	 Pos     	 dPos    	 Vel     	 Rel_Vel 	     dVel    	 flu_per 	 fwhm    
[OI]a   	 6300.300	 6358.566	    0.204	 1.606e-17	     1.551e-18	    2.211	    0.169	 8.901e-17	 1.098e-17	   -5.467	        0.378	 2759.699	 2759.699	    9.627	   12.330	    5.207
[OI]b   	 6363.800	 6422.653	    0.204	 5.181e-18	     1.551e-18	    2.211	    0.169	 2.871e-17	 8.875e-18	   -5.467	        0.378	 2759.699	 2759.699	    9.530	   30.909	    5.207
[NII]b  	 6548.100	 6610.819	    0.487	 2.045e-17	     1.374e-17	    2.400	    0.399	 1.230e-16	 8.514e-17	       -5.467	    0.378	 2857.701	 2857.701	   22.084	       69.209	    5.651
Halpha  	 6562.800	 6625.582	    0.396	 1.077e-16	     2.037e-17	    2.492	    0.316	 6.730e-16	 1.532e-16	       -5.467	    0.378	 2854.182	 2854.182	   17.938	       22.763	    5.869
[NII]a  	 6583.500	 6646.558	    0.487	 5.931e-17	     1.374e-17	    2.413	    0.399	 3.587e-16	 1.021e-16	       -5.467	    0.378	 2857.701	 2857.701	   21.965	       28.466	    5.681
[SII]a  	 6716.400	 6780.943	    0.623	 2.575e-17	     1.013e-17	    2.079	    0.485	 1.342e-16	 6.138e-17	       -5.467	    0.378	 2867.075	 2867.075	   27.552	       45.741	    4.895
[SII]b  	 6730.800	 6795.481	    0.623	 1.728e-17	     8.185e-18	    2.083	    0.485	 9.025e-17	 4.763e-17	       -5.467	    0.378	 2867.075	 2867.075	   27.494	       52.775	    4.906
Hbeta   	 4861.000	 4906.904	    0.998	 2.498e-17	     1.399e-17	    2.097	    0.742	 1.313e-16	 8.701e-17	       -5.467	    0.378	 2817.680	 2817.680	   60.961	       66.267	    4.939
[OIII]49	 4959.000	 5008.246	    1.472	 2.154e-18	     6.334e-18	    1.883	    1.012	 1.017e-17	 3.040e-17	       -5.467	    0.378	 2962.360	 2962.360	   88.113	      298.967	    4.435
[OIII]50	 5007.000	 5056.724	    1.472	 6.461e-18	     6.334e-18	    1.883	    1.012	 3.050e-17	 3.410e-17	       -5.467	    0.378	 2962.418	 2962.418	   87.268	      111.796	    4.435
