1 1 1134.89 1141.74
14.8665 
0.7195 
name    flux    f_err    vel    sig
Hgamma      	   4.00189	      0.13	 3069.0675	     43.11
Hbeta       	  12.36011	      0.13	 3069.0675	     43.11
Halpha      	  65.52249	      0.11	 3069.0675	     43.11
[SII]6716   	   7.16072	      0.12	 3071.3670	     51.64
[SII]6731   	   5.81170	      0.12	 3071.3670	     51.64
[OIII]5007_d	   1.77811	      0.16	 3071.3670	     51.64
[OI]6300_d  	   9.47552	      0.15	 3071.3670	     51.64
[NII]6583_d 	  41.65704	      0.15	 3071.3670	     51.64
