WV      	 Sigma   
4259.984	    0.078
4260.688	    0.076
4261.392	    0.076
4262.096	    0.073
4262.800	    0.073
4263.505	    0.070
4264.209	    0.070
4264.914	    0.068
4265.618	    0.068
4266.323	    0.068
4267.028	    0.065
4267.733	    0.065
4268.439	    0.062
4269.144	    0.062
4269.849	    0.062
4270.555	    0.059
4271.261	    0.055
4271.966	    0.094
4272.672	    0.116
4273.378	    0.149
4274.084	    0.142
4274.791	    0.039
4275.497	    0.149
4276.204	    0.161
4276.910	    0.157
4277.617	    0.149
4278.324	    0.197
4279.031	    0.204
4279.738	    0.190
4280.445	    0.153
4281.152	    0.096
4281.860	    0.070
4282.567	    0.020
4283.275	    0.073
4283.983	    0.125
4284.691	    0.109
4285.399	    0.103
4286.107	    0.092
4286.815	    0.059
4287.523	    0.105
4288.232	    0.092
4288.940	    0.062
4289.649	    0.020
4290.358	    0.044
4291.067	    0.052
4291.776	    0.065
4292.485	    0.068
4293.194	    0.039
4293.904	    0.081
4294.613	    0.087
4295.323	    0.078
4296.033	    0.039
4296.743	    0.083
4297.453	    0.094
4298.163	    0.065
4298.873	    0.070
4299.583	    0.048
4300.294	    0.052
4301.004	    0.111
4301.715	    0.149
4302.426	    0.163
4303.137	    0.070
4303.848	    0.062
4304.559	    0.090
4305.270	    0.085
4305.982	    0.039
4306.693	    0.020
4307.405	    0.044
4308.117	    0.083
4308.829	    0.105
4309.541	    0.105
4310.253	    0.085
4310.965	    0.034
4311.677	    0.134
4312.390	    0.055
4313.102	    0.034
4313.815	    0.048
4314.528	    0.103
4315.241	    0.039
4315.954	    0.059
4316.667	    0.078
4317.380	    0.134
4318.094	    0.154
4318.807	    0.131
4319.521	    0.122
4320.235	    0.105
4320.949	    0.076
4321.663	    0.044
4322.377	    0.070
4323.091	    0.119
4323.805	    0.150
4324.520	    0.146
4325.234	    0.134
4325.949	    0.127
4326.664	    0.109
4327.379	    0.065
4328.094	    0.070
4328.809	    0.052
4329.524	    0.039
4330.240	    0.081
4330.955	    0.114
4331.671	    0.094
4332.387	    0.111
4333.103	    0.132
4333.819	    0.155
4334.535	    0.131
4335.251	    0.081
4335.968	    0.044
4336.684	    0.052
4337.401	    0.096
4338.117	    0.114
4338.834	    0.103
4339.551	    0.100
4340.268	    0.117
4340.985	    0.177
4341.703	    0.188
4342.420	    0.159
4343.138	    0.102
4343.855	    0.055
4344.573	    0.076
4345.291	    0.062
4346.009	    0.034
4346.727	    0.044
4347.445	    0.068
4348.164	    0.055
4348.882	    0.073
4349.601	    0.103
4350.320	    0.081
4351.039	    0.122
4351.758	    0.105
4352.477	    0.070
4353.196	    0.034
4353.915	    0.048
4354.635	    0.116
4355.354	    0.100
4356.074	    0.028
4356.794	    0.135
4357.514	    0.193
4358.234	    0.229
4358.954	    0.237
4359.674	    0.225
4360.394	    0.192
4361.115	    0.183
4361.836	    0.194
4362.556	    0.197
4363.277	    0.190
4363.998	    0.174
4364.719	    0.137
4365.441	    0.134
4366.162	    0.145
4366.883	    0.157
4367.605	    0.109
4368.327	    0.078
4369.049	    0.065
4369.771	    0.068
4370.493	    0.068
4371.215	    0.059
4371.937	    0.068
4372.660	    0.068
4373.382	    0.065
4374.105	    0.128
4374.828	    0.175
4375.550	    0.180
4376.273	    0.169
4376.997	    0.149
4377.720	    0.142
4378.443	    0.120
4379.167	    0.103
4379.890	    0.090
4380.614	    0.078
4390.759	    0.078
4391.485	    0.119
4392.210	    0.120
4392.936	    0.114
4393.662	    0.112
4394.388	    0.151
4395.114	    0.155
4395.840	    0.170
4396.567	    0.182
4397.293	    0.186
4398.020	    0.156
4398.747	    0.162
4399.473	    0.188
4400.200	    0.203
4400.928	    0.192
4401.655	    0.196
4402.382	    0.188
4403.110	    0.189
4403.837	    0.204
4404.565	    0.238
4405.293	    0.284
4406.021	    0.306
4406.749	    0.295
4407.477	    0.260
4408.205	    0.232
4408.934	    0.213
4409.662	    0.218
4410.391	    0.226
4411.119	    0.229
4411.848	    0.226
4412.577	    0.193
4413.307	    0.165
4414.036	    0.154
4414.765	    0.168
4415.495	    0.175
4416.224	    0.174
4416.954	    0.174
4417.684	    0.170
4418.414	    0.163
4419.144	    0.130
4419.874	    0.120
4420.605	    0.137
4421.335	    0.153
4422.066	    0.149
4422.796	    0.103
4423.527	    0.131
4424.258	    0.159
4424.989	    0.180
