wlen 	 newgal_spectrum 
  4456.540 	      0.003
  4457.276 	      0.009
  4458.013 	      0.026
  4458.750 	      0.042
  4459.486 	      0.027
  4460.223 	      0.014
  4460.960 	      0.003
  4461.697 	     -0.005
  4462.435 	     -0.004
  4463.172 	      0.016
  4463.909 	      0.023
  4464.647 	      0.011
  4465.385 	     -0.015
  4466.123 	     -0.008
  4466.861 	      0.039
  4467.599 	      0.042
  4468.337 	      0.032
  4469.075 	      0.020
  4469.814 	      0.020
  4470.552 	      0.005
  4471.291 	      0.019
  4472.030 	      0.042
  4472.769 	      0.059
  4473.508 	      0.036
  4474.247 	      0.019
  4474.987 	      0.009
  4475.726 	     -0.019
  4476.466 	     -0.059
  4477.205 	     -0.076
  4477.945 	     -0.046
  4478.685 	     -0.013
  4479.425 	     -0.009
  4480.165 	     -0.020
  4480.906 	      0.002
  4481.646 	      0.043
  4482.387 	      0.023
  4483.127 	      0.034
  4483.868 	      0.060
  4484.609 	      0.065
  4485.350 	      0.063
  4486.091 	      0.050
  4486.833 	      0.037
  4487.574 	      0.021
  4488.316 	      0.001
  4489.057 	      0.025
  4489.799 	      0.014
  4490.541 	      0.011
  4491.283 	      0.007
  4492.025 	     -0.003
  4492.767 	     -0.004
  4493.510 	      0.035
  4494.252 	      0.059
  4494.995 	      0.068
  4495.738 	      0.057
  4496.481 	      0.005
  4497.224 	     -0.014
  4497.967 	     -0.007
  4498.710 	      0.007
  4499.453 	      0.024
  4500.197 	      0.040
  4500.940 	      0.022
  4501.684 	     -0.007
  4502.428 	     -0.026
  4503.172 	     -0.026
  4503.916 	      0.011
  4504.660 	      0.040
  4505.405 	      0.030
  4506.149 	      0.023
  4506.894 	      0.028
  4507.639 	      0.054
  4508.383 	      0.066
  4509.128 	      0.052
  4509.873 	      0.041
  4510.619 	      0.030
  4511.364 	      0.021
  4512.109 	      0.036
  4512.855 	      0.044
  4513.601 	      0.044
  4514.347 	      0.041
  4515.093 	      0.036
  4515.839 	      0.026
  4516.585 	      0.026
  4517.331 	      0.051
  4518.078 	      0.050
  4518.824 	      0.040
  4519.571 	      0.059
  4520.318 	      0.077
  4521.065 	      0.078
  4521.812 	      0.065
  4522.559 	      0.055
  4523.306 	      0.065
  4524.054 	      0.080
  4524.801 	      0.062
  4525.549 	      0.049
  4526.297 	      0.033
  4527.045 	      0.011
  4527.793 	     -0.013
  4528.541 	     -0.006
  4529.289 	      0.015
  4530.038 	      0.034
  4530.786 	      0.044
  4531.535 	      0.042
  4532.284 	      0.062
  4533.033 	      0.046
  4533.782 	      0.049
  4534.531 	      0.051
  4535.280 	      0.039
  4536.030 	      0.031
  4536.779 	      0.070
  4537.529 	      0.075
  4538.279 	      0.072
  4539.028 	      0.066
  4539.779 	      0.047
  4540.529 	      0.047
  4541.279 	      0.053
  4542.029 	      0.057
  4542.780 	      0.062
  4543.531 	      0.071
  4544.281 	      0.078
  4545.032 	      0.100
  4545.783 	      0.091
  4546.534 	      0.066
  4547.286 	      0.038
  4548.037 	      0.029
  4548.789 	      0.027
  4549.540 	      0.071
  4550.292 	      0.104
  4551.044 	      0.103
  4551.796 	      0.051
  4552.548 	      0.027
  4553.300 	      0.045
  4554.053 	      0.047
  4554.805 	      0.035
  4555.558 	      0.014
  4556.311 	     -0.008
