Line    	 Rest_wv 	 Center  	 dCenter 	 Amp     	     dAmp    	 Sigma    	 dSig     	 Flux    	     dFlux   	 Pos     	 dPos    	 Vel     	 Rel_Vel 	     dVel    	 flu_per 
[OI]a   	 6300.300	 6366.157	    0.118	 2.670e-16	     1.319e-17	    2.458	    0.106	 1.645e-15	 1.077e-16	    6.862	        0.553	 3117.355	 3117.355	    5.558	    6.546
[OI]b   	 6363.800	 6430.321	    0.118	 8.614e-17	     1.319e-17	    2.458	    0.106	 5.307e-16	 8.442e-17	    6.862	        0.553	 3117.355	 3117.355	    5.502	   15.908
[NII]b  	 6548.100	 6619.175	    0.311	 1.441e-15	     8.420e-16	    1.873	    0.238	 6.763e-15	 4.045e-15	        6.862	    0.553	 3236.370	 3236.370	   14.094	       59.813
Halpha  	 6562.800	 6633.963	    0.247	 8.941e-15	     1.382e-15	    1.967	    0.186	 4.408e-14	 7.985e-15	        6.862	    0.553	 3233.161	 3233.161	   11.149	       18.114
[NII]a  	 6583.500	 6654.959	    0.311	 4.178e-15	     8.420e-16	    1.883	    0.238	 1.972e-14	 4.690e-15	        6.862	    0.553	 3236.370	 3236.370	   14.018	       23.786
[SII]a  	 6716.400	 6789.308	    0.484	 9.961e-16	     4.284e-16	    1.736	    0.300	 4.334e-15	 2.009e-15	        6.862	    0.553	 3236.651	 3236.651	   21.368	       46.343
[SII]b  	 6730.800	 6803.864	    0.484	 8.358e-16	     3.982e-16	    1.740	    0.300	 3.644e-15	 1.846e-15	        6.862	    0.553	 3236.651	 3236.651	   21.322	       50.659
Hbeta   	 4861.000	 4914.233	    0.139	 2.127e-15	     1.862e-16	    1.952	    0.101	 1.040e-14	 1.059e-15	        6.862	    0.553	 3265.075	 3265.075	    8.508	       10.179
[OIII]49	 4959.000	 5012.895	    0.436	 6.634e-17	     5.045e-17	    2.031	    0.338	 3.377e-16	 2.629e-16	        6.862	    0.553	 3240.502	 3240.502	   26.073	       77.847
[OIII]50	 5007.000	 5061.418	    0.436	 1.990e-16	     5.045e-17	    2.031	    0.338	 1.013e-15	 3.071e-16	        6.862	    0.553	 3240.560	 3240.560	   25.824	       30.313
