Line    	 Rest_wv 	 Center  	 dCenter 	 Amp     	     dAmp    	 Sigma    	 dSig     	 Flux    	     dFlux   	 Pos     	 dPos    	 Vel     	 Rel_Vel 	     dVel    	 flu_per 
[OI]a   	 6300.300	 6365.772	    0.110	 3.186e-16	     1.513e-17	    2.372	    0.098	 1.894e-15	 1.194e-16	    3.616	        0.553	 3099.244	 3099.244	    5.202	    6.303
[OI]b   	 6363.800	 6429.932	    0.110	 1.028e-16	     1.513e-17	    2.372	    0.098	 6.110e-16	 9.343e-17	    3.616	        0.553	 3099.244	 3099.244	    5.150	   15.290
[NII]b  	 6548.100	 6618.656	    0.313	 4.631e-16	     1.952e-16	    2.468	    0.265	 2.865e-15	 1.246e-15	        3.616	    0.553	 3212.886	 3212.886	   14.180	       43.491
Halpha  	 6562.800	 6633.532	    0.259	 2.155e-15	     2.861e-16	    2.298	    0.211	 1.241e-14	 2.005e-15	        3.616	    0.553	 3213.686	 3213.686	   11.689	       16.152
[NII]a  	 6583.500	 6654.438	    0.313	 1.343e-15	     1.952e-16	    2.481	    0.265	 8.355e-15	 1.506e-15	        3.616	    0.553	 3212.886	 3212.886	   14.104	       18.027
[SII]a  	 6716.400	 6788.678	    0.439	 3.632e-16	     1.041e-16	    2.207	    0.314	 2.010e-15	 6.431e-16	        3.616	    0.553	 3208.855	 3208.855	   19.379	       31.999
[SII]b  	 6730.800	 6803.233	    0.439	 2.725e-16	     9.019e-17	    2.212	    0.314	 1.511e-15	 5.443e-16	        3.616	    0.553	 3208.855	 3208.855	   19.338	       36.020
Hbeta   	 4861.000	 4913.081	    0.311	 4.240e-16	     6.934e-17	    2.263	    0.229	 2.405e-15	 4.625e-16	        3.616	    0.553	 3194.788	 3194.788	   18.983	       19.230
[OIII]49	 4959.000	 5011.869	    0.476	 5.085e-17	     3.816e-17	    2.166	    0.372	 2.761e-16	 2.125e-16	        3.616	    0.553	 3179.098	 3179.098	   28.486	       76.974
[OIII]50	 5007.000	 5060.381	    0.476	 1.526e-16	     3.816e-17	    2.166	    0.372	 8.284e-16	 2.513e-16	        3.616	    0.553	 3179.156	 3179.156	   28.213	       30.334
