Line    	 Rest_wv 	 Center  	 dCenter 	 Amp     	     dAmp    	 Sigma    	 dSig     	 Flux    	     dFlux   	 Pos     	 dPos    	 Vel     	 Rel_Vel 	     dVel    	 flu_per 
[OI]a   	 6300.300	 6365.805	    0.102	 4.150e-16	     1.960e-17	    2.190	    0.091	 2.278e-15	 1.436e-16	    1.407	        0.553	 3100.777	 3100.777	    4.786	    6.301
[OI]b   	 6363.800	 6429.965	    0.102	 1.339e-16	     1.960e-17	    2.190	    0.091	 7.350e-16	 1.119e-16	    1.407	        0.553	 3100.777	 3100.777	    4.738	   15.225
[NII]b  	 6548.100	 6617.226	    0.342	 7.105e-16	     3.211e-16	    2.569	    0.281	 4.575e-15	 2.127e-15	        1.407	    0.553	 3148.085	 3148.085	   15.510	       46.501
Halpha  	 6562.800	 6631.963	    0.292	 3.290e-15	     4.693e-16	    2.437	    0.230	 2.010e-14	 3.438e-15	        1.407	    0.553	 3142.737	 3142.737	   13.185	       17.110
[NII]a  	 6583.500	 6652.999	    0.342	 2.061e-15	     3.211e-16	    2.583	    0.281	 1.334e-14	 2.535e-15	        1.407	    0.553	 3148.085	 3148.085	   15.426	       19.002
[SII]a  	 6716.400	 6787.299	    0.522	 5.008e-16	     1.644e-16	    2.285	    0.323	 2.869e-15	 1.025e-15	        1.407	    0.553	 3147.951	 3147.951	   23.050	       35.748
[SII]b  	 6730.800	 6801.851	    0.522	 4.017e-16	     1.448e-16	    2.290	    0.323	 2.306e-15	 8.925e-16	        1.407	    0.553	 3147.951	 3147.951	   23.001	       38.706
Hbeta   	 4861.000	 4912.346	    0.264	 5.588e-16	     9.728e-17	    1.736	    0.191	 2.432e-15	 5.009e-16	        1.407	    0.553	 3149.914	 3149.914	   16.113	       20.594
[OIII]49	 4959.000	 5011.376	    0.457	 6.994e-17	     5.022e-17	    2.064	    0.355	 3.618e-16	 2.672e-16	        1.407	    0.553	 3149.624	 3149.624	   27.354	       73.836
[OIII]50	 5007.000	 5059.884	    0.457	 2.098e-16	     5.022e-17	    2.064	    0.355	 1.085e-15	 3.200e-16	        1.407	    0.553	 3149.682	 3149.682	   27.091	       29.477
