Line    	 Rest_wv 	 Center  	 dCenter 	 Amp     	     dAmp    	 Sigma    	 dSig     	 Flux    	     dFlux   	 Pos     	 dPos    	 Vel     	 Rel_Vel 	     dVel    	 flu_per 
[OI]a   	 6300.300	 6366.051	    0.117	 1.435e-16	     1.310e-17	    1.272	    0.088	 4.574e-16	 5.248e-17	   -3.011	        0.553	 3112.374	 3112.374	    5.532	   11.473
[OI]b   	 6363.800	 6430.214	    0.117	 4.629e-17	     1.310e-17	    1.272	    0.088	 1.476e-16	 4.301e-17	   -3.011	        0.553	 3112.374	 3112.374	    5.477	   29.151
[NII]b  	 6548.100	 6615.596	    0.695	 1.252e-16	     1.488e-16	    1.889	    0.583	 5.926e-16	 7.279e-16	       -3.011	    0.553	 3074.229	 3074.229	   31.492	      122.827
Halpha  	 6562.800	 6630.434	    0.529	 7.186e-16	     2.283e-16	    1.942	    0.426	 3.499e-15	 1.350e-15	       -3.011	    0.553	 3073.631	 3073.631	   23.929	       38.596
[NII]a  	 6583.500	 6651.360	    0.695	 3.630e-16	     1.488e-16	    1.899	    0.583	 1.728e-15	 8.849e-16	       -3.011	    0.553	 3074.229	 3074.229	   31.322	       51.211
[SII]a  	 6716.400	 6785.476	    0.819	 1.273e-16	     9.390e-17	    1.487	    0.579	 4.745e-16	 3.958e-16	       -3.011	    0.553	 3067.434	 3067.434	   36.200	       83.422
[SII]b  	 6730.800	 6800.025	    0.819	 7.806e-17	     7.295e-17	    1.490	    0.579	 2.916e-16	 2.951e-16	       -3.011	    0.553	 3067.434	 3067.434	   36.123	      101.219
Hbeta   	 4861.000	 4912.062	    0.357	 7.854e-17	     1.498e-17	    2.342	    0.289	 4.611e-16	 1.047e-16	       -3.011	    0.553	 3132.616	 3132.616	   21.802	       22.711
[OIII]49	 4959.000	 5010.636	    0.703	 3.987e-18	     5.859e-18	    1.132	    0.607	 1.132e-17	 1.770e-17	       -3.011	    0.553	 3105.389	 3105.389	   42.052	      156.443
[OIII]50	 5007.000	 5059.137	    0.703	 1.196e-17	     5.859e-18	    1.132	    0.607	 3.395e-17	 2.466e-17	       -3.011	    0.553	 3105.447	 3105.447	   41.649	       72.643
