Line    	 Rest_wv 	 Center  	 dCenter 	 Amp     	     dAmp    	 Sigma    	 dSig     	 Flux    	     dFlux   	 Pos     	 dPos    	 Vel     	 Rel_Vel 	     dVel    	 flu_per 
[OI]a   	 6300.300	 6365.574	    0.107	 2.274e-16	     1.400e-17	    1.856	    0.090	 1.058e-15	 8.288e-17	   -1.907	        0.553	 3089.886	 3089.886	    5.035	    7.836
[OI]b   	 6363.800	 6429.732	    0.107	 7.334e-17	     1.400e-17	    1.856	    0.090	 3.412e-16	 6.719e-17	   -1.907	        0.553	 3089.886	 3089.886	    4.984	   19.693
[NII]b  	 6548.100	 6615.455	    0.497	 3.802e-16	     3.387e-16	    1.961	    0.392	 1.869e-15	 1.706e-15	       -1.907	    0.553	 3067.868	 3067.868	   22.523	       91.290
Halpha  	 6562.800	 6630.357	    0.379	 2.357e-15	     5.687e-16	    1.931	    0.288	 1.141e-14	 3.236e-15	       -1.907	    0.553	 3070.153	 3070.153	   17.151	       28.363
[NII]a  	 6583.500	 6651.219	    0.497	 1.103e-15	     3.387e-16	    1.972	    0.392	 5.450e-15	 1.994e-15	       -1.907	    0.553	 3067.868	 3067.868	   22.402	       36.580
[SII]a  	 6716.400	 6785.479	    0.693	 3.400e-16	     2.015e-16	    1.711	    0.428	 1.459e-15	 9.380e-16	       -1.907	    0.553	 3067.562	 3067.562	   30.625	       64.301
[SII]b  	 6730.800	 6800.027	    0.693	 2.323e-16	     1.638e-16	    1.715	    0.428	 9.989e-16	 7.470e-16	       -1.907	    0.553	 3067.562	 3067.562	   30.560	       74.787
Hbeta   	 4861.000	 4912.028	    0.267	 1.758e-16	     3.189e-17	    1.649	    0.204	 7.264e-16	 1.595e-16	       -1.907	    0.553	 3130.542	 3130.542	   16.317	       21.961
[OIII]49	 4959.000	 5010.566	    0.480	 1.456e-17	     1.330e-17	    1.809	    0.367	 6.600e-17	 6.179e-17	       -1.907	    0.553	 3101.168	 3101.168	   28.741	       93.624
[OIII]50	 5007.000	 5059.066	    0.480	 4.367e-17	     1.330e-17	    1.809	    0.367	 1.980e-16	 7.248e-17	       -1.907	    0.553	 3101.226	 3101.226	   28.465	       36.605
