Line    	 Rest_wv 	 Center  	 dCenter 	 Amp     	     dAmp    	 Sigma    	 dSig     	 Flux    	     dFlux   	 Pos     	 dPos    	 Vel     	 Rel_Vel 	     dVel    	 flu_per 
[OI]a   	 6300.300	 6366.162	    0.119	 2.673e-16	     1.330e-17	    2.461	    0.106	 1.649e-15	 1.086e-16	    5.760	        0.553	 3117.581	 3117.581	    5.598	    6.588
[OI]b   	 6363.800	 6430.326	    0.119	 8.623e-17	     1.330e-17	    2.461	    0.106	 5.319e-16	 8.517e-17	    5.760	        0.553	 3117.581	 3117.581	    5.542	   16.014
[NII]b  	 6548.100	 6619.176	    0.310	 1.458e-15	     8.489e-16	    1.865	    0.237	 6.818e-15	 4.062e-15	        5.760	    0.553	 3236.431	 3236.431	   14.018	       59.579
Halpha  	 6562.800	 6633.961	    0.245	 9.050e-15	     1.392e-15	    1.962	    0.185	 4.450e-14	 8.024e-15	        5.760	    0.553	 3233.061	 3233.061	   11.079	       18.030
[NII]a  	 6583.500	 6654.960	    0.310	 4.229e-15	     8.489e-16	    1.875	    0.237	 1.988e-14	 4.713e-15	        5.760	    0.553	 3236.431	 3236.431	   13.943	       23.708
[SII]a  	 6716.400	 6789.299	    0.499	 9.942e-16	     4.339e-16	    1.776	    0.343	 4.425e-15	 2.113e-15	        5.760	    0.553	 3236.275	 3236.275	   22.021	       47.740
[SII]b  	 6730.800	 6803.856	    0.499	 8.389e-16	     3.950e-16	    1.780	    0.343	 3.742e-15	 1.904e-15	        5.760	    0.553	 3236.275	 3236.275	   21.973	       50.884
Hbeta   	 4861.000	 4914.234	    0.144	 2.127e-15	     1.932e-16	    1.945	    0.104	 1.037e-14	 1.093e-15	        5.760	    0.553	 3265.106	 3265.106	    8.795	       10.544
[OIII]49	 4959.000	 5012.904	    0.449	 6.635e-17	     5.238e-17	    2.009	    0.344	 3.341e-16	 2.699e-16	        5.760	    0.553	 3241.016	 3241.016	   26.875	       80.772
[OIII]50	 5007.000	 5061.427	    0.449	 1.991e-16	     5.238e-17	    2.009	    0.344	 1.002e-15	 3.146e-16	        5.760	    0.553	 3241.074	 3241.074	   26.617	       31.388
