Line    	 Rest_wv 	 Center  	 dCenter 	 Amp     	     dAmp    	 Sigma    	 dSig     	 Flux    	     dFlux   	 Pos     	 dPos    	 Vel     	 Rel_Vel 	     dVel    	 flu_per 
[OI]a   	 6300.300	 6365.907	    0.107	 2.729e-16	     1.179e-17	    2.582	    0.096	 1.766e-15	 1.009e-16	    4.654	        0.553	 3105.576	 3105.576	    5.055	    5.711
[OI]b   	 6363.800	 6430.068	    0.107	 8.802e-17	     1.179e-17	    2.582	    0.096	 5.697e-16	 7.922e-17	    4.654	        0.553	 3105.576	 3105.576	    5.005	   13.905
[NII]b  	 6548.100	 6619.048	    0.386	 7.366e-16	     4.873e-16	    2.042	    0.305	 3.771e-15	 2.557e-15	        4.654	    0.553	 3230.622	 3230.622	   17.460	       67.824
Halpha  	 6562.800	 6633.985	    0.279	 4.976e-15	     8.556e-16	    1.995	    0.214	 2.489e-14	 5.043e-15	        4.654	    0.553	 3234.116	 3234.116	   12.624	       20.263
[NII]a  	 6583.500	 6654.831	    0.386	 2.136e-15	     4.873e-16	    2.053	    0.305	 1.099e-14	 2.993e-15	        4.654	    0.553	 3230.622	 3230.622	   17.366	       27.223
[SII]a  	 6716.400	 6789.119	    0.536	 5.830e-16	     2.805e-16	    1.733	    0.359	 2.533e-15	 1.327e-15	        4.654	    0.553	 3228.287	 3228.287	   23.674	       52.383
[SII]b  	 6730.800	 6803.674	    0.536	 4.625e-16	     2.403e-16	    1.737	    0.359	 2.014e-15	 1.126e-15	        4.654	    0.553	 3228.287	 3228.287	   23.624	       55.929
Hbeta   	 4861.000	 4913.929	    0.531	 4.033e-16	     1.264e-16	    2.040	    0.389	 2.063e-15	 7.567e-16	        4.654	    0.553	 3246.522	 3246.522	   32.383	       36.685
[OIII]49	 4959.000	 5012.436	    0.728	 4.370e-17	     7.222e-17	    1.545	    0.521	 1.693e-16	 2.855e-16	        4.654	    0.553	 3213.017	 3213.017	   43.507	      168.659
[OIII]50	 5007.000	 5060.954	    0.728	 1.311e-16	     7.222e-17	    1.545	    0.521	 5.078e-16	 3.279e-16	        4.654	    0.553	 3213.075	 3213.075	   43.090	       64.576
