Line    	 Rest_wv 	 Center  	 dCenter 	 Amp     	         dAmp    	 Sigma    	 dSig     	 Flux    	         dFlux   	 Pos     	 dPos    	 Vel     	 Rel_Vel 	         dVel    	 flu_per 	 fwhm    
[OI]a   	 6300.300	 6360.819	    0.333	 5.075e-17	         8.010e-18	    2.085	    0.307	 2.652e-16	 5.721e-17	    2.091	            0.378	 2865.919	 2865.919	   15.712	   21.571	    4.909
[OI]b   	 6363.800	 6424.929	    0.333	 1.637e-17	         8.010e-18	    2.085	    0.307	 8.555e-17	 4.371e-17	    2.091	            0.378	 2865.919	 2865.919	   15.555	   51.085	    4.909
[NII]b  	 6548.100	 6612.299	    0.330	 2.448e-16	         9.169e-17	    2.749	    0.263	 1.687e-15	 6.522e-16	            2.091	    0.378	 2924.814	 2924.814	   14.954	           38.659	    6.474
Halpha  	 6562.800	 6626.225	    0.235	 1.277e-15	         1.524e-16	    2.322	    0.189	 7.432e-15	 1.074e-15	            2.091	    0.378	 2883.277	 2883.277	   10.630	           14.454	    5.469
[NII]a  	 6583.500	 6648.046	    0.330	 7.100e-16	         9.169e-17	    2.764	    0.263	 4.919e-15	 7.894e-16	            2.091	    0.378	 2924.814	 2924.814	   14.874	           16.048	    6.509
[SII]a  	 6716.400	 6781.489	    0.521	 1.915e-16	         5.945e-17	    2.183	    0.438	 1.048e-15	 3.873e-16	            2.091	    0.378	 2891.249	 2891.249	   23.023	           36.949	    5.141
[SII]b  	 6730.800	 6796.029	    0.521	 1.359e-16	         4.999e-17	    2.188	    0.438	 7.454e-16	 3.121e-16	            2.091	    0.378	 2891.249	 2891.249	   22.974	           41.871	    5.152
Hbeta   	 4861.000	 4907.818	    0.211	 2.026e-16	         2.654e-17	    2.054	    0.159	 1.043e-15	 1.587e-16	            2.091	    0.378	 2873.532	 2873.532	   12.915	           15.214	    4.836
[OIII]49	 4959.000	 5006.777	    0.352	 1.535e-17	         1.157e-17	    1.732	    0.293	 6.667e-17	 5.151e-17	            2.091	    0.378	 2874.424	 2874.424	   21.066	           77.255	    4.079
[OIII]50	 5007.000	 5055.241	    0.352	 4.606e-17	         1.157e-17	    1.732	    0.293	 2.000e-16	 6.058e-17	            2.091	    0.378	 2874.482	 2874.482	   20.864	           30.287	    4.079
[OI]a   	 6300.300	 6360.819	    0.333	 5.075e-17	         8.010e-18	    2.085	    0.307	 2.652e-16	 5.721e-17	            2.091	    0.378	 2865.919	 2865.919	   15.712	           21.571	    4.909
[OI]b   	 6363.800	 6424.929	    0.333	 1.637e-17	         8.010e-18	    2.085	    0.307	 8.555e-17	 4.371e-17	            2.091	    0.378	 2865.919	 2865.919	   15.555	           51.085	    4.909
[NII]b  	 6548.100	 6612.299	    0.330	 2.448e-16	         9.169e-17	    2.749	    0.263	 1.687e-15	 6.522e-16	            2.091	    0.378	 2924.814	 2924.814	   14.954	           38.659	    6.474
Halpha  	 6562.800	 6626.225	    0.235	 1.277e-15	         1.524e-16	    2.322	    0.189	 7.432e-15	 1.074e-15	            2.091	    0.378	 2883.277	 2883.277	   10.630	           14.454	    5.469
[NII]a  	 6583.500	 6648.046	    0.330	 7.100e-16	         9.169e-17	    2.764	    0.263	 4.919e-15	 7.894e-16	            2.091	    0.378	 2924.814	 2924.814	   14.874	           16.048	    6.509
[SII]a  	 6716.400	 6781.489	    0.521	 1.915e-16	         5.945e-17	    2.183	    0.438	 1.048e-15	 3.873e-16	            2.091	    0.378	 2891.249	 2891.249	   23.023	           36.949	    5.141
[SII]b  	 6730.800	 6796.029	    0.521	 1.359e-16	         4.999e-17	    2.188	    0.438	 7.454e-16	 3.121e-16	            2.091	    0.378	 2891.249	 2891.249	   22.974	           41.871	    5.152
Hbeta   	 4861.000	 4907.818	    0.211	 2.026e-16	         2.654e-17	    2.054	    0.159	 1.043e-15	 1.587e-16	            2.091	    0.378	 2873.532	 2873.532	   12.915	           15.214	    4.836
[OIII]49	 4959.000	 5006.777	    0.352	 1.535e-17	         1.157e-17	    1.732	    0.293	 6.667e-17	 5.151e-17	            2.091	    0.378	 2874.424	 2874.424	   21.066	           77.255	    4.079
[OIII]50	 5007.000	 5055.241	    0.352	 4.606e-17	         1.157e-17	    1.732	    0.293	 2.000e-16	 6.058e-17	            2.091	    0.378	 2874.482	 2874.482	   20.864	           30.287	    4.079
