Line    	 Rest_wv 	 Center  	 dCenter 	 Amp     	         dAmp    	 Sigma    	 dSig     	 Flux    	         dFlux   	 Pos     	 dPos    	 Vel     	 Rel_Vel 	         dVel    	 flu_per 	 fwhm    
[OI]a   	 6300.300	 6367.119	    0.470	 1.602e-17	         2.574e-18	    3.203	    0.443	 1.287e-16	 2.728e-17	  -20.533	            0.378	 3162.629	 3162.629	   22.128	   21.204	    7.543
[OI]b   	 6363.800	 6431.292	    0.470	 5.169e-18	         2.574e-18	    3.203	    0.443	 4.150e-17	 2.145e-17	  -20.533	            0.378	 3162.629	 3162.629	   21.907	   51.682	    7.543
[NII]b  	 6548.100	 6617.820	    0.347	 5.713e-17	         3.904e-17	    1.667	    0.280	 2.387e-16	 1.680e-16	          -20.533	    0.378	 3175.018	 3175.018	   15.719	           70.377	    3.925
Halpha  	 6562.800	 6632.959	    0.262	 3.388e-16	         6.264e-17	    1.719	    0.209	 1.460e-15	 3.228e-16	          -20.533	    0.378	 3187.762	 3187.762	   11.838	           22.112	    4.048
[NII]a  	 6583.500	 6653.597	    0.347	 1.657e-16	         3.904e-17	    1.676	    0.280	 6.959e-16	 2.010e-16	          -20.533	    0.378	 3175.018	 3175.018	   15.634	           28.890	    3.946
[SII]a  	 6716.400	 6787.950	    0.469	 7.109e-17	         2.715e-17	    1.637	    0.369	 2.916e-16	 1.294e-16	          -20.533	    0.378	 3176.706	 3176.706	   20.719	           44.365	    3.854
[SII]b  	 6730.800	 6802.504	    0.469	 4.972e-17	         2.272e-17	    1.640	    0.369	 2.044e-16	 1.041e-16	          -20.533	    0.378	 3176.706	 3176.706	   20.675	           50.954	    3.862
Hbeta   	 4861.000	 4913.318	    0.127	 1.090e-16	         1.177e-17	    1.557	    0.085	 4.252e-16	 5.149e-17	          -20.533	    0.378	 3209.264	 3209.264	    7.735	           12.108	    3.666
[OIII]49	 4959.000	 5011.672	    0.238	 7.294e-18	         4.546e-18	    1.451	    0.206	 2.653e-17	 1.696e-17	          -20.533	    0.378	 3167.347	 3167.347	   14.219	           63.923	    3.417
[OIII]50	 5007.000	 5060.183	    0.238	 2.188e-17	         4.546e-18	    1.451	    0.206	 7.959e-17	 2.003e-17	          -20.533	    0.378	 3167.405	 3167.405	   14.083	           25.161	    3.417
[OI]a   	 6300.300	 6367.119	    0.470	 1.602e-17	         2.574e-18	    3.203	    0.443	 1.287e-16	 2.728e-17	          -20.533	    0.378	 3162.629	 3162.629	   22.128	           21.204	    7.543
[OI]b   	 6363.800	 6431.292	    0.470	 5.169e-18	         2.574e-18	    3.203	    0.443	 4.150e-17	 2.145e-17	          -20.533	    0.378	 3162.629	 3162.629	   21.907	           51.682	    7.543
[NII]b  	 6548.100	 6617.820	    0.347	 5.713e-17	         3.904e-17	    1.667	    0.280	 2.387e-16	 1.680e-16	          -20.533	    0.378	 3175.018	 3175.018	   15.719	           70.377	    3.925
Halpha  	 6562.800	 6632.959	    0.262	 3.388e-16	         6.264e-17	    1.719	    0.209	 1.460e-15	 3.228e-16	          -20.533	    0.378	 3187.762	 3187.762	   11.838	           22.112	    4.048
[NII]a  	 6583.500	 6653.597	    0.347	 1.657e-16	         3.904e-17	    1.676	    0.280	 6.959e-16	 2.010e-16	          -20.533	    0.378	 3175.018	 3175.018	   15.634	           28.890	    3.946
[SII]a  	 6716.400	 6787.950	    0.469	 7.109e-17	         2.715e-17	    1.637	    0.369	 2.916e-16	 1.294e-16	          -20.533	    0.378	 3176.706	 3176.706	   20.719	           44.365	    3.854
[SII]b  	 6730.800	 6802.504	    0.469	 4.972e-17	         2.272e-17	    1.640	    0.369	 2.044e-16	 1.041e-16	          -20.533	    0.378	 3176.706	 3176.706	   20.675	           50.954	    3.862
Hbeta   	 4861.000	 4913.318	    0.127	 1.090e-16	         1.177e-17	    1.557	    0.085	 4.252e-16	 5.149e-17	          -20.533	    0.378	 3209.264	 3209.264	    7.735	           12.108	    3.666
[OIII]49	 4959.000	 5011.672	    0.238	 7.294e-18	         4.546e-18	    1.451	    0.206	 2.653e-17	 1.696e-17	          -20.533	    0.378	 3167.347	 3167.347	   14.219	           63.923	    3.417
[OIII]50	 5007.000	 5060.183	    0.238	 2.188e-17	         4.546e-18	    1.451	    0.206	 7.959e-17	 2.003e-17	          -20.533	    0.378	 3167.405	 3167.405	   14.083	           25.161	    3.417
