Line    	 Rest_wv 	 Center  	 dCenter 	 Amp     	     dAmp    	 Sigma    	 dSig     	 Flux    	     dFlux   	 Pos     	 dPos    	 Vel     	 Rel_Vel 	     dVel    	 flu_per 
[OI]a   	 6300.300	 6364.294	    0.318	 9.712e-17	     1.153e-17	    2.631	    0.298	 6.404e-16	 1.051e-16	  -14.511	        0.378	 3029.616	 3029.616	   14.979	   16.407
[OI]b   	 6363.800	 6428.439	    0.318	 3.133e-17	     1.153e-17	    2.631	    0.298	 2.066e-16	 7.954e-17	  -14.511	        0.378	 3029.616	 3029.616	   14.830	   38.499
