Line    	 Rest_wv 	 Center  	 dCenter 	 Amp     	     dAmp    	 Sigma    	 dSig     	 Flux    	     dFlux   	 Pos     	 dPos    	 Vel     	 Rel_Vel 	     dVel    	 flu_per 
Hbeta   	 4861.000	 4911.134	    0.219	 2.619e-16	     4.415e-17	    1.802	    0.150	 1.183e-15	 2.225e-16	  -14.511	        0.378	 3075.983	 3075.983	   13.396	   18.814
[OIII]49	 4959.000	 5009.097	    0.305	 3.068e-17	     2.222e-17	    1.955	    0.258	 1.503e-16	 1.107e-16	  -14.511	        0.378	 3013.287	 3013.287	   18.253	   73.639
[OIII]50	 5007.000	 5057.583	    0.305	 9.203e-17	     2.222e-17	    1.955	    0.258	 4.509e-16	 1.241e-16	  -14.511	        0.378	 3013.345	 3013.345	   18.078	   27.525
