Line    	 Rest_wv 	 Center  	 dCenter 	 Amp     	     dAmp    	 Sigma    	 dSig     	 Flux    	     dFlux   	 Pos     	 dPos    	 Vel     	 Rel_Vel 	     dVel    	 flu_per 
[NII]b  	 6548.100	 6614.667	    0.263	 4.704e-16	     1.648e-16	    2.505	    0.216	 2.953e-15	 1.066e-15	  -14.511	        0.378	 3032.137	 3032.137	   11.921	   36.083
Halpha  	 6562.800	 6629.575	    0.224	 2.144e-15	     2.377e-16	    2.401	    0.177	 1.290e-14	 1.717e-15	  -14.511	        0.378	 3034.823	 3034.823	   10.114	   13.307
[NII]a  	 6583.500	 6650.426	    0.263	 1.364e-15	     1.648e-16	    2.518	    0.216	 8.610e-15	 1.276e-15	  -14.511	        0.378	 3032.137	 3032.137	   11.857	   14.818
[SII]a  	 6716.400	 6784.613	    0.509	 3.342e-16	     9.156e-17	    2.490	    0.422	 2.086e-15	 6.717e-16	  -14.511	        0.378	 3029.292	 3029.292	   22.488	   32.205
[SII]b  	 6730.800	 6799.159	    0.509	 2.781e-16	     8.217e-17	    2.495	    0.422	 1.739e-15	 5.920e-16	  -14.511	        0.378	 3029.292	 3029.292	   22.440	   34.036
