WV      	 Sigma   
4176.646	    0.013
4177.397	    0.020
4178.147	    0.031
4178.898	    0.038
4179.649	    0.043
4180.400	    0.046
4181.151	    0.047
4181.902	    0.047
4182.653	    0.045
4183.405	    0.041
4184.157	    0.034
4184.908	    0.029
4185.660	    0.028
4186.412	    0.030
4187.164	    0.035
4187.917	    0.043
4188.669	    0.042
4189.422	    0.037
4190.174	    0.028
4190.927	    0.011
4191.680	    0.036
4192.433	    0.037
4193.186	    0.039
4193.940	    0.049
4194.693	    0.043
4195.447	    0.008
4196.201	    0.029
4196.955	    0.030
4197.709	    0.028
4198.463	    0.022
4199.217	    0.011
4199.972	    0.024
4200.726	    0.022
4201.481	    0.029
4202.236	    0.032
4202.991	    0.033
4203.746	    0.028
4204.501	    0.024
4205.257	    0.024
4206.012	    0.033
4206.768	    0.031
4207.524	    0.027
4208.280	    0.024
4209.036	    0.028
4209.792	    0.033
4210.548	    0.034
4211.305	    0.034
4212.061	    0.030
4212.818	    0.028
4213.575	    0.017
4214.332	    0.035
4215.089	    0.038
4215.846	    0.017
4216.604	    0.008
4217.361	    0.013
4218.119	    0.029
4218.877	    0.023
4219.635	    0.028
4220.393	    0.030
4221.151	    0.028
4221.910	    0.019
4222.668	    0.020
4223.427	    0.027
4224.186	    0.008
4224.945	    0.032
4225.704	    0.027
4226.463	    0.022
4227.222	    0.022
4227.982	    0.017
4228.741	    0.019
4229.501	    0.008
4230.261	    0.030
4231.021	    0.017
4231.781	    0.031
4232.542	    0.031
4233.302	    0.013
4234.063	    0.017
4234.823	    0.019
4235.584	    0.017
4236.345	    0.015
4237.106	    0.040
4237.868	    0.053
4238.629	    0.046
4239.390	    0.015
4240.152	    0.030
4240.914	    0.011
4241.676	    0.017
4242.438	    0.008
4243.200	    0.008
4243.963	    0.035
4244.725	    0.041
4245.488	    0.041
4246.250	    0.034
4247.013	    0.017
4247.776	    0.015
4248.540	    0.017
4249.303	    0.030
4250.066	    0.020
4250.830	    0.020
4251.594	    0.020
4252.357	    0.027
4253.121	    0.025
4253.886	    0.013
4254.650	    0.027
4255.414	    0.047
4256.179	    0.024
4256.944	    0.029
4257.708	    0.020
4258.473	    0.020
4259.238	    0.044
4260.004	    0.037
4260.769	    0.032
4261.535	    0.031
4262.300	    0.019
4263.066	    0.031
4263.832	    0.037
4264.598	    0.041
4265.364	    0.041
4266.130	    0.043
4266.897	    0.041
4267.664	    0.036
4268.430	    0.024
4269.197	    0.044
4269.964	    0.049
4270.731	    0.045
4271.499	    0.033
4272.266	    0.019
4273.034	    0.020
4273.801	    0.017
4274.569	    0.013
4275.337	    0.038
4276.105	    0.036
4276.874	    0.032
4277.642	    0.025
4278.411	    0.040
4279.179	    0.033
4279.948	    0.033
4280.717	    0.037
4281.486	    0.034
4282.255	    0.033
4283.025	    0.033
4283.794	    0.033
4284.564	    0.033
4285.334	    0.044
4286.104	    0.051
4286.874	    0.053
4287.644	    0.045
4288.414	    0.038
4289.185	    0.030
4289.955	    0.033
4290.726	    0.045
4291.497	    0.050
4292.268	    0.061
4293.039	    0.064
4293.811	    0.059
4294.582	    0.038
4295.354	    0.033
4296.125	    0.033
4296.897	    0.038
4297.669	    0.049
4298.441	    0.019
4299.214	    0.011
4299.986	    0.017
4300.759	    0.043
4301.531	    0.024
4302.304	    0.020
4303.077	    0.028
4303.850	    0.040
4304.623	    0.055
4305.397	    0.054
4306.170	    0.050
4306.944	    0.043
4307.718	    0.011
4308.492	    0.042
4309.266	    0.049
4310.040	    0.049
4310.814	    0.042
4311.589	    0.049
4312.364	    0.054
4313.138	    0.055
4313.913	    0.051
4314.688	    0.041
4315.464	    0.045
4316.239	    0.047
4317.014	    0.049
4317.790	    0.054
4318.566	    0.054
4319.342	    0.051
4320.118	    0.053
4320.894	    0.059
4321.670	    0.044
4322.447	    0.043
4323.223	    0.042
4324.000	    0.038
4324.777	    0.041
4325.554	    0.058
4326.331	    0.055
4327.108	    0.047
4327.886	    0.043
4328.663	    0.038
4329.441	    0.047
4330.219	    0.060
4330.997	    0.074
4331.775	    0.060
4332.553	    0.058
4333.332	    0.057
4334.110	    0.057
4334.889	    0.060
4335.668	    0.070
4336.447	    0.061
4337.226	    0.055
4338.005	    0.066
4338.784	    0.051
4339.564	    0.065
4340.344	    0.066
4341.123	    0.056
4341.903	    0.057
4342.683	    0.054
4343.464	    0.053
4344.244	    0.052
4345.024	    0.054
4345.805	    0.061
4346.586	    0.062
4347.367	    0.060
4348.148	    0.056
4348.929	    0.051
4349.710	    0.060
4350.492	    0.061
4351.274	    0.060
4352.055	    0.058
4352.837	    0.055
4353.619	    0.058
4354.402	    0.059
4355.184	    0.056
4355.966	    0.054
4356.749	    0.048
4357.532	    0.038
4358.315	    0.029
4359.098	    0.040
4359.881	    0.052
4360.664	    0.048
4361.448	    0.042
4362.231	    0.038
4363.015	    0.051
4363.799	    0.049
4364.583	    0.055
4365.367	    0.061
4366.151	    0.059
4366.936	    0.059
4367.720	    0.066
4368.505	    0.060
4369.290	    0.032
4370.075	    0.055
4370.860	    0.042
4371.645	    0.039
4372.431	    0.045
4373.216	    0.056
4374.002	    0.050
4374.788	    0.038
4375.574	    0.029
4376.360	    0.024
4377.146	    0.032
4377.933	    0.019
4378.719	    0.042
4379.506	    0.053
4380.293	    0.048
4381.080	    0.046
4390.535	    0.031
4391.324	    0.052
4392.113	    0.038
4392.902	    0.029
4393.691	    0.038
4394.480	    0.054
4395.270	    0.039
4396.059	    0.042
4396.849	    0.045
4397.639	    0.043
4398.429	    0.035
4399.220	    0.054
4400.010	    0.056
4400.801	    0.051
4401.591	    0.040
4402.382	    0.034
4403.173	    0.041
4403.964	    0.052
4404.755	    0.058
4405.547	    0.060
4406.338	    0.050
4407.130	    0.052
4407.922	    0.053
4408.714	    0.049
4409.506	    0.036
4410.298	    0.070
4411.090	    0.063
4411.883	    0.056
4412.675	    0.049
4413.468	    0.034
4414.261	    0.043
4415.054	    0.033
4415.848	    0.032
4416.641	    0.046
4417.434	    0.037
4418.228	    0.051
4419.022	    0.048
4419.816	    0.039
4420.610	    0.037
4421.404	    0.008
4422.199	    0.029
4422.993	    0.033
4423.788	    0.036
4424.583	    0.041
4425.377	    0.041
4426.173	    0.047
4426.968	    0.047
4427.763	    0.042
4428.559	    0.041
4429.354	    0.042
4430.150	    0.041
4430.946	    0.037
4431.742	    0.029
4432.538	    0.024
4433.335	    0.036
4434.131	    0.033
4434.928	    0.032
4435.725	    0.043
4436.522	    0.037
4437.319	    0.040
4438.116	    0.033
4438.913	    0.020
4439.711	    0.013
4440.509	    0.038
4441.306	    0.030
4442.104	    0.020
4442.902	    0.017
4443.701	    0.034
4444.499	    0.053
4445.298	    0.050
4446.096	    0.049
4446.895	    0.047
4447.694	    0.039
4448.493	    0.043
4449.292	    0.038
4450.092	    0.025
4450.891	    0.020
4451.691	    0.020
4452.491	    0.024
4453.291	    0.008
4454.091	    0.017
4454.891	    0.045
4455.691	    0.029
4456.492	    0.024
4457.293	    0.029
4458.093	    0.035
4458.894	    0.038
4459.695	    0.039
4460.497	    0.030
4461.298	    0.022
4462.100	    0.008
4462.901	    0.020
4463.703	    0.020
4464.505	    0.031
4465.307	    0.017
4466.109	    0.024
4466.912	    0.015
4467.714	    0.015
