WV      	 Sigma   
4176.646	    0.034
4177.397	    0.033
4178.147	    0.032
4178.898	    0.030
4179.649	    0.029
4180.400	    0.027
4181.151	    0.027
4181.902	    0.027
4182.653	    0.028
4183.405	    0.030
4184.157	    0.030
4184.908	    0.027
4185.660	    0.021
4186.412	    0.012
4187.164	    0.014
4187.917	    0.023
4188.669	    0.025
4189.422	    0.025
4190.174	    0.021
4190.927	    0.014
4191.680	    0.022
4192.433	    0.010
4193.186	    0.024
4193.940	    0.026
4194.693	    0.014
4195.447	    0.004
4196.201	    0.010
4196.955	    0.007
4197.709	    0.009
4198.463	    0.015
4199.217	    0.019
4199.972	    0.011
4200.726	    0.017
4201.481	    0.011
4202.236	    0.011
4202.991	    0.026
4203.746	    0.029
4204.501	    0.018
4205.257	    0.010
4206.012	    0.004
4206.768	    0.020
4207.524	    0.007
4208.280	    0.013
4209.036	    0.031
4209.792	    0.011
4210.548	    0.007
4211.305	    0.010
4212.061	    0.012
4212.818	    0.011
4213.575	    0.019
4214.332	    0.023
4215.089	    0.026
4215.846	    0.015
4216.604	    0.021
4217.361	    0.022
4218.119	    0.020
4218.877	    0.024
4219.635	    0.029
4220.393	    0.033
4221.151	    0.031
4221.910	    0.021
4222.668	    0.013
4223.427	    0.010
4224.186	    0.020
4224.945	    0.020
4225.704	    0.017
4226.463	    0.004
4227.222	    0.037
4227.982	    0.023
4228.741	    0.004
4229.501	    0.014
4230.261	    0.008
4231.021	    0.010
4231.781	    0.025
4232.542	    0.031
4233.302	    0.034
4234.063	    0.027
4234.823	    0.018
4235.584	    0.008
4236.345	    0.036
4237.106	    0.023
4237.868	    0.011
4238.629	    0.018
4239.390	    0.028
4240.152	    0.028
4240.914	    0.036
4241.676	    0.037
4242.438	    0.033
4243.200	    0.027
4243.963	    0.018
4244.725	    0.018
4245.488	    0.020
4246.250	    0.018
4247.013	    0.024
4247.776	    0.022
4248.540	    0.018
4249.303	    0.026
4250.066	    0.029
4250.830	    0.030
4251.594	    0.031
4252.357	    0.032
4253.121	    0.026
4253.886	    0.029
4254.650	    0.030
4255.414	    0.024
4256.179	    0.024
4256.944	    0.037
4257.708	    0.038
4258.473	    0.025
4259.238	    0.009
4260.004	    0.012
4260.769	    0.019
4261.535	    0.027
4262.300	    0.024
4263.066	    0.025
4263.832	    0.026
4264.598	    0.026
4265.364	    0.028
4266.130	    0.027
4266.897	    0.028
4267.664	    0.026
4268.430	    0.014
4269.197	    0.011
4269.964	    0.013
4270.731	    0.020
4271.499	    0.025
4272.266	    0.039
4273.034	    0.033
4273.801	    0.028
4274.569	    0.030
4275.337	    0.015
4276.105	    0.004
4276.874	    0.011
4277.642	    0.023
4278.411	    0.028
4279.179	    0.019
4279.948	    0.018
4280.717	    0.023
4281.486	    0.027
4282.255	    0.011
4283.025	    0.013
4283.794	    0.019
4284.564	    0.022
4285.334	    0.029
4286.104	    0.033
4286.874	    0.036
4287.644	    0.035
4288.414	    0.034
4289.185	    0.027
4289.955	    0.027
4290.726	    0.034
4291.497	    0.033
4292.268	    0.033
4293.039	    0.017
4293.811	    0.028
4294.582	    0.006
4295.354	    0.009
4296.125	    0.006
4296.897	    0.008
4297.669	    0.021
4298.441	    0.047
4299.214	    0.042
4299.986	    0.037
4300.759	    0.040
4301.531	    0.045
4302.304	    0.039
4303.077	    0.034
4303.850	    0.032
4304.623	    0.015
4305.397	    0.022
4306.170	    0.032
4306.944	    0.038
4307.718	    0.024
4308.492	    0.009
4309.266	    0.025
4310.040	    0.034
4310.814	    0.036
4311.589	    0.026
4312.364	    0.031
4313.138	    0.032
4313.913	    0.027
4314.688	    0.014
4315.464	    0.004
4316.239	    0.021
4317.014	    0.030
4317.790	    0.033
4318.566	    0.030
4319.342	    0.034
4320.118	    0.038
4320.894	    0.040
4321.670	    0.019
4322.447	    0.017
4323.223	    0.024
4324.000	    0.034
4324.777	    0.037
4325.554	    0.036
4326.331	    0.038
4327.108	    0.038
4327.886	    0.027
4328.663	    0.035
4329.441	    0.042
4330.219	    0.042
4330.997	    0.035
4331.775	    0.011
4332.553	    0.024
4333.332	    0.031
4334.110	    0.035
4334.889	    0.043
4335.668	    0.036
4336.447	    0.034
4337.226	    0.035
4338.005	    0.038
4338.784	    0.036
4339.564	    0.032
4340.344	    0.033
4341.123	    0.037
4341.903	    0.036
4342.683	    0.041
4343.464	    0.042
4344.244	    0.039
4345.024	    0.029
4345.805	    0.025
4346.586	    0.027
4347.367	    0.025
4348.148	    0.022
4348.929	    0.029
4349.710	    0.034
4350.492	    0.037
4351.274	    0.037
4352.055	    0.035
4352.837	    0.040
4353.619	    0.036
4354.402	    0.030
4355.184	    0.020
4355.966	    0.020
4356.749	    0.026
4357.532	    0.031
4358.315	    0.036
4359.098	    0.040
4359.881	    0.038
4360.664	    0.032
4361.448	    0.030
4362.231	    0.037
4363.015	    0.035
4363.799	    0.038
4364.583	    0.037
4365.367	    0.033
4366.151	    0.027
4366.936	    0.032
4367.720	    0.047
4368.505	    0.050
4369.290	    0.039
4370.075	    0.037
4370.860	    0.034
4371.645	    0.029
4372.431	    0.027
4373.216	    0.036
4374.002	    0.051
4374.788	    0.046
4375.574	    0.040
4376.360	    0.038
4377.146	    0.042
4377.933	    0.046
4378.719	    0.049
4379.506	    0.058
4390.535	    0.031
4391.324	    0.038
4392.113	    0.041
4392.902	    0.034
4393.691	    0.027
4394.480	    0.022
4395.270	    0.040
4396.059	    0.043
4396.849	    0.040
4397.639	    0.036
4398.429	    0.038
4399.220	    0.044
4400.010	    0.041
4400.801	    0.038
4401.591	    0.036
4402.382	    0.044
4403.173	    0.035
4403.964	    0.043
4404.755	    0.047
4405.547	    0.043
4406.338	    0.055
4407.130	    0.047
4407.922	    0.046
4408.714	    0.043
4409.506	    0.031
4410.298	    0.043
4411.090	    0.046
4411.883	    0.045
4412.675	    0.041
4413.468	    0.026
4414.261	    0.029
4415.054	    0.034
4415.848	    0.033
4416.641	    0.020
4417.434	    0.020
4418.228	    0.031
4419.022	    0.041
4419.816	    0.042
4420.610	    0.028
4421.404	    0.017
4422.199	    0.025
4422.993	    0.032
4423.788	    0.035
4424.583	    0.026
4425.377	    0.028
4426.173	    0.018
4426.968	    0.018
4427.763	    0.009
4434.928	    0.026
4435.725	    0.014
4436.522	    0.031
4437.319	    0.014
4438.116	    0.013
4438.913	    0.016
4439.711	    0.017
4440.509	    0.013
4441.306	    0.016
4442.104	    0.020
4442.902	    0.020
4443.701	    0.024
4444.499	    0.015
4445.298	    0.006
4446.096	    0.016
4446.895	    0.020
4447.694	    0.013
4448.493	    0.008
4449.292	    0.014
4450.092	    0.013
4450.891	    0.035
4451.691	    0.013
4452.491	    0.016
4453.291	    0.007
4454.091	    0.017
4454.891	    0.016
4455.691	    0.004
4456.492	    0.019
4457.293	    0.008
4458.093	    0.004
4458.894	    0.028
4459.695	    0.014
4460.497	    0.010
4461.298	    0.006
4462.100	    0.018
4462.901	    0.022
4463.703	    0.018
4464.505	    0.004
4465.307	    0.020
4466.109	    0.025
4466.912	    0.020
4467.714	    0.026
4468.517	    0.019
4469.320	    0.006
4470.123	    0.011
4470.926	    0.027
4471.729	    0.046
4472.533	    0.047
4473.336	    0.045
4474.140	    0.043
4474.944	    0.043
4475.748	    0.042
4476.552	    0.040
4477.356	    0.038
4478.161	    0.036
4478.965	    0.034
4479.770	    0.035
4480.575	    0.037
4481.380	    0.038
4482.185	    0.039
4482.990	    0.039
4483.796	    0.037
4484.601	    0.034
4485.407	    0.031
4486.213	    0.027
4487.019	    0.025
4487.825	    0.025
4488.631	    0.027
4489.438	    0.028
4490.244	    0.029
4491.051	    0.028
4491.858	    0.027
4492.665	    0.026
4493.472	    0.024
4494.280	    0.022
4495.087	    0.020
4495.895	    0.017
4496.702	    0.032
4497.510	    0.029
4498.318	    0.016
4499.127	    0.014
4499.935	    0.022
4500.743	    0.018
4501.552	    0.011
4502.361	    0.007
4503.170	    0.013
4503.979	    0.024
4504.788	    0.020
4505.597	    0.019
4506.407	    0.024
4507.216	    0.034
4508.026	    0.027
4508.836	    0.026
4509.646	    0.030
4510.456	    0.032
4511.267	    0.027
4512.077	    0.012
4512.888	    0.025
4513.699	    0.033
4514.510	    0.036
4515.321	    0.032
4516.132	    0.020
4516.943	    0.008
4517.755	    0.013
4518.567	    0.017
4519.379	    0.014
4520.191	    0.011
4521.003	    0.028
4521.815	    0.027
4522.627	    0.020
4523.440	    0.020
4524.253	    0.017
4525.065	    0.017
4525.878	    0.020
4526.692	    0.021
4527.505	    0.020
4528.318	    0.023
4529.132	    0.026
4529.946	    0.025
4530.759	    0.004
4531.573	    0.025
4532.388	    0.015
4533.202	    0.032
4534.016	    0.027
4534.831	    0.011
4535.646	    0.013
4536.461	    0.020
4537.276	    0.016
4538.091	    0.025
4538.906	    0.024
4539.722	    0.010
4540.537	    0.030
4541.353	    0.008
4542.169	    0.006
4542.985	    0.015
4543.801	    0.004
4544.618	    0.021
4545.434	    0.010
4546.251	    0.010
4547.068	    0.015
4547.885	    0.022
4548.702	    0.022
4549.519	    0.013
4550.336	    0.017
4551.154	    0.017
4551.972	    0.016
4552.789	    0.014
4553.607	    0.025
4554.425	    0.022
4555.244	    0.014
4556.062	    0.011
4556.881	    0.008
4557.699	    0.018
4558.518	    0.019
4559.337	    0.017
4560.156	    0.022
4560.976	    0.017
4561.795	    0.012
4562.615	    0.020
4563.435	    0.026
4564.254	    0.023
4565.074	    0.016
4565.895	    0.012
4566.715	    0.025
4567.535	    0.024
4568.356	    0.025
4569.177	    0.019
4569.998	    0.007
4570.819	    0.015
4571.640	    0.023
4572.461	    0.029
4573.283	    0.023
4574.105	    0.019
4574.926	    0.023
4575.748	    0.033
4576.570	    0.028
4577.393	    0.022
4578.215	    0.007
4579.038	    0.010
4579.860	    0.026
4580.683	    0.025
4581.506	    0.026
4582.329	    0.029
4583.153	    0.018
4583.976	    0.014
4584.800	    0.011
4585.623	    0.013
4586.447	    0.016
4587.271	    0.008
4588.095	    0.024
4588.920	    0.030
4589.744	    0.011
4590.569	    0.030
4591.394	    0.030
4592.219	    0.025
4593.044	    0.020
4593.869	    0.022
4594.694	    0.022
4595.520	    0.011
4596.345	    0.023
4597.171	    0.028
4597.997	    0.029
4598.823	    0.031
4599.649	    0.017
4600.476	    0.016
4601.302	    0.022
4602.129	    0.023
4602.956	    0.006
4603.783	    0.021
4604.610	    0.018
4605.437	    0.011
4606.265	    0.011
4607.092	    0.017
4607.920	    0.004
4608.748	    0.017
4609.576	    0.017
4610.404	    0.018
4611.232	    0.020
4612.061	    0.020
4612.890	    0.022
4613.718	    0.017
4614.547	    0.019
4615.376	    0.019
4616.206	    0.016
4617.035	    0.007
4617.864	    0.013
4618.694	    0.006
4619.524	    0.013
4620.354	    0.016
4621.184	    0.017
4622.014	    0.028
4622.845	    0.029
4623.675	    0.029
4624.506	    0.031
4625.337	    0.035
4626.168	    0.039
4626.999	    0.030
4627.830	    0.006
4628.662	    0.016
4629.493	    0.004
4630.325	    0.012
4631.157	    0.011
4631.989	    0.013
4632.821	    0.012
4633.654	    0.015
4634.486	    0.017
4635.319	    0.014
4636.152	    0.022
4636.985	    0.032
4637.818	    0.029
4638.651	    0.019
4639.484	    0.013
4640.318	    0.020
4641.152	    0.027
4641.985	    0.019
4642.819	    0.010
4643.654	    0.013
4644.488	    0.019
4645.322	    0.010
4646.157	    0.007
4646.992	    0.013
4647.827	    0.024
4648.662	    0.026
4649.497	    0.027
4650.332	    0.029
4651.168	    0.031
4652.003	    0.030
4652.839	    0.023
4653.675	    0.020
4654.511	    0.023
4655.347	    0.028
4656.184	    0.023
4657.020	    0.020
4657.857	    0.014
4658.694	    0.019
4659.531	    0.028
4660.368	    0.033
4661.205	    0.024
4662.043	    0.008
4662.881	    0.019
4663.718	    0.016
4664.556	    0.016
4665.394	    0.029
4666.232	    0.021
4667.071	    0.015
4667.909	    0.015
4668.748	    0.017
