Line    	 Rest_wv 	 Center  	 dCenter 	 Amp     	         dAmp    	 Sigma    	 dSig     	 Flux    	         dFlux   	 Pos     	 dPos    	 Vel     	 Rel_Vel 	         dVel    	 flu_per 	 fwhm    
[OI]a   	 6300.300	 6361.918	    0.243	 5.434e-17	         7.003e-18	    1.955	    0.219	 2.663e-16	 4.543e-17	  -11.467	            0.378	 2917.661	 2917.661	   11.473	   17.062	    4.604
[OI]b   	 6363.800	 6426.039	    0.243	 1.753e-17	         7.003e-18	    1.955	    0.219	 8.589e-17	 3.564e-17	  -11.467	            0.378	 2917.661	 2917.661	   11.359	   41.491	    4.604
[NII]b  	 6548.100	 6611.874	    0.323	 4.482e-16	         2.836e-16	    1.761	    0.259	 1.979e-15	 1.285e-15	          -11.467	    0.378	 2905.549	 2905.549	   14.665	           64.966	    4.148
Halpha  	 6562.800	 6626.721	    0.217	 3.373e-15	         5.262e-16	    1.709	    0.167	 1.445e-14	 2.660e-15	          -11.467	    0.378	 2905.750	 2905.750	    9.823	           18.408	    4.025
[NII]a  	 6583.500	 6647.619	    0.323	 1.300e-15	         2.836e-16	    1.771	    0.259	 5.769e-15	 1.515e-15	          -11.467	    0.378	 2905.549	 2905.549	   14.586	           26.256	    4.170
[SII]a  	 6716.400	 6781.811	    0.495	 4.281e-16	         1.712e-16	    1.792	    0.392	 1.923e-15	 8.765e-16	          -11.467	    0.378	 2905.456	 2905.456	   21.873	           45.590	    4.219
[SII]b  	 6730.800	 6796.351	    0.495	 3.357e-16	         1.508e-16	    1.796	    0.392	 1.511e-15	 7.546e-16	          -11.467	    0.378	 2905.456	 2905.456	   21.826	           49.939	    4.228
Hbeta   	 4861.000	 4908.737	    0.160	 4.034e-16	         4.912e-17	    1.683	    0.110	 1.702e-15	 2.354e-16	          -11.467	    0.378	 2929.618	 2929.618	    9.740	           13.829	    3.964
[OIII]49	 4959.000	 5007.403	    0.316	 1.867e-17	         1.759e-17	    1.380	    0.249	 6.456e-17	 6.194e-17	          -11.467	    0.378	 2911.891	 2911.891	   18.943	           95.943	    3.249
[OIII]50	 5007.000	 5055.873	    0.316	 5.601e-17	         1.759e-17	    1.380	    0.249	 1.937e-16	 7.015e-17	          -11.467	    0.378	 2911.949	 2911.949	   18.761	           36.222	    3.249
[OI]a   	 6300.300	 6361.918	    0.243	 5.434e-17	         7.003e-18	    1.955	    0.219	 2.663e-16	 4.543e-17	          -11.467	    0.378	 2917.661	 2917.661	   11.473	           17.062	    4.604
[OI]b   	 6363.800	 6426.039	    0.243	 1.753e-17	         7.003e-18	    1.955	    0.219	 8.589e-17	 3.564e-17	          -11.467	    0.378	 2917.661	 2917.661	   11.359	           41.491	    4.604
[NII]b  	 6548.100	 6611.874	    0.323	 4.482e-16	         2.836e-16	    1.761	    0.259	 1.979e-15	 1.285e-15	          -11.467	    0.378	 2905.549	 2905.549	   14.665	           64.966	    4.148
Halpha  	 6562.800	 6626.721	    0.217	 3.373e-15	         5.262e-16	    1.709	    0.167	 1.445e-14	 2.660e-15	          -11.467	    0.378	 2905.750	 2905.750	    9.823	           18.408	    4.025
[NII]a  	 6583.500	 6647.619	    0.323	 1.300e-15	         2.836e-16	    1.771	    0.259	 5.769e-15	 1.515e-15	          -11.467	    0.378	 2905.549	 2905.549	   14.586	           26.256	    4.170
[SII]a  	 6716.400	 6781.811	    0.495	 4.281e-16	         1.712e-16	    1.792	    0.392	 1.923e-15	 8.765e-16	          -11.467	    0.378	 2905.456	 2905.456	   21.873	           45.590	    4.219
[SII]b  	 6730.800	 6796.351	    0.495	 3.357e-16	         1.508e-16	    1.796	    0.392	 1.511e-15	 7.546e-16	          -11.467	    0.378	 2905.456	 2905.456	   21.826	           49.939	    4.228
Hbeta   	 4861.000	 4908.737	    0.160	 4.034e-16	         4.912e-17	    1.683	    0.110	 1.702e-15	 2.354e-16	          -11.467	    0.378	 2929.618	 2929.618	    9.740	           13.829	    3.964
[OIII]49	 4959.000	 5007.403	    0.316	 1.867e-17	         1.759e-17	    1.380	    0.249	 6.456e-17	 6.194e-17	          -11.467	    0.378	 2911.891	 2911.891	   18.943	           95.943	    3.249
[OIII]50	 5007.000	 5055.873	    0.316	 5.601e-17	         1.759e-17	    1.380	    0.249	 1.937e-16	 7.015e-17	          -11.467	    0.378	 2911.949	 2911.949	   18.761	           36.222	    3.249
