WV      	 Sigma   
4518.824	    0.148
4519.571	    0.176
4520.318	    0.215
4521.065	    0.160
4521.812	    0.172
4522.559	    0.225
4523.306	    0.278
4524.054	    0.273
4524.801	    0.244
4525.549	    0.145
4526.297	    0.072
4527.045	    0.148
4527.793	    0.210
4528.541	    0.176
4529.289	    0.113
4530.038	    0.096
4530.786	    0.123
4531.535	    0.133
4532.284	    0.121
4533.033	    0.115
4533.782	    0.157
4534.531	    0.177
4535.280	    0.156
4536.030	    0.144
4536.779	    0.168
4537.529	    0.177
4538.279	    0.157
4539.028	    0.079
4539.779	    0.154
4540.529	    0.084
4541.279	    0.132
4542.029	    0.165
4542.780	    0.162
4543.531	    0.148
4544.281	    0.091
4545.032	    0.123
4545.783	    0.144
4546.534	    0.129
4547.286	    0.059
4548.037	    0.038
4548.789	    0.167
4549.540	    0.196
4550.292	    0.176
4551.044	    0.133
4551.796	    0.108
4552.548	    0.152
4553.300	    0.175
4554.053	    0.166
4554.805	    0.134
4555.558	    0.076
4556.311	    0.070
4557.064	    0.153
4557.817	    0.169
4558.570	    0.173
4559.323	    0.169
4560.076	    0.150
4560.830	    0.106
4561.584	    0.139
4562.337	    0.084
4563.091	    0.176
4563.845	    0.179
4564.599	    0.061
4565.354	    0.017
4566.108	    0.096
4566.863	    0.101
4567.617	    0.076
4568.372	    0.068
4569.127	    0.190
4569.882	    0.178
4570.637	    0.159
4571.392	    0.143
4572.148	    0.140
4572.903	    0.161
4573.659	    0.184
4574.415	    0.147
4575.170	    0.063
4575.926	    0.029
4576.683	    0.125
4577.439	    0.137
4578.195	    0.074
4578.952	    0.089
4579.708	    0.106
4580.465	    0.187
4581.222	    0.192
4581.979	    0.134
4582.736	    0.130
4583.493	    0.113
4584.251	    0.116
4585.008	    0.135
4585.766	    0.130
4586.524	    0.053
4587.282	    0.083
4588.040	    0.024
4588.798	    0.088
4589.556	    0.088
4590.314	    0.106
4591.073	    0.106
4591.832	    0.048
4592.590	    0.034
4593.349	    0.089
4594.108	    0.128
4594.867	    0.128
4595.627	    0.115
4596.386	    0.121
4597.146	    0.128
4597.905	    0.119
4598.665	    0.072
4599.425	    0.048
4600.185	    0.056
4600.945	    0.065
4601.705	    0.068
4602.466	    0.083
4603.226	    0.107
4603.987	    0.097
4604.748	    0.051
4605.508	    0.074
4606.269	    0.124
4607.031	    0.159
4607.792	    0.112
4608.553	    0.113
4609.315	    0.166
4610.076	    0.172
4610.838	    0.152
4611.600	    0.145
4612.362	    0.124
4613.124	    0.086
4613.887	    0.034
4614.649	    0.077
4615.412	    0.056
4616.174	    0.104
4616.937	    0.056
4617.700	    0.056
4618.463	    0.051
4619.226	    0.138
4619.989	    0.193
4620.753	    0.187
4621.516	    0.051
4622.280	    0.048
4623.044	    0.138
4623.808	    0.171
4624.572	    0.146
4625.336	    0.167
4626.100	    0.154
4626.865	    0.136
4627.629	    0.175
4628.394	    0.204
4629.159	    0.204
4629.924	    0.181
4630.689	    0.131
4631.454	    0.091
4632.219	    0.097
4632.985	    0.093
4633.750	    0.048
4639.113	    0.029
4639.879	    0.077
4640.646	    0.118
4641.413	    0.076
4642.180	    0.094
4642.947	    0.143
4643.714	    0.179
4644.481	    0.137
4645.249	    0.131
4646.016	    0.137
4646.784	    0.123
4647.552	    0.029
4648.320	    0.132
4649.088	    0.119
4649.856	    0.138
4650.625	    0.125
4651.393	    0.083
4652.162	    0.048
4652.930	    0.053
4653.699	    0.112
4654.468	    0.029
4655.237	    0.128
4656.007	    0.139
4656.776	    0.084
4657.546	    0.048
4658.315	    0.081
4659.085	    0.150
4659.855	    0.191
4660.625	    0.206
4661.395	    0.198
4662.165	    0.167
4662.936	    0.144
4663.706	    0.101
4664.477	    0.041
4665.247	    0.051
4666.018	    0.106
4666.789	    0.136
4667.561	    0.126
4668.332	    0.038
4669.103	    0.089
4669.875	    0.119
4670.646	    0.096
4671.418	    0.100
4672.190	    0.065
4672.962	    0.128
4673.734	    0.059
4674.507	    0.131
4675.279	    0.124
4676.052	    0.053
4676.824	    0.061
4677.597	    0.182
4678.370	    0.137
4679.143	    0.086
4679.916	    0.065
4680.690	    0.088
4681.463	    0.106
4682.237	    0.213
4683.010	    0.212
4683.784	    0.121
4684.558	    0.097
4685.332	    0.084
4686.106	    0.144
4686.881	    0.122
4687.655	    0.086
4688.430	    0.116
4689.205	    0.171
4689.979	    0.196
4690.754	    0.161
4691.529	    0.068
4692.305	    0.065
4693.080	    0.108
4693.856	    0.124
4694.631	    0.096
4695.407	    0.017
4696.183	    0.079
4696.959	    0.089
4697.735	    0.056
4698.511	    0.113
4699.288	    0.131
4700.064	    0.122
4700.841	    0.089
4701.618	    0.059
4702.394	    0.124
4703.171	    0.094
4703.949	    0.017
4704.726	    0.072
4705.503	    0.088
4706.281	    0.106
4707.059	    0.101
4707.836	    0.119
4708.614	    0.104
4709.392	    0.083
4710.171	    0.074
4710.949	    0.088
4711.727	    0.113
4712.506	    0.104
4713.285	    0.096
4714.063	    0.117
4714.842	    0.131
4715.621	    0.107
4716.401	    0.034
4717.180	    0.154
4717.960	    0.180
4718.739	    0.137
4719.519	    0.056
4720.299	    0.128
4721.079	    0.089
4721.859	    0.137
4722.639	    0.157
4723.419	    0.124
4724.200	    0.115
4724.981	    0.133
4725.761	    0.142
4726.542	    0.076
4727.323	    0.074
4728.104	    0.063
4728.886	    0.053
4729.667	    0.059
4730.449	    0.094
4731.230	    0.074
4732.012	    0.076
4732.794	    0.070
4733.576	    0.140
4734.358	    0.140
4735.141	    0.117
4735.923	    0.089
4736.706	    0.045
4737.488	    0.145
4738.271	    0.068
4739.054	    0.051
4739.837	    0.063
4740.620	    0.099
4741.404	    0.115
4742.187	    0.083
4742.971	    0.048
4743.755	    0.072
4744.538	    0.099
4745.322	    0.146
4746.107	    0.155
4746.891	    0.061
4747.675	    0.146
4748.460	    0.081
4749.244	    0.074
4750.029	    0.094
4750.814	    0.115
4751.599	    0.101
4752.384	    0.034
4753.170	    0.093
4753.955	    0.162
4754.741	    0.076
4755.526	    0.121
4756.312	    0.106
4757.098	    0.084
4757.884	    0.108
4758.670	    0.051
4759.457	    0.063
4760.243	    0.125
4761.030	    0.091
4761.816	    0.079
4762.603	    0.121
4763.390	    0.103
4764.177	    0.079
4764.965	    0.017
4765.752	    0.086
4766.539	    0.134
4767.327	    0.146
4768.115	    0.126
4768.903	    0.111
4769.691	    0.130
4770.479	    0.117
4771.267	    0.116
4772.056	    0.111
4772.844	    0.056
4773.633	    0.112
4774.422	    0.142
4775.211	    0.089
4776.000	    0.076
4776.789	    0.096
