Line    	 Rest_wv 	 Center  	 dCenter 	 Amp     	         dAmp    	 Sigma    	 dSig     	 Flux    	         dFlux   	 Pos     	 dPos    	 Vel     	 Rel_Vel 	         dVel    	 flu_per 	 fwhm    
[OI]a   	 6300.300	 6367.462	    0.437	 1.191e-17	         2.141e-18	    2.460	    0.416	 7.343e-17	 1.812e-17	  -21.288	            0.378	 3178.775	 3178.775	   20.580	   24.680	    5.793
[OI]b   	 6363.800	 6431.639	    0.437	 3.841e-18	         2.141e-18	    2.460	    0.416	 2.369e-17	 1.380e-17	  -21.288	            0.378	 3178.775	 3178.775	   20.375	   58.237	    5.793
[NII]b  	 6548.100	 6617.559	    0.350	 3.339e-17	         2.023e-17	    2.033	    0.293	 1.701e-16	 1.059e-16	          -21.288	    0.378	 3163.192	 3163.192	   15.865	           62.271	    4.787
Halpha  	 6562.800	 6632.608	    0.286	 1.681e-16	         3.115e-17	    1.908	    0.232	 8.038e-16	 1.782e-16	          -21.288	    0.378	 3171.915	 3171.915	   12.928	           22.172	    4.493
[NII]a  	 6583.500	 6653.335	    0.350	 9.682e-17	         2.023e-17	    2.044	    0.293	 4.960e-16	 1.257e-16	          -21.288	    0.378	 3163.192	 3163.192	   15.780	           25.342	    4.813
[SII]a  	 6716.400	 6787.782	    0.455	 4.095e-17	         1.453e-17	    1.840	    0.360	 1.889e-16	 7.656e-17	          -21.288	    0.378	 3169.271	 3169.271	   20.082	           40.532	    4.333
[SII]b  	 6730.800	 6802.335	    0.455	 3.164e-17	         1.240e-17	    1.844	    0.360	 1.462e-16	 6.406e-17	          -21.288	    0.378	 3169.271	 3169.271	   20.039	           43.805	    4.343
Hbeta   	 4861.000	 4912.757	    0.248	 3.414e-17	         6.395e-18	    1.477	    0.166	 1.264e-16	 2.759e-17	          -21.288	    0.378	 3174.993	 3174.993	   15.156	           21.830	    3.478
[OIII]49	 4959.000	 5011.584	    0.576	 2.065e-18	         2.673e-18	    1.478	    0.567	 7.652e-18	 1.033e-17	          -21.288	    0.378	 3162.096	 3162.096	   34.463	          134.996	    3.481
[OIII]50	 5007.000	 5060.094	    0.576	 6.195e-18	         2.673e-18	    1.478	    0.567	 2.296e-17	 1.325e-17	          -21.288	    0.378	 3162.154	 3162.154	   34.132	           57.733	    3.481
[OI]a   	 6300.300	 6367.462	    0.437	 1.191e-17	         2.141e-18	    2.460	    0.416	 7.343e-17	 1.812e-17	          -21.288	    0.378	 3178.775	 3178.775	   20.580	           24.680	    5.793
[OI]b   	 6363.800	 6431.639	    0.437	 3.841e-18	         2.141e-18	    2.460	    0.416	 2.369e-17	 1.380e-17	          -21.288	    0.378	 3178.775	 3178.775	   20.375	           58.237	    5.793
[NII]b  	 6548.100	 6617.559	    0.350	 3.339e-17	         2.023e-17	    2.033	    0.293	 1.701e-16	 1.059e-16	          -21.288	    0.378	 3163.192	 3163.192	   15.865	           62.271	    4.787
Halpha  	 6562.800	 6632.608	    0.286	 1.681e-16	         3.115e-17	    1.908	    0.232	 8.038e-16	 1.782e-16	          -21.288	    0.378	 3171.915	 3171.915	   12.928	           22.172	    4.493
[NII]a  	 6583.500	 6653.335	    0.350	 9.682e-17	         2.023e-17	    2.044	    0.293	 4.960e-16	 1.257e-16	          -21.288	    0.378	 3163.192	 3163.192	   15.780	           25.342	    4.813
[SII]a  	 6716.400	 6787.782	    0.455	 4.095e-17	         1.453e-17	    1.840	    0.360	 1.889e-16	 7.656e-17	          -21.288	    0.378	 3169.271	 3169.271	   20.082	           40.532	    4.333
[SII]b  	 6730.800	 6802.335	    0.455	 3.164e-17	         1.240e-17	    1.844	    0.360	 1.462e-16	 6.406e-17	          -21.288	    0.378	 3169.271	 3169.271	   20.039	           43.805	    4.343
Hbeta   	 4861.000	 4912.757	    0.248	 3.414e-17	         6.395e-18	    1.477	    0.166	 1.264e-16	 2.759e-17	          -21.288	    0.378	 3174.993	 3174.993	   15.156	           21.830	    3.478
[OIII]49	 4959.000	 5011.584	    0.576	 2.065e-18	         2.673e-18	    1.478	    0.567	 7.652e-18	 1.033e-17	          -21.288	    0.378	 3162.096	 3162.096	   34.463	          134.996	    3.481
[OIII]50	 5007.000	 5060.094	    0.576	 6.195e-18	         2.673e-18	    1.478	    0.567	 2.296e-17	 1.325e-17	          -21.288	    0.378	 3162.154	 3162.154	   34.132	           57.733	    3.481
