wlen 	 newgal_spectrum 
  4176.646 	      0.132
  4177.397 	      0.119
  4178.147 	      0.105
  4178.898 	      0.090
  4179.649 	      0.067
  4180.400 	      0.044
  4181.151 	      0.022
  4181.902 	     -0.001
  4182.653 	     -0.027
  4183.405 	     -0.041
  4184.157 	     -0.051
  4184.908 	     -0.058
  4185.660 	     -0.072
  4186.412 	     -0.079
  4187.164 	     -0.100
  4187.917 	     -0.140
  4188.669 	     -0.115
  4189.422 	     -0.080
  4190.174 	     -0.065
  4190.927 	     -0.091
  4191.680 	     -0.171
  4192.433 	     -0.198
  4193.186 	     -0.185
  4193.940 	     -0.094
  4194.693 	     -0.085
  4195.447 	     -0.028
  4196.201 	     -0.003
  4196.955 	     -0.084
  4197.709 	     -0.056
  4198.463 	     -0.072
  4199.217 	     -0.105
  4199.972 	     -0.161
  4200.726 	      0.051
  4201.481 	      0.154
  4202.236 	      0.192
  4202.991 	      0.095
  4203.746 	     -0.015
  4204.501 	     -0.050
  4205.257 	     -0.064
  4206.012 	     -0.055
  4206.768 	     -0.014
  4207.524 	      0.051
  4208.280 	      0.079
  4209.036 	     -0.012
  4209.792 	     -0.102
  4210.548 	     -0.061
  4211.305 	     -0.025
  4212.061 	     -0.058
  4212.818 	     -0.075
  4213.575 	     -0.102
  4214.332 	     -0.129
  4215.089 	     -0.159
  4215.846 	     -0.136
  4216.604 	     -0.025
  4217.361 	      0.038
  4218.119 	     -0.023
  4218.877 	     -0.033
  4219.635 	     -0.026
  4220.393 	     -0.030
  4221.151 	     -0.068
  4221.910 	     -0.173
  4222.668 	     -0.174
  4223.427 	     -0.131
  4224.186 	     -0.030
  4224.945 	      0.020
  4225.704 	     -0.054
  4226.463 	     -0.026
  4227.222 	      0.174
  4227.982 	     -0.082
  4228.741 	     -0.025
  4229.501 	     -0.024
  4230.261 	     -0.116
  4231.021 	     -0.112
  4231.781 	     -0.007
  4232.542 	      0.002
  4233.302 	     -0.095
  4234.063 	     -0.021
  4234.823 	      0.011
  4235.584 	      0.104
  4236.345 	      0.241
  4237.106 	      0.042
  4237.868 	      0.003
  4238.629 	     -0.073
  4239.390 	     -0.161
  4240.152 	     -0.106
  4240.914 	     -0.101
  4241.676 	     -0.079
  4242.438 	     -0.045
  4243.200 	      0.018
  4243.963 	     -0.005
  4244.725 	     -0.043
  4245.488 	     -0.070
  4246.250 	     -0.008
  4247.013 	      0.071
  4247.776 	      0.045
  4248.540 	      0.000
  4249.303 	      0.002
  4250.066 	     -0.078
  4250.830 	     -0.100
  4251.594 	     -0.105
  4252.357 	     -0.097
  4253.121 	     -0.058
  4253.886 	     -0.000
  4254.650 	      0.020
  4255.414 	     -0.028
  4256.179 	      0.016
  4256.944 	     -0.069
  4257.708 	     -0.126
  4258.473 	     -0.135
  4259.238 	     -0.005
  4260.004 	      0.039
  4260.769 	      0.013
  4261.535 	     -0.066
  4262.300 	     -0.016
  4263.066 	      0.112
  4263.832 	      0.103
  4264.598 	      0.020
  4265.364 	     -0.038
  4266.130 	     -0.040
  4266.897 	     -0.029
  4267.664 	     -0.018
  4268.430 	     -0.033
  4269.197 	     -0.062
  4269.964 	     -0.037
  4270.731 	     -0.005
  4271.499 	      0.015
  4272.266 	     -0.115
  4273.034 	     -0.121
  4273.801 	     -0.060
  4274.569 	      0.082
  4275.337 	      0.075
  4276.105 	      0.042
  4276.874 	      0.026
  4277.642 	      0.026
  4278.411 	      0.004
  4279.179 	     -0.082
  4279.948 	     -0.100
  4280.717 	     -0.071
  4281.486 	      0.007
  4282.255 	     -0.004
  4283.025 	     -0.002
  4283.794 	     -0.011
  4284.564 	     -0.075
  4285.334 	     -0.157
  4286.104 	     -0.120
  4286.874 	     -0.041
  4287.644 	      0.079
  4288.414 	      0.042
  4289.185 	      0.001
  4289.955 	      0.012
  4290.726 	      0.075
  4291.497 	      0.029
  4292.268 	     -0.043
  4293.039 	     -0.028
  4293.811 	     -0.004
  4294.582 	     -0.268
  4295.354 	     -0.165
  4296.125 	      0.007
  4296.897 	      0.148
  4297.669 	      0.126
  4298.441 	     -0.113
  4299.214 	     -0.002
  4299.986 	      0.109
  4300.759 	      0.139
  4301.531 	      0.017
  4302.304 	     -0.103
  4303.077 	     -0.141
  4303.850 	     -0.109
  4304.623 	     -0.032
  4305.397 	      0.015
  4306.170 	     -0.009
  4306.944 	     -0.034
  4307.718 	      0.075
  4308.492 	      0.083
  4309.266 	      0.089
  4310.040 	      0.061
  4310.814 	     -0.034
  4311.589 	     -0.005
  4312.364 	      0.072
  4313.138 	      0.104
  4313.913 	      0.086
  4314.688 	     -0.025
  4315.464 	     -0.059
  4316.239 	     -0.004
  4317.014 	      0.083
  4317.790 	      0.137
  4318.566 	      0.024
  4319.342 	      0.020
  4320.118 	      0.067
  4320.894 	      0.165
  4321.670 	      0.072
  4322.447 	      0.003
  4323.223 	      0.021
  4324.000 	      0.099
  4324.777 	     -0.009
  4325.554 	     -0.073
  4326.331 	     -0.021
  4327.108 	      0.068
  4327.886 	      0.132
  4328.663 	      0.077
  4329.441 	      0.068
  4330.219 	      0.025
  4330.997 	     -0.071
  4331.775 	     -0.188
  4332.553 	     -0.106
  4333.332 	     -0.035
  4334.110 	      0.005
  4334.889 	     -0.090
  4335.668 	      0.006
  4336.447 	      0.001
  4337.226 	      0.013
  4338.005 	      0.105
  4338.784 	     -0.017
  4339.564 	      0.058
  4340.344 	      0.097
  4341.123 	      0.085
  4341.903 	      0.004
  4342.683 	     -0.020
  4343.464 	      0.040
  4344.244 	      0.072
  4345.024 	     -0.055
  4345.805 	     -0.129
  4346.586 	     -0.173
  4347.367 	     -0.189
  4348.148 	     -0.168
  4348.929 	     -0.048
  4349.710 	     -0.018
  4350.492 	      0.000
  4351.274 	      0.011
  4352.055 	     -0.004
  4352.837 	     -0.035
  4353.619 	     -0.025
  4354.402 	     -0.002
  4355.184 	      0.028
  4355.966 	     -0.021
  4356.749 	     -0.034
  4357.532 	     -0.053
  4358.315 	     -0.070
  4359.098 	     -0.073
  4359.881 	      0.079
  4360.664 	      0.050
  4361.448 	     -0.022
  4362.231 	     -0.096
  4363.015 	      0.169
  4363.799 	      0.071
  4364.583 	      0.061
  4365.367 	      0.085
  4366.151 	      0.060
  4366.936 	     -0.156
  4367.720 	     -0.049
  4368.505 	      0.003
  4369.290 	     -0.072
  4370.075 	      0.037
  4370.860 	     -0.028
  4371.645 	      0.041
  4372.431 	      0.115
  4373.216 	      0.016
  4374.002 	      0.049
  4374.788 	      0.030
  4375.574 	     -0.003
  4376.360 	     -0.043
  4377.146 	      0.000
  4377.933 	     -0.027
  4378.719 	     -0.005
  4379.506 	      0.012
  4380.293 	     -0.025
  4381.080 	      0.054
  4381.867 	      0.093
  4382.654 	      0.091
  4383.442 	      0.061
  4384.229 	      0.061
  4392.902 	     -0.040
  4393.691 	     -0.025
  4394.480 	      0.001
  4395.270 	     -0.001
  4396.059 	     -0.042
  4396.849 	     -0.005
  4397.639 	      0.045
  4398.429 	      0.060
  4399.220 	      0.051
  4400.010 	     -0.058
  4400.801 	     -0.032
  4401.591 	      0.071
  4402.382 	      0.025
  4403.173 	     -0.059
  4403.964 	     -0.011
  4404.755 	      0.014
  4405.547 	     -0.021
  4406.338 	      0.093
  4407.130 	      0.104
  4407.922 	      0.066
  4408.714 	      0.007
  4409.506 	     -0.053
  4410.298 	      0.005
  4411.090 	     -0.016
  4411.883 	     -0.008
  4412.675 	     -0.007
  4413.468 	     -0.151
  4414.261 	     -0.129
  4415.054 	     -0.079
  4415.848 	     -0.065
  4416.641 	     -0.093
  4417.434 	     -0.021
  4418.228 	      0.075
  4419.022 	      0.111
  4419.816 	      0.072
  4420.610 	     -0.069
  4421.404 	     -0.032
  4422.199 	      0.061
  4422.993 	      0.126
  4423.788 	      0.153
  4424.583 	      0.104
  4425.377 	      0.050
  4426.173 	      0.011
  4426.968 	     -0.019
  4427.763 	     -0.037
  4428.559 	     -0.022
  4429.354 	     -0.065
  4430.150 	     -0.007
  4430.946 	      0.058
  4431.742 	      0.097
  4432.538 	      0.036
  4433.335 	      0.014
  4434.131 	      0.050
  4434.928 	      0.095
  4435.725 	      0.121
  4436.522 	      0.019
  4437.319 	      0.004
  4438.116 	     -0.022
  4438.913 	     -0.036
  4439.711 	     -0.009
  4440.509 	      0.100
  4441.306 	      0.056
  4442.104 	     -0.012
  4442.902 	     -0.067
  4443.701 	     -0.053
  4444.499 	     -0.007
  4445.298 	      0.038
  4446.096 	      0.002
  4446.895 	     -0.087
  4447.694 	     -0.009
  4448.493 	      0.048
  4449.292 	      0.044
  4450.092 	      0.014
  4450.891 	     -0.034
  4451.691 	     -0.065
  4452.491 	     -0.116
  4453.291 	     -0.086
  4454.091 	     -0.020
  4454.891 	      0.054
  4455.691 	      0.080
  4456.492 	      0.001
  4457.293 	     -0.060
  4458.093 	     -0.100
  4458.894 	     -0.110
  4459.695 	     -0.031
  4460.497 	     -0.004
  4461.298 	      0.047
  4462.100 	      0.046
  4462.901 	     -0.085
  4463.703 	     -0.003
  4464.505 	     -0.039
  4465.307 	     -0.057
  4466.109 	     -0.062
  4466.912 	     -0.063
  4467.714 	     -0.106
  4468.517 	     -0.073
  4469.320 	     -0.027
  4470.123 	      0.005
  4470.926 	     -0.022
  4471.729 	     -0.021
  4472.533 	     -0.020
  4473.336 	     -0.020
  4474.140 	     -0.021
  4474.944 	     -0.022
  4475.748 	     -0.022
  4476.552 	     -0.020
  4477.356 	     -0.020
  4478.161 	     -0.019
  4478.965 	     -0.016
  4479.770 	     -0.009
