1 1 1156.39 1161.08
5.9422 
0.6742 
name    flux    f_err    vel    sig
Hgamma      	   7.60599	      0.13	 2898.8203	     27.92
Hbeta       	  15.78927	      0.12	 2898.8203	     27.92
Halpha      	  99.63723	      0.11	 2898.8203	     27.92
[SII]6716   	  10.44537	      0.11	 2901.6605	     33.89
[SII]6731   	   8.76679	      0.11	 2901.6605	     33.89
[OIII]5007_d	   1.83988	      0.15	 2901.6605	     33.89
[OI]6300_d  	   2.39223	      0.14	 2901.6605	     33.89
[NII]6583_d 	  55.36503	      0.13	 2901.6605	     33.89
