Line    	 Rest_wv 	 Center  	 dCenter 	 Amp     	     dAmp    	 Sigma    	 dSig     	 Flux    	     dFlux   	 Pos     	 dPos    	 Vel     	 Rel_Vel 	     dVel    	 flu_per 	 fwhm    
[OI]a   	 6300.300	 6363.327	    0.355	 6.529e-17	     8.961e-18	    2.464	    0.332	 4.032e-16	 7.761e-17	  -13.733	        0.378	 2984.076	 2984.076	   16.734	   19.248	    5.802
[OI]b   	 6363.800	 6427.462	    0.355	 2.106e-17	     8.961e-18	    2.464	    0.332	 1.301e-16	 5.806e-17	  -13.733	        0.378	 2984.076	 2984.076	   16.567	   44.640	    5.802
[NII]b  	 6548.100	 6613.085	    0.287	 2.248e-16	     8.259e-17	    2.525	    0.239	 1.423e-15	 5.398e-16	      -13.733	    0.378	 2960.458	 2960.458	   13.025	       37.939	    5.946
Halpha  	 6562.800	 6627.571	    0.231	 1.059e-15	     1.239e-16	    2.311	    0.187	 6.135e-15	 8.728e-16	      -13.733	    0.378	 2944.193	 2944.193	   10.463	       14.228	    5.443
[NII]a  	 6583.500	 6648.836	    0.287	 6.519e-16	     8.259e-17	    2.539	    0.239	 4.148e-15	 6.548e-16	      -13.733	    0.378	 2960.458	 2960.458	   12.955	       15.785	    5.978
[SII]a  	 6716.400	 6782.896	    0.509	 1.876e-16	     4.900e-17	    2.559	    0.424	 1.203e-15	 3.723e-16	      -13.733	    0.378	 2953.419	 2953.419	   22.492	       30.938	    6.026
[SII]b  	 6730.800	 6797.439	    0.509	 1.489e-16	     4.274e-17	    2.565	    0.424	 9.574e-16	 3.171e-16	      -13.733	    0.378	 2953.419	 2953.419	   22.444	       33.123	    6.039
Hbeta   	 4861.000	 4909.804	    0.347	 1.445e-16	     3.264e-17	    1.816	    0.250	 6.578e-16	 1.740e-16	      -13.733	    0.378	 2994.800	 2994.800	   21.197	       26.458	    4.277
[OIII]49	 4959.000	 5008.535	    0.390	 2.153e-17	     2.138e-17	    1.553	    0.330	 8.381e-17	 8.510e-17	      -13.733	    0.378	 2979.658	 2979.658	   23.332	      101.539	    3.657
[OIII]50	 5007.000	 5057.016	    0.390	 6.458e-17	     2.138e-17	    1.553	    0.330	 2.514e-16	 9.886e-17	      -13.733	    0.378	 2979.716	 2979.716	   23.108	       39.321	    3.657
