Line    	 Rest_wv 	 Center  	 dCenter 	 Amp     	     dAmp    	 Sigma    	 dSig     	 Flux    	     dFlux   	 Pos     	 dPos    	 Vel     	 Rel_Vel 	     dVel    	 flu_per 	 fwhm    
[OI]a   	 6300.300	 6367.210	    0.266	 3.999e-17	     5.783e-18	    1.894	    0.249	 1.898e-16	 3.708e-17	  -19.022	        0.378	 3166.916	 3166.916	   12.545	   19.536	    4.460
[OI]b   	 6363.800	 6431.384	    0.266	 1.290e-17	     5.783e-18	    1.894	    0.249	 6.123e-17	 2.860e-17	  -19.022	        0.378	 3166.916	 3166.916	   12.420	   46.718	    4.460
[NII]b  	 6548.100	 6617.849	    0.278	 4.427e-16	     2.600e-16	    1.606	    0.219	 1.782e-15	 1.075e-15	      -19.022	    0.378	 3176.319	 3176.319	   12.615	       60.287	    3.782
Halpha  	 6562.800	 6632.732	    0.184	 3.528e-15	     4.878e-16	    1.622	    0.140	 1.435e-14	 2.339e-15	      -19.022	    0.378	 3177.520	 3177.520	    8.296	       16.304	    3.820
[NII]a  	 6583.500	 6653.626	    0.278	 1.284e-15	     2.600e-16	    1.615	    0.219	 5.197e-15	 1.267e-15	      -19.022	    0.378	 3176.319	 3176.319	   12.547	       24.386	    3.802
[SII]a  	 6716.400	 6787.845	    0.494	 3.664e-16	     1.575e-16	    1.496	    0.401	 1.374e-15	 6.962e-16	      -19.022	    0.378	 3172.035	 3172.035	   21.813	       50.655	    3.524
[SII]b  	 6730.800	 6802.398	    0.494	 2.577e-16	     1.342e-16	    1.500	    0.401	 9.687e-16	 5.671e-16	      -19.022	    0.378	 3172.035	 3172.035	   21.766	       58.545	    3.531
Hbeta   	 4861.000	 4913.147	    0.122	 6.017e-16	     5.589e-17	    1.651	    0.084	 2.490e-15	 2.639e-16	      -19.022	    0.378	 3198.807	 3198.807	    7.423	       10.600	    3.887
[OIII]49	 4959.000	 5011.994	    0.325	 1.999e-17	     1.495e-17	    1.547	    0.231	 7.747e-17	 5.908e-17	      -19.022	    0.378	 3186.618	 3186.618	   19.452	       76.257	    3.642
[OIII]50	 5007.000	 5060.508	    0.325	 5.996e-17	     1.495e-17	    1.547	    0.231	 2.324e-16	 6.752e-17	      -19.022	    0.378	 3186.676	 3186.676	   19.265	       29.052	    3.642
