Line    	 Rest_wv 	 Center  	 dCenter 	 Amp     	     dAmp    	 Sigma    	 dSig     	 Flux    	     dFlux   	 Pos     	 dPos    	 Vel     	 Rel_Vel 	     dVel    	 flu_per 	 fwhm    
[OI]a   	 6300.300	 6362.102	    0.298	 1.143e-17	     1.306e-18	    2.606	    0.269	 7.466e-17	 1.149e-17	   -6.935	        0.378	 2926.372	 2926.372	   14.064	   15.394	    6.137
[OI]b   	 6363.800	 6426.225	    0.298	 3.687e-18	     1.306e-18	    2.606	    0.269	 2.408e-17	 8.884e-18	   -6.935	        0.378	 2926.372	 2926.372	   13.924	   36.885	    6.137
[NII]b  	 6548.100	 6612.689	    0.441	 2.082e-17	     1.274e-17	    2.230	    0.374	 1.163e-16	 7.384e-17	       -6.935	    0.378	 2942.518	 2942.518	   20.000	       63.478	    5.250
Halpha  	 6562.800	 6627.302	    0.359	 9.927e-17	     1.786e-17	    2.238	    0.292	 5.569e-16	 1.238e-16	       -6.935	    0.378	 2932.002	 2932.002	   16.240	       22.239	    5.270
[NII]a  	 6583.500	 6648.439	    0.441	 6.036e-17	     1.274e-17	    2.242	    0.374	 3.392e-16	 9.130e-17	       -6.935	    0.378	 2942.518	 2942.518	   19.893	       26.919	    5.279
[SII]a  	 6716.400	 6782.637	    0.530	 2.880e-17	     9.528e-18	    1.959	    0.421	 1.414e-16	 5.579e-17	       -6.935	    0.378	 2941.988	 2941.988	   23.443	       39.448	    4.614
[SII]b  	 6730.800	 6797.179	    0.530	 1.707e-17	     7.600e-18	    1.964	    0.421	 8.403e-17	 4.152e-17	       -6.935	    0.378	 2941.988	 2941.988	   23.392	       49.406	    4.624
Hbeta   	 4861.000	 4909.120	    0.411	 2.136e-17	     5.335e-18	    1.933	    0.294	 1.035e-16	 3.027e-17	       -6.935	    0.378	 2953.039	 2953.039	   25.100	       29.246	    4.552
[OIII]49	 4959.000	 5007.783	    0.497	 2.100e-18	     2.704e-18	    1.581	    0.337	 8.318e-18	 1.086e-17	       -6.935	    0.378	 2934.621	 2934.621	   29.731	      130.534	    3.722
[OIII]50	 5007.000	 5056.256	    0.497	 6.299e-18	     2.704e-18	    1.581	    0.337	 2.495e-17	 1.196e-17	       -6.935	    0.378	 2934.679	 2934.679	   29.446	       47.936	    3.722
