Line    	 Rest_wv 	 Center  	 dCenter 	 Amp     	     dAmp    	 Sigma    	 dSig     	 Flux    	     dFlux   	 Pos     	 dPos    	 Vel     	 Rel_Vel 	     dVel    	 flu_per 	 fwhm    
[OI]a   	 6300.300	 6361.941	    0.230	 5.921e-17	     6.299e-18	    2.263	    0.215	 3.359e-16	 4.789e-17	  -12.223	        0.378	 2918.755	 2918.755	   10.860	   14.260	    5.329
[OI]b   	 6363.800	 6426.062	    0.230	 1.910e-17	     6.299e-18	    2.263	    0.215	 1.083e-16	 3.718e-17	  -12.223	        0.378	 2918.755	 2918.755	   10.751	   34.317	    5.329
[NII]b  	 6548.100	 6611.825	    0.300	 5.415e-16	     3.215e-16	    1.706	    0.239	 2.315e-15	 1.412e-15	      -12.223	    0.378	 2903.321	 2903.321	   13.598	       61.007	    4.016
Halpha  	 6562.800	 6626.626	    0.190	 4.430e-15	     6.174e-16	    1.653	    0.144	 1.835e-14	 3.015e-15	      -12.223	    0.378	 2901.442	 2901.442	    8.606	       16.430	    3.891
[NII]a  	 6583.500	 6647.569	    0.300	 1.570e-15	     3.215e-16	    1.715	    0.239	 6.750e-15	 1.672e-15	      -12.223	    0.378	 2903.321	 2903.321	   13.525	       24.766	    4.038
[SII]a  	 6716.400	 6781.760	    0.478	 4.933e-16	     1.955e-16	    1.676	    0.383	 2.073e-15	 9.480e-16	      -12.223	    0.378	 2903.190	 2903.190	   21.112	       45.736	    3.947
[SII]b  	 6730.800	 6796.300	    0.478	 3.741e-16	     1.691e-16	    1.680	    0.383	 1.575e-15	 7.975e-16	      -12.223	    0.378	 2903.190	 2903.190	   21.067	       50.630	    3.956
Hbeta   	 4861.000	 4908.645	    0.126	 6.374e-16	     6.141e-17	    1.611	    0.082	 2.574e-15	 2.808e-16	      -12.223	    0.378	 2924.019	 2924.019	    7.712	       10.906	    3.794
[OIII]49	 4959.000	 5007.280	    0.320	 1.975e-17	     1.671e-17	    1.555	    0.222	 7.698e-17	 6.605e-17	      -12.223	    0.378	 2904.521	 2904.521	   19.140	       85.803	    3.662
[OIII]50	 5007.000	 5055.748	    0.320	 5.924e-17	     1.671e-17	    1.555	    0.222	 2.309e-16	 7.298e-17	      -12.223	    0.378	 2904.579	 2904.579	   18.957	       31.605	    3.662
