wlen 	 newgal_spectrum 
  4184.326 	      0.191
  4185.077 	      0.150
  4185.828 	      0.106
  4186.580 	      0.055
  4187.331 	      0.144
  4188.083 	      0.122
  4188.835 	      0.080
  4189.586 	      0.014
  4190.339 	      0.009
  4191.091 	      0.072
  4191.843 	      0.127
  4192.595 	      0.165
  4193.348 	      0.016
  4194.101 	     -0.057
  4194.853 	     -0.098
  4195.606 	     -0.095
  4196.359 	     -0.063
  4197.113 	      0.013
  4197.866 	      0.044
  4198.620 	     -0.026
  4199.373 	      0.016
  4200.127 	      0.172
  4200.881 	      0.259
  4201.635 	      0.165
  4202.389 	      0.013
  4203.143 	     -0.033
  4203.898 	     -0.066
  4204.652 	     -0.101
  4205.407 	     -0.116
  4206.162 	     -0.038
  4206.917 	      0.017
  4207.672 	     -0.017
  4208.427 	     -0.202
  4209.183 	     -0.031
  4209.938 	      0.130
  4210.694 	      0.132
  4211.450 	     -0.094
  4212.206 	     -0.039
  4212.962 	      0.022
  4213.718 	     -0.012
  4214.474 	      0.081
  4215.231 	     -0.014
  4215.987 	     -0.093
  4216.744 	     -0.060
  4217.501 	     -0.005
  4218.258 	      0.016
  4219.015 	      0.026
  4219.773 	      0.019
  4220.530 	      0.033
  4221.288 	      0.020
  4222.045 	      0.002
  4222.803 	     -0.021
  4223.561 	     -0.050
  4224.319 	     -0.029
  4225.077 	      0.008
  4225.836 	      0.068
  4226.594 	      0.057
  4227.353 	      0.020
  4228.112 	      0.006
  4228.871 	      0.035
  4229.630 	     -0.049
  4230.389 	      0.050
  4231.148 	      0.122
  4231.908 	      0.129
  4232.667 	     -0.041
  4233.427 	     -0.046
  4234.187 	     -0.071
  4234.947 	     -0.136
  4235.707 	     -0.183
  4236.468 	     -0.072
  4237.228 	     -0.056
  4237.989 	     -0.153
  4238.749 	      0.134
  4239.510 	      0.201
  4240.271 	      0.167
  4241.032 	      0.042
  4241.793 	     -0.075
  4242.555 	      0.053
  4243.316 	      0.035
  4244.078 	     -0.085
  4244.840 	     -0.064
  4245.602 	      0.049
  4246.364 	      0.094
  4247.126 	      0.104
  4247.888 	      0.150
  4248.651 	      0.043
  4249.413 	     -0.039
  4250.176 	     -0.089
  4250.939 	     -0.011
  4251.702 	      0.052
  4252.465 	      0.088
  4253.229 	      0.119
  4253.992 	      0.172
  4254.756 	      0.098
  4255.519 	      0.064
  4256.283 	      0.040
  4257.047 	      0.021
  4257.811 	      0.145
  4258.575 	      0.117
  4259.340 	      0.087
  4260.104 	      0.104
  4260.869 	      0.143
  4261.634 	      0.162
  4262.399 	      0.151
  4263.164 	      0.098
  4263.929 	      0.004
  4264.695 	     -0.081
  4265.460 	     -0.114
  4266.226 	     -0.092
  4266.991 	     -0.045
  4267.757 	     -0.038
  4268.523 	      0.000
  4269.290 	      0.063
  4270.056 	      0.157
  4270.822 	      0.082
  4271.589 	      0.027
  4272.356 	      0.006
  4273.123 	      0.118
  4273.890 	      0.067
  4274.657 	      0.058
  4275.424 	      0.058
  4276.191 	      0.050
  4276.959 	      0.165
  4277.727 	      0.132
  4278.494 	      0.108
  4279.262 	      0.147
  4280.031 	     -0.004
  4280.799 	     -0.053
  4281.567 	     -0.031
  4282.336 	      0.066
  4283.104 	      0.201
  4283.873 	      0.204
  4284.642 	      0.189
  4285.411 	      0.150
  4286.180 	      0.012
  4286.950 	     -0.002
  4287.719 	     -0.010
  4288.489 	     -0.015
  4289.259 	     -0.021
  4290.029 	     -0.017
  4290.799 	      0.004
  4291.569 	      0.018
  4292.339 	      0.002
  4293.110 	      0.048
  4293.880 	      0.099
  4294.651 	      0.115
  4295.422 	      0.083
  4296.193 	     -0.045
  4296.964 	      0.006
  4297.735 	      0.017
  4298.507 	     -0.001
  4299.278 	      0.040
  4300.050 	      0.034
  4300.822 	     -0.010
  4301.594 	     -0.040
  4302.366 	      0.075
  4303.138 	      0.029
  4303.910 	      0.078
  4304.683 	      0.188
  4305.456 	      0.386
  4306.229 	      0.124
  4307.001 	      0.112
  4307.775 	      0.099
  4308.548 	      0.063
  4309.321 	      0.067
  4310.095 	      0.133
  4310.868 	      0.074
  4311.642 	     -0.032
  4312.416 	      0.061
  4313.190 	      0.073
  4313.964 	      0.024
  4314.739 	     -0.017
  4315.513 	      0.016
  4316.288 	      0.003
  4317.062 	      0.049
  4317.837 	      0.083
  4318.612 	      0.090
  4319.388 	      0.076
  4320.163 	     -0.024
  4320.938 	     -0.036
  4321.714 	      0.017
  4322.490 	      0.103
  4323.266 	      0.084
  4324.042 	      0.027
  4324.818 	     -0.008
  4325.594 	      0.053
  4326.370 	      0.110
  4327.147 	      0.192
  4327.924 	      0.214
  4328.700 	      0.154
  4329.477 	      0.044
  4330.255 	      0.004
  4331.032 	      0.053
  4331.809 	      0.116
  4332.587 	     -0.035
  4333.364 	      0.013
  4334.142 	      0.034
  4334.920 	      0.050
  4335.698 	      0.070
  4336.477 	     -0.004
  4337.255 	      0.075
  4338.034 	      0.086
  4338.812 	      0.030
  4339.591 	      0.063
  4340.370 	     -0.178
  4341.149 	     -0.144
  4341.928 	      0.012
  4342.708 	      0.196
  4343.487 	      0.053
  4344.267 	     -0.037
  4345.046 	     -0.070
  4345.826 	     -0.037
  4346.606 	     -0.126
  4347.387 	     -0.081
  4348.167 	     -0.061
  4348.947 	     -0.058
  4349.728 	     -0.056
  4350.509 	     -0.073
  4351.290 	     -0.078
  4352.071 	     -0.060
  4352.852 	     -0.006
  4353.633 	      0.030
  4354.415 	      0.053
  4355.196 	      0.086
  4355.978 	      0.125
  4356.760 	      0.162
  4357.542 	      0.068
  4358.324 	      0.053
  4359.106 	      0.080
  4359.889 	      0.154
  4360.671 	      0.156
  4361.454 	      0.161
  4362.237 	      0.126
  4363.020 	      0.057
  4363.803 	     -0.008
  4364.587 	      0.026
  4365.370 	      0.023
  4366.153 	     -0.009
  4366.937 	     -0.080
  4367.721 	     -0.068
  4368.505 	     -0.026
  4369.289 	      0.013
  4370.073 	      0.054
  4370.858 	      0.171
  4371.642 	      0.321
  4372.427 	      0.214
  4373.212 	      0.052
  4373.997 	     -0.056
  4374.782 	     -0.062
  4375.567 	      0.057
  4376.353 	      0.068
  4377.138 	      0.004
  4386.576 	      0.105
  4387.363 	      0.076
  4388.151 	      0.156
  4388.938 	      0.003
  4389.726 	      0.097
  4390.514 	      0.124
  4391.302 	      0.111
  4392.090 	      0.083
  4392.879 	      0.118
  4393.667 	      0.154
  4394.456 	      0.145
  4395.245 	      0.090
  4396.033 	      0.068
  4396.823 	      0.065
  4397.612 	      0.101
  4398.401 	      0.158
  4399.191 	      0.230
  4399.980 	      0.183
  4400.770 	      0.182
  4401.560 	      0.185
  4402.350 	      0.190
  4403.140 	      0.209
  4403.931 	      0.199
  4404.721 	      0.265
  4405.512 	      0.309
  4406.302 	      0.292
  4407.093 	      0.166
  4407.884 	      0.235
  4408.676 	      0.240
  4409.467 	      0.229
  4410.258 	      0.258
  4411.050 	      0.151
  4411.842 	      0.162
  4412.634 	      0.184
  4413.426 	      0.197
  4414.218 	      0.143
  4415.010 	      0.044
  4415.803 	      0.212
  4416.595 	      0.292
  4417.388 	      0.163
  4418.181 	      0.151
  4418.974 	      0.159
  4419.767 	      0.095
  4420.561 	      0.062
  4421.354 	      0.192
  4422.148 	      0.323
  4422.941 	      0.218
  4423.735 	      0.125
  4424.529 	      0.067
  4425.324 	      0.069
  4426.118 	      0.017
  4426.912 	      0.049
  4427.707 	      0.048
  4428.502 	     -0.008
  4429.297 	     -0.013
  4430.092 	      0.023
  4430.887 	      0.050
  4431.682 	      0.064
  4432.478 	      0.058
  4433.273 	      0.042
  4434.069 	      0.062
  4434.865 	      0.009
  4435.661 	     -0.073
  4436.457 	     -0.121
  4437.253 	     -0.094
  4438.050 	     -0.140
  4438.847 	     -0.115
  4439.643 	     -0.047
  4440.440 	     -0.063
  4441.237 	     -0.122
  4442.034 	     -0.015
  4442.832 	      0.013
  4452.411 	      0.082
  4453.210 	     -0.007
  4454.009 	     -0.085
  4454.809 	     -0.130
  4455.609 	     -0.117
  4456.408 	     -0.092
  4457.208 	     -0.086
  4458.008 	     -0.098
  4458.808 	     -0.118
  4459.609 	     -0.122
  4460.409 	     -0.074
  4461.210 	     -0.035
  4462.011 	     -0.009
  4462.812 	     -0.002
  4463.613 	     -0.029
  4464.414 	     -0.093
  4465.215 	     -0.121
  4466.017 	     -0.120
  4466.818 	     -0.095
  4467.620 	     -0.074
  4468.422 	     -0.062
  4469.224 	     -0.035
  4470.026 	     -0.000
  4470.829 	      0.033
  4471.631 	      0.014
  4472.434 	     -0.051
  4473.237 	     -0.083
  4474.039 	     -0.084
  4474.843 	     -0.053
  4475.646 	     -0.014
  4476.449 	     -0.008
  4477.253 	     -0.026
  4478.056 	     -0.054
  4478.860 	     -0.081
  4479.664 	     -0.083
  4480.468 	     -0.085
  4481.272 	     -0.087
  4482.077 	     -0.089
  4482.881 	     -0.091
  4483.686 	     -0.093
  4484.491 	     -0.095
  4485.296 	     -0.097
  4486.101 	     -0.098
  4486.906 	     -0.100
  4487.711 	     -0.102
  4488.517 	     -0.104
  4489.322 	     -0.105
  4490.128 	     -0.107
  4490.934 	     -0.108
  4491.740 	     -0.110
  4492.547 	     -0.111
  4493.353 	     -0.135
  4494.160 	     -0.109
  4494.966 	      0.022
  4495.773 	     -0.157
  4496.580 	     -0.019
  4497.387 	      0.001
  4498.194 	     -0.024
  4499.002 	     -0.031
  4499.809 	      0.025
  4500.617 	     -0.007
  4501.425 	     -0.055
  4502.233 	     -0.095
  4503.041 	     -0.108
  4503.849 	     -0.079
  4504.658 	     -0.048
  4505.466 	     -0.031
  4506.275 	     -0.018
  4507.084 	     -0.005
  4507.893 	     -0.013
  4508.702 	     -0.010
  4509.511 	     -0.007
  4510.321 	     -0.005
  4511.130 	     -0.009
  4511.940 	     -0.024
  4512.750 	     -0.032
  4513.560 	     -0.032
  4514.370 	     -0.025
  4515.180 	     -0.011
