Line    	 Rest_wv 	 Center  	 dCenter 	 Amp     	         dAmp    	 Sigma    	 dSig     	 Flux    	         dFlux   	 Pos     	 dPos    	 Vel     	 Rel_Vel 	         dVel    	 flu_per 	 fwhm    
[OI]a   	 6300.300	 6359.001	    0.193	 2.862e-17	         3.543e-18	    1.726	    0.169	 1.238e-16	 1.953e-17	   -3.956	            0.378	 2780.193	 2780.193	    9.108	   15.773	    4.065
[OI]b   	 6363.800	 6423.092	    0.193	 9.231e-18	         3.543e-18	    1.726	    0.169	 3.994e-17	 1.582e-17	   -3.956	            0.378	 2780.193	 2780.193	    9.017	   39.601	    4.065
[NII]b  	 6548.100	 6610.750	    0.324	 9.753e-17	         5.926e-17	    1.824	    0.262	 4.460e-16	 2.784e-16	           -3.956	    0.378	 2854.608	 2854.608	   14.680	           62.434	    4.296
Halpha  	 6562.800	 6625.613	    0.248	 5.684e-16	         9.640e-17	    1.768	    0.192	 2.519e-15	 5.072e-16	           -3.956	    0.378	 2855.615	 2855.615	   11.201	           20.139	    4.163
[NII]a  	 6583.500	 6646.489	    0.324	 2.828e-16	         5.926e-17	    1.834	    0.262	 1.300e-15	 3.297e-16	           -3.956	    0.378	 2854.608	 2854.608	   14.601	           25.352	    4.319
[SII]a  	 6716.400	 6780.769	    0.482	 1.070e-16	         4.109e-17	    1.691	    0.391	 4.535e-16	 2.033e-16	           -3.956	    0.378	 2859.387	 2859.387	   21.306	           44.834	    3.982
[SII]b  	 6730.800	 6795.307	    0.482	 7.058e-17	         3.305e-17	    1.694	    0.391	 2.998e-16	 1.565e-16	           -3.956	    0.378	 2859.387	 2859.387	   21.260	           52.216	    3.990
Hbeta   	 4861.000	 4907.250	    0.157	 9.165e-17	         1.306e-17	    1.366	    0.095	 3.138e-16	 4.974e-17	           -3.956	    0.378	 2838.794	 2838.794	    9.595	           15.850	    3.217
[OIII]49	 4959.000	 5006.488	    0.576	 2.883e-18	         2.081e-18	    1.882	    0.611	 1.360e-17	 1.077e-17	           -3.956	    0.378	 2857.119	 2857.119	   34.496	           79.150	    4.433
[OIII]50	 5007.000	 5054.949	    0.576	 8.648e-18	         2.081e-18	    1.882	    0.611	 4.081e-17	 1.648e-17	           -3.956	    0.378	 2857.177	 2857.177	   34.165	           40.394	    4.433
[OI]a   	 6300.300	 6359.001	    0.193	 2.862e-17	         3.543e-18	    1.726	    0.169	 1.238e-16	 1.953e-17	           -3.956	    0.378	 2780.193	 2780.193	    9.108	           15.773	    4.065
[OI]b   	 6363.800	 6423.092	    0.193	 9.231e-18	         3.543e-18	    1.726	    0.169	 3.994e-17	 1.582e-17	           -3.956	    0.378	 2780.193	 2780.193	    9.017	           39.601	    4.065
[NII]b  	 6548.100	 6610.750	    0.324	 9.753e-17	         5.926e-17	    1.824	    0.262	 4.460e-16	 2.784e-16	           -3.956	    0.378	 2854.608	 2854.608	   14.680	           62.434	    4.296
Halpha  	 6562.800	 6625.613	    0.248	 5.684e-16	         9.640e-17	    1.768	    0.192	 2.519e-15	 5.072e-16	           -3.956	    0.378	 2855.615	 2855.615	   11.201	           20.139	    4.163
[NII]a  	 6583.500	 6646.489	    0.324	 2.828e-16	         5.926e-17	    1.834	    0.262	 1.300e-15	 3.297e-16	           -3.956	    0.378	 2854.608	 2854.608	   14.601	           25.352	    4.319
[SII]a  	 6716.400	 6780.769	    0.482	 1.070e-16	         4.109e-17	    1.691	    0.391	 4.535e-16	 2.033e-16	           -3.956	    0.378	 2859.387	 2859.387	   21.306	           44.834	    3.982
[SII]b  	 6730.800	 6795.307	    0.482	 7.058e-17	         3.305e-17	    1.694	    0.391	 2.998e-16	 1.565e-16	           -3.956	    0.378	 2859.387	 2859.387	   21.260	           52.216	    3.990
Hbeta   	 4861.000	 4907.250	    0.157	 9.165e-17	         1.306e-17	    1.366	    0.095	 3.138e-16	 4.974e-17	           -3.956	    0.378	 2838.794	 2838.794	    9.595	           15.850	    3.217
[OIII]49	 4959.000	 5006.488	    0.576	 2.883e-18	         2.081e-18	    1.882	    0.611	 1.360e-17	 1.077e-17	           -3.956	    0.378	 2857.119	 2857.119	   34.496	           79.150	    4.433
[OIII]50	 5007.000	 5054.949	    0.576	 8.648e-18	         2.081e-18	    1.882	    0.611	 4.081e-17	 1.648e-17	           -3.956	    0.378	 2857.177	 2857.177	   34.165	           40.394	    4.433
