1 1 1132.99 1137.68
2.9847 
0.7287 
name    flux    f_err    vel    sig
Hgamma      	   3.26151	      0.13	 2848.8740	     64.51
Hbeta       	   5.57773	      0.13	 2848.8740	     64.51
Halpha      	  33.72901	      0.12	 2848.8740	     64.51
[SII]6716   	   5.10383	      0.12	 2854.7471	     75.69
[SII]6731   	   4.42212	      0.12	 2854.7471	     75.69
[OIII]5007_d	   1.16493	      0.16	 2854.7471	     75.69
[OI]6300_d  	   3.06979	      0.15	 2854.7471	     75.69
[NII]6583_d 	  25.45026	      0.15	 2854.7471	     75.69
