WV      	 Sigma   
4184.326	    0.022
4185.077	    0.017
4185.828	    0.010
4186.580	    0.006
4187.331	    0.004
4188.083	    0.013
4188.835	    0.016
4189.586	    0.017
4190.339	    0.024
4191.091	    0.021
4191.843	    0.015
4192.595	    0.013
4193.348	    0.015
4194.101	    0.016
4194.853	    0.015
4195.606	    0.013
4196.359	    0.015
4197.113	    0.015
4197.866	    0.011
4198.620	    0.008
4199.373	    0.008
4200.127	    0.011
4200.881	    0.015
4201.635	    0.003
4202.389	    0.008
4203.143	    0.016
4203.898	    0.019
4204.652	    0.014
4205.407	    0.019
4206.162	    0.019
4206.917	    0.019
4207.672	    0.023
4208.427	    0.005
4209.183	    0.009
4209.938	    0.011
4210.694	    0.019
4211.450	    0.014
4212.206	    0.009
4212.962	    0.009
4213.718	    0.021
4214.474	    0.014
4215.231	    0.015
4215.987	    0.016
4216.744	    0.014
4217.501	    0.018
4218.258	    0.013
4219.015	    0.010
4219.773	    0.015
4220.530	    0.020
4221.288	    0.022
4222.045	    0.022
4222.803	    0.019
4223.561	    0.017
4224.319	    0.013
4225.077	    0.010
4225.836	    0.011
4226.594	    0.015
4227.353	    0.015
4228.112	    0.013
4228.871	    0.013
4229.630	    0.015
4230.389	    0.018
4231.148	    0.016
4231.908	    0.004
4232.667	    0.026
4233.427	    0.022
4234.187	    0.018
4234.947	    0.017
4235.707	    0.020
4236.468	    0.015
4237.228	    0.007
4237.989	    0.013
4238.749	    0.021
4239.510	    0.007
4240.271	    0.011
4241.032	    0.025
4241.793	    0.015
4242.555	    0.022
4243.316	    0.026
4244.078	    0.021
4244.840	    0.024
4245.602	    0.024
4246.364	    0.020
4247.126	    0.012
4247.888	    0.018
4248.651	    0.013
4249.413	    0.012
4250.176	    0.013
4250.939	    0.021
4251.702	    0.025
4252.465	    0.024
4253.229	    0.022
4253.992	    0.024
4254.756	    0.026
4255.519	    0.023
4256.283	    0.021
4257.047	    0.024
4257.811	    0.025
4258.575	    0.024
4259.340	    0.021
4260.104	    0.016
4260.869	    0.020
4261.634	    0.018
4262.399	    0.018
4263.164	    0.023
4263.929	    0.019
4264.695	    0.018
4265.460	    0.019
4266.226	    0.020
4266.991	    0.021
4267.757	    0.014
4268.523	    0.015
4269.290	    0.020
4270.056	    0.021
4270.822	    0.022
4271.589	    0.020
4272.356	    0.016
4273.123	    0.013
4273.890	    0.011
4274.657	    0.022
4275.424	    0.026
4276.191	    0.014
4276.959	    0.023
