WV      	 Sigma   
4176.646	    0.068
4177.397	    0.063
4178.147	    0.056
4178.898	    0.048
4179.649	    0.033
4180.400	    0.010
4181.151	    0.029
4181.902	    0.040
4182.653	    0.045
4183.405	    0.044
4184.157	    0.039
4184.908	    0.031
4185.660	    0.027
4186.412	    0.017
4187.164	    0.010
4187.917	    0.024
4188.669	    0.082
4189.422	    0.079
4190.174	    0.079
4190.927	    0.090
4191.680	    0.068
4192.433	    0.080
4193.186	    0.096
4193.940	    0.116
4194.693	    0.073
4195.447	    0.104
4196.201	    0.119
4196.955	    0.091
4197.709	    0.075
4198.463	    0.080
4199.217	    0.085
4199.972	    0.085
4200.726	    0.099
4201.481	    0.095
4202.236	    0.084
4202.991	    0.055
4203.746	    0.047
4204.501	    0.082
4205.257	    0.107
4206.012	    0.121
4206.768	    0.098
4207.524	    0.071
4208.280	    0.051
4209.036	    0.077
4209.792	    0.097
4210.548	    0.092
4211.305	    0.078
4212.061	    0.039
4212.818	    0.056
4213.575	    0.056
4214.332	    0.041
4215.089	    0.046
4215.846	    0.062
4216.604	    0.072
4217.361	    0.078
4218.119	    0.074
4218.877	    0.084
4219.635	    0.079
4220.393	    0.075
4221.151	    0.074
4221.910	    0.096
4222.668	    0.093
4223.427	    0.086
4224.186	    0.078
4224.945	    0.037
4225.704	    0.048
4226.463	    0.073
4227.222	    0.077
4227.982	    0.086
4228.741	    0.098
4229.501	    0.091
4230.261	    0.049
4231.021	    0.069
4231.781	    0.062
4232.542	    0.062
4233.302	    0.069
4234.063	    0.082
4234.823	    0.100
4235.584	    0.092
4236.345	    0.055
4237.106	    0.031
4237.868	    0.045
4238.629	    0.070
4239.390	    0.085
4240.152	    0.068
4240.914	    0.036
4241.676	    0.024
4242.438	    0.032
4243.200	    0.010
4243.963	    0.062
4244.725	    0.063
4245.488	    0.056
4246.250	    0.056
4247.013	    0.068
4247.776	    0.043
4248.540	    0.039
4249.303	    0.056
4250.066	    0.039
4250.830	    0.017
4251.594	    0.014
4252.357	    0.026
4253.121	    0.060
4253.886	    0.049
4254.650	    0.014
4255.414	    0.054
4256.179	    0.041
4256.944	    0.048
4257.708	    0.046
4258.473	    0.024
4259.238	    0.032
4260.004	    0.072
4260.769	    0.076
4261.535	    0.061
4262.300	    0.088
4263.066	    0.044
4263.832	    0.022
4264.598	    0.089
4265.364	    0.017
4266.130	    0.027
4266.897	    0.035
4267.664	    0.048
4268.430	    0.080
4269.197	    0.079
4269.964	    0.064
4270.731	    0.049
4271.499	    0.053
4272.266	    0.049
4273.034	    0.027
4273.801	    0.024
4274.569	    0.035
4275.337	    0.031
4276.105	    0.039
4276.874	    0.045
4277.642	    0.022
4278.411	    0.071
4279.179	    0.022
4279.948	    0.033
4280.717	    0.029
4281.486	    0.029
4282.255	    0.026
4283.025	    0.039
4283.794	    0.042
4284.564	    0.033
4285.334	    0.062
4286.104	    0.063
4286.874	    0.055
4287.644	    0.037
4288.414	    0.041
4289.185	    0.040
4289.955	    0.033
4290.726	    0.078
4291.497	    0.047
4292.268	    0.068
4293.039	    0.058
4293.811	    0.010
4294.582	    0.019
4295.354	    0.033
4296.125	    0.029
4296.897	    0.060
4297.669	    0.077
4298.441	    0.029
4299.214	    0.022
4299.986	    0.051
4300.759	    0.065
4301.531	    0.041
4302.304	    0.019
4303.077	    0.046
4303.850	    0.070
4304.623	    0.054
4305.397	    0.026
4306.170	    0.029
4306.944	    0.048
4307.718	    0.067
4308.492	    0.072
4309.266	    0.074
4310.040	    0.066
4310.814	    0.036
4311.589	    0.057
4312.364	    0.061
4313.138	    0.061
4313.913	    0.059
4314.688	    0.062
4315.464	    0.026
4316.239	    0.029
4317.014	    0.017
4317.790	    0.074
4318.566	    0.049
4319.342	    0.039
4320.118	    0.042
4320.894	    0.056
4321.670	    0.080
4322.447	    0.087
4323.223	    0.091
4324.000	    0.091
4324.777	    0.088
4325.554	    0.096
4326.331	    0.069
4327.108	    0.026
4327.886	    0.066
4328.663	    0.122
4329.441	    0.084
4330.219	    0.024
4330.997	    0.014
4331.775	    0.101
4332.553	    0.068
4333.332	    0.066
4334.110	    0.079
4334.889	    0.036
4335.668	    0.054
4336.447	    0.047
4337.226	    0.048
4338.005	    0.070
4338.784	    0.053
4339.564	    0.053
4340.344	    0.022
4341.123	    0.037
4341.903	    0.069
4342.683	    0.076
4343.464	    0.083
4344.244	    0.079
4345.024	    0.019
4345.805	    0.060
4346.586	    0.060
4347.367	    0.056
4348.148	    0.047
4348.929	    0.043
4349.710	    0.035
4350.492	    0.040
4351.274	    0.031
4352.055	    0.029
4352.837	    0.010
4353.619	    0.043
4354.402	    0.059
4355.184	    0.063
4355.966	    0.052
4356.749	    0.057
4357.532	    0.074
4358.315	    0.086
4359.098	    0.075
4359.881	    0.088
4360.664	    0.072
4361.448	    0.056
4362.231	    0.056
4363.015	    0.058
4363.799	    0.045
4364.583	    0.024
4365.367	    0.053
4366.151	    0.044
4366.936	    0.105
4367.720	    0.079
4368.505	    0.054
4369.290	    0.063
4370.075	    0.059
4370.860	    0.029
4371.645	    0.032
4372.431	    0.022
4373.216	    0.065
4374.002	    0.102
4374.788	    0.100
4375.574	    0.080
4376.360	    0.032
4377.146	    0.074
4377.933	    0.040
4378.719	    0.019
4396.849	    0.042
4397.639	    0.033
4398.429	    0.039
4399.220	    0.024
4400.010	    0.045
4400.801	    0.037
4401.591	    0.026
4402.382	    0.090
4403.173	    0.084
4403.964	    0.064
4404.755	    0.037
4405.547	    0.010
4406.338	    0.082
4407.130	    0.063
4407.922	    0.079
4408.714	    0.089
4409.506	    0.063
4410.298	    0.072
