Line    	 Rest_wv 	 Center  	 dCenter 	 Amp     	         dAmp    	 Sigma    	 dSig     	 Flux    	         dFlux   	 Pos     	 dPos    	 Vel     	 Rel_Vel 	         dVel    	 flu_per 	 fwhm    
[OI]a   	 6300.300	 6366.062	    0.117	 1.438e-16	         1.299e-17	    1.288	    0.087	 4.644e-16	 5.246e-17	   -3.011	            0.553	 3112.871	 3112.871	    5.506	   11.294	    3.034
[OI]b   	 6363.800	 6430.225	    0.117	 4.639e-17	         1.299e-17	    1.288	    0.087	 1.498e-16	 4.316e-17	   -3.011	            0.553	 3112.871	 3112.871	    5.451	   28.810	    3.034
[NII]b  	 6548.100	 6615.596	    0.696	 1.251e-16	         1.493e-16	    1.880	    0.584	 5.893e-16	 7.270e-16	           -3.011	    0.553	 3074.252	 3074.252	   31.550	          123.365	    4.426
Halpha  	 6562.800	 6630.434	    0.530	 7.188e-16	         2.287e-16	    1.938	    0.427	 3.491e-15	 1.351e-15	           -3.011	    0.553	 3073.619	 3073.619	   23.948	           38.685	    4.563
[NII]a  	 6583.500	 6651.361	    0.696	 3.627e-16	         1.493e-16	    1.890	    0.584	 1.718e-15	 8.846e-16	           -3.011	    0.553	 3074.252	 3074.252	   31.380	           51.483	    4.450
[SII]a  	 6716.400	 6785.478	    0.815	 1.273e-16	         9.356e-17	    1.494	    0.575	 4.768e-16	 3.955e-16	           -3.011	    0.553	 3067.508	 3067.508	   36.010	           82.947	    3.519
[SII]b  	 6730.800	 6800.026	    0.815	 7.826e-17	         7.262e-17	    1.498	    0.575	 2.938e-16	 2.950e-16	           -3.011	    0.553	 3067.508	 3067.508	   35.933	          100.417	    3.526
Hbeta   	 4861.000	 4912.054	    0.359	 7.895e-17	         1.522e-17	    2.291	    0.290	 4.534e-16	 1.045e-16	           -3.011	    0.553	 3132.132	 3132.132	   21.917	           23.056	    5.395
[OIII]49	 4959.000	 5010.652	    0.642	 4.357e-18	         5.860e-18	    1.141	    0.560	 1.246e-17	 1.784e-17	           -3.011	    0.553	 3106.302	 3106.302	   38.429	          143.207	    2.687
[OIII]50	 5007.000	 5059.153	    0.642	 1.307e-17	         5.860e-18	    1.141	    0.560	 3.738e-17	 2.486e-17	           -3.011	    0.553	 3106.360	 3106.360	   38.060	           66.513	    2.687
[OI]a   	 6300.300	 6366.062	    0.117	 1.437e-16	         1.300e-17	    1.286	    0.088	 4.634e-16	 5.246e-17	           -3.011	    0.553	 3112.870	 3112.870	    5.512	           11.321	    3.029
[OI]b   	 6363.800	 6430.225	    0.117	 4.636e-17	         1.300e-17	    1.286	    0.088	 1.495e-16	 4.314e-17	           -3.011	    0.553	 3112.870	 3112.870	    5.457	           28.859	    3.029
[NII]b  	 6548.100	 6615.596	    0.695	 1.252e-16	         1.488e-16	    1.889	    0.583	 5.926e-16	 7.279e-16	           -3.011	    0.553	 3074.235	 3074.235	   31.493	          122.831	    4.448
Halpha  	 6562.800	 6630.434	    0.529	 7.186e-16	         2.283e-16	    1.942	    0.426	 3.499e-15	 1.350e-15	           -3.011	    0.553	 3073.632	 3073.632	   23.929	           38.597	    4.574
[NII]a  	 6583.500	 6651.361	    0.695	 3.630e-16	         1.488e-16	    1.899	    0.583	 1.728e-15	 8.849e-16	           -3.011	    0.553	 3074.235	 3074.235	   31.323	           51.212	    4.472
[SII]a  	 6716.400	 6785.477	    0.819	 1.273e-16	         9.389e-17	    1.487	    0.579	 4.745e-16	 3.958e-16	           -3.011	    0.553	 3067.443	 3067.443	   36.192	           83.415	    3.503
[SII]b  	 6730.800	 6800.025	    0.819	 7.810e-17	         7.295e-17	    1.491	    0.579	 2.918e-16	 2.952e-16	           -3.011	    0.553	 3067.443	 3067.443	   36.114	          101.158	    3.510
Hbeta   	 4861.000	 4912.055	    0.359	 7.894e-17	         1.522e-17	    2.292	    0.290	 4.534e-16	 1.045e-16	           -3.011	    0.553	 3132.159	 3132.159	   21.917	           23.053	    5.396
[OIII]49	 4959.000	 5010.656	    0.639	 4.374e-18	         5.875e-18	    1.137	    0.559	 1.246e-17	 1.783e-17	           -3.011	    0.553	 3106.578	 3106.578	   38.249	          143.020	    2.677
[OIII]50	 5007.000	 5059.157	    0.639	 1.312e-17	         5.875e-18	    1.137	    0.559	 3.739e-17	 2.486e-17	           -3.011	    0.553	 3106.636	 3106.636	   37.882	           66.479	    2.677
