Line    	 Rest_wv 	 Center  	 dCenter 	 Amp     	         dAmp    	 Sigma    	 dSig     	 Flux    	         dFlux   	 Pos     	 dPos    	 Vel     	 Rel_Vel 	         dVel    	 flu_per 	 fwhm    
[OI]a   	 6300.300	 6366.157	    0.119	 2.679e-16	         1.321e-17	    2.488	    0.106	 1.671e-15	 1.089e-16	    5.760	            0.553	 3117.370	 3117.370	    5.589	    6.516	    5.860
[OI]b   	 6363.800	 6430.321	    0.119	 8.642e-17	         1.321e-17	    2.488	    0.106	 5.391e-16	 8.551e-17	    5.760	            0.553	 3117.370	 3117.370	    5.533	   15.863	    5.860
[NII]b  	 6548.100	 6619.179	    0.310	 1.458e-15	         8.516e-16	    1.857	    0.237	 6.790e-15	 4.059e-15	            5.760	    0.553	 3236.564	 3236.564	   14.054	           59.772	    4.374
Halpha  	 6562.800	 6633.962	    0.245	 9.056e-15	         1.394e-15	    1.957	    0.185	 4.443e-14	 8.027e-15	            5.760	    0.553	 3233.085	 3233.085	   11.090	           18.065	    4.609
[NII]a  	 6583.500	 6654.963	    0.310	 4.229e-15	         8.516e-16	    1.867	    0.237	 1.980e-14	 4.714e-15	            5.760	    0.553	 3236.564	 3236.564	   13.979	           23.809	    4.398
[SII]a  	 6716.400	 6789.291	    0.520	 1.014e-15	         4.554e-16	    1.687	    0.369	 4.291e-15	 2.142e-15	            5.760	    0.553	 3235.917	 3235.917	   22.970	           49.926	    3.973
[SII]b  	 6730.800	 6803.848	    0.520	 8.382e-16	         4.123e-16	    1.691	    0.369	 3.553e-15	 1.912e-15	            5.760	    0.553	 3235.917	 3235.917	   22.921	           53.811	    3.982
Hbeta   	 4861.000	 4914.233	    0.144	 2.127e-15	         1.933e-16	    1.944	    0.104	 1.036e-14	 1.093e-15	            5.760	    0.553	 3265.074	 3265.074	    8.797	           10.548	    4.578
[OIII]49	 4959.000	 5012.902	    0.449	 6.638e-17	         5.231e-17	    2.012	    0.343	 3.348e-16	 2.700e-16	            5.760	    0.553	 3240.892	 3240.892	   26.836	           80.633	    4.739
[OIII]50	 5007.000	 5061.425	    0.449	 1.991e-16	         5.231e-17	    2.012	    0.343	 1.005e-15	 3.146e-16	            5.760	    0.553	 3240.950	 3240.950	   26.578	           31.319	    4.739
[OI]a   	 6300.300	 6366.158	    0.119	 2.679e-16	         1.320e-17	    2.490	    0.106	 1.672e-15	 1.089e-16	            5.760	    0.553	 3117.388	 3117.388	    5.589	            6.513	    5.863
[OI]b   	 6363.800	 6430.322	    0.119	 8.642e-17	         1.320e-17	    2.490	    0.106	 5.393e-16	 8.553e-17	            5.760	    0.553	 3117.388	 3117.388	    5.533	           15.858	    5.863
[NII]b  	 6548.100	 6619.179	    0.310	 1.459e-15	         8.520e-16	    1.856	    0.237	 6.786e-15	 4.058e-15	            5.760	    0.553	 3236.571	 3236.571	   14.060	           59.801	    4.371
Halpha  	 6562.800	 6633.962	    0.245	 9.057e-15	         1.395e-15	    1.957	    0.185	 4.442e-14	 8.027e-15	            5.760	    0.553	 3233.084	 3233.084	   11.091	           18.070	    4.608
[NII]a  	 6583.500	 6654.964	    0.310	 4.230e-15	         8.520e-16	    1.866	    0.237	 1.979e-14	 4.714e-15	            5.760	    0.553	 3236.571	 3236.571	   13.984	           23.825	    4.394
[SII]a  	 6716.400	 6789.292	    0.520	 1.014e-15	         4.549e-16	    1.689	    0.368	 4.294e-15	 2.142e-15	            5.760	    0.553	 3235.924	 3235.924	   22.951	           49.873	    3.978
[SII]b  	 6730.800	 6803.848	    0.520	 8.382e-16	         4.119e-16	    1.693	    0.368	 3.557e-15	 1.912e-15	            5.760	    0.553	 3235.924	 3235.924	   22.902	           53.744	    3.986
Hbeta   	 4861.000	 4914.233	    0.144	 2.127e-15	         1.932e-16	    1.944	    0.104	 1.037e-14	 1.093e-15	            5.760	    0.553	 3265.073	 3265.073	    8.797	           10.548	    4.578
[OIII]49	 4959.000	 5012.902	    0.448	 6.636e-17	         5.225e-17	    2.016	    0.343	 3.353e-16	 2.701e-16	            5.760	    0.553	 3240.920	 3240.920	   26.817	           80.555	    4.746
[OIII]50	 5007.000	 5061.425	    0.448	 1.991e-16	         5.225e-17	    2.016	    0.343	 1.006e-15	 3.146e-16	            5.760	    0.553	 3240.978	 3240.978	   26.560	           31.276	    4.746
