WV      	 Sigma   
4259.984	    0.111
4260.688	    0.112
4261.392	    0.114
4262.096	    0.119
4262.800	    0.123
4263.505	    0.125
4264.209	    0.127
4264.914	    0.127
4265.618	    0.126
4266.323	    0.123
4267.028	    0.120
4267.733	    0.115
4268.439	    0.109
4269.144	    0.101
4269.849	    0.096
4270.555	    0.091
4271.261	    0.089
4271.966	    0.083
4272.672	    0.047
4273.378	    0.028
4274.084	    0.035
4274.791	    0.056
4275.497	    0.091
4276.204	    0.126
4276.910	    0.144
4277.617	    0.125
4278.324	    0.087
4279.031	    0.100
4279.738	    0.112
4280.445	    0.115
4281.152	    0.062
4281.860	    0.033
4282.567	    0.074
4283.275	    0.094
4283.983	    0.100
4284.691	    0.114
4285.399	    0.125
4286.107	    0.123
4286.815	    0.081
4287.523	    0.062
4288.232	    0.012
4288.940	    0.051
4289.649	    0.053
4290.358	    0.076
4291.067	    0.047
4291.776	    0.050
4292.485	    0.068
4293.194	    0.076
4293.904	    0.068
4294.613	    0.105
4295.323	    0.113
4296.033	    0.082
4296.743	    0.056
4297.453	    0.067
4298.163	    0.080
4298.873	    0.096
4299.583	    0.106
4300.294	    0.039
4301.004	    0.039
4301.715	    0.066
4302.426	    0.140
4303.137	    0.113
4303.848	    0.083
4304.559	    0.061
4305.270	    0.065
4305.982	    0.080
4306.693	    0.053
4307.405	    0.033
4308.117	    0.037
4308.829	    0.091
4309.541	    0.086
4310.253	    0.086
4310.965	    0.070
4311.677	    0.050
4312.390	    0.028
4313.102	    0.088
4313.815	    0.089
4314.528	    0.089
4315.241	    0.094
4315.954	    0.120
4316.667	    0.139
4317.380	    0.150
4318.094	    0.151
4318.807	    0.105
4319.521	    0.035
4320.235	    0.041
4320.949	    0.051
4321.663	    0.086
4322.377	    0.075
4323.091	    0.035
4323.805	    0.068
4324.520	    0.113
4325.234	    0.106
4325.949	    0.035
4326.664	    0.065
4327.379	    0.056
4328.094	    0.086
4328.809	    0.093
4329.524	    0.091
4330.240	    0.086
4330.955	    0.085
4331.671	    0.043
4332.387	    0.074
4333.103	    0.062
4333.819	    0.050
4334.535	    0.067
4335.251	    0.053
4335.968	    0.039
4336.684	    0.082
4337.401	    0.095
4338.117	    0.060
4338.834	    0.028
4339.551	    0.047
4340.268	    0.022
4340.985	    0.057
4341.703	    0.091
4342.420	    0.084
4343.138	    0.058
4343.855	    0.048
4344.573	    0.043
4345.291	    0.074
4346.009	    0.073
4346.727	    0.051
4347.445	    0.093
4348.164	    0.079
4348.882	    0.066
4349.601	    0.037
4350.320	    0.057
4351.039	    0.151
4351.758	    0.129
4352.477	    0.095
4353.196	    0.045
4353.915	    0.053
4354.635	    0.078
4355.354	    0.088
4356.074	    0.091
4356.794	    0.093
4357.514	    0.120
4358.234	    0.142
4358.954	    0.157
4359.674	    0.168
4360.394	    0.175
4361.115	    0.196
4361.836	    0.192
4362.556	    0.173
4363.277	    0.142
4363.998	    0.142
4364.719	    0.139
4365.441	    0.130
4366.162	    0.124
4366.883	    0.126
4367.605	    0.142
4368.327	    0.148
4369.049	    0.155
4369.771	    0.161
4370.493	    0.158
4371.215	    0.136
4371.937	    0.117
4372.660	    0.114
4373.382	    0.128
4374.105	    0.094
4395.114	    0.096
4395.840	    0.096
4396.567	    0.123
4397.293	    0.155
4398.020	    0.141
4398.747	    0.104
4399.473	    0.069
4400.200	    0.039
4400.928	    0.101
4401.655	    0.095
4402.382	    0.094
4403.110	    0.063
4403.837	    0.058
4404.565	    0.101
4405.293	    0.091
4406.021	    0.122
4406.749	    0.128
4407.477	    0.119
4408.205	    0.128
4408.934	    0.144
4409.662	    0.154
4410.391	    0.160
4411.119	    0.163
4411.848	    0.151
4412.577	    0.132
4413.307	    0.130
4414.036	    0.132
4414.765	    0.133
4415.495	    0.155
4416.224	    0.166
4416.954	    0.154
4417.684	    0.125
4418.414	    0.067
4419.144	    0.051
4419.874	    0.097
4420.605	    0.128
4421.335	    0.139
4422.066	    0.117
4422.796	    0.069
4423.527	    0.068
4424.258	    0.096
4424.989	    0.114
4425.720	    0.080
4426.452	    0.065
4427.183	    0.065
4427.915	    0.071
4428.646	    0.068
4429.378	    0.058
4430.110	    0.077
4430.842	    0.025
4431.574	    0.012
4432.307	    0.082
4433.039	    0.113
4433.772	    0.108
4434.504	    0.050
4435.237	    0.030
4435.970	    0.095
4436.703	    0.144
4437.436	    0.094
4438.169	    0.065
4438.903	    0.037
4439.636	    0.012
4440.370	    0.045
4441.103	    0.136
4441.837	    0.151
4442.571	    0.151
4443.305	    0.144
4444.040	    0.126
4444.774	    0.086
4445.508	    0.097
4446.243	    0.116
4446.978	    0.126
4447.713	    0.120
4448.447	    0.106
4449.183	    0.103
4449.918	    0.115
4450.653	    0.131
4451.388	    0.096
4452.124	    0.113
4452.860	    0.119
4453.596	    0.113
4454.331	    0.089
4455.067	    0.039
4455.804	    0.068
4456.540	    0.025
4457.276	    0.051
4458.013	    0.012
4458.750	    0.091
4459.486	    0.074
4460.223	    0.123
4460.960	    0.129
4461.697	    0.097
4462.435	    0.071
4463.172	    0.087
4463.909	    0.035
4464.647	    0.083
4465.385	    0.111
4466.123	    0.050
4466.861	    0.091
4467.599	    0.076
4468.337	    0.053
4469.075	    0.056
4469.814	    0.081
4470.552	    0.063
