Line    	 Rest_wv 	 Center  	 dCenter 	 Amp     	         dAmp    	 Sigma    	 dSig     	 Flux    	         dFlux   	 Pos     	 dPos    	 Vel     	 Rel_Vel 	         dVel    	 flu_per 	 fwhm    
[OI]a   	 6300.300	 6364.277	    0.332	 6.056e-17	         6.452e-18	    3.205	    0.278	 4.865e-16	 6.680e-17	    9.070	            0.553	 3028.803	 3028.803	   15.635	   13.731	    7.547
[OI]b   	 6363.800	 6428.422	    0.332	 1.953e-17	         6.452e-18	    3.205	    0.278	 1.569e-16	 5.358e-17	    9.070	            0.553	 3028.803	 3028.803	   15.479	   34.144	    7.547
[NII]b  	 6548.100	 6618.512	    0.466	 8.566e-17	         6.389e-17	    1.985	    0.378	 4.262e-16	 3.281e-16	            9.070	    0.553	 3206.363	 3206.363	   21.120	           76.980	    4.674
Halpha  	 6562.800	 6633.545	    0.401	 4.345e-16	         8.966e-17	    2.262	    0.323	 2.463e-15	 6.181e-16	            9.070	    0.553	 3214.256	 3214.256	   18.103	           25.091	    5.327
[NII]a  	 6583.500	 6654.293	    0.466	 2.484e-16	         6.389e-17	    1.996	    0.378	 1.243e-15	 3.970e-16	            9.070	    0.553	 3206.363	 3206.363	   21.006	           31.945	    4.699
[SII]a  	 6716.400	 6788.178	    0.520	 8.878e-17	         4.200e-17	    1.324	    0.336	 2.945e-16	 1.581e-16	            9.070	    0.553	 3186.737	 3186.737	   22.959	           53.692	    3.117
[SII]b  	 6730.800	 6802.731	    0.520	 4.441e-17	         3.341e-17	    1.326	    0.336	 1.477e-16	 1.172e-16	            9.070	    0.553	 3186.737	 3186.737	   22.910	           79.365	    3.123
Hbeta   	 4861.000	 4914.133	    0.244	 3.033e-16	         3.982e-17	    2.295	    0.182	 1.745e-15	 2.677e-16	            9.070	    0.553	 3258.951	 3258.951	   14.860	           15.340	    5.405
[OIII]49	 4959.000	 5012.810	    0.504	 1.386e-17	         1.387e-17	    1.791	    0.351	 6.223e-17	 6.344e-17	            9.070	    0.553	 3235.422	 3235.422	   30.154	          101.944	    4.217
[OIII]50	 5007.000	 5061.332	    0.504	 4.159e-17	         1.387e-17	    1.791	    0.351	 1.867e-16	 7.223e-17	            9.070	    0.553	 3235.480	 3235.480	   29.865	           38.687	    4.217
[OI]a   	 6300.300	 6364.277	    0.332	 6.047e-17	         6.461e-18	    3.198	    0.278	 4.847e-16	 6.679e-17	            9.070	    0.553	 3028.808	 3028.808	   15.660	           13.780	    7.531
[OI]b   	 6363.800	 6428.422	    0.332	 1.950e-17	         6.461e-18	    3.198	    0.278	 1.564e-16	 5.355e-17	            9.070	    0.553	 3028.808	 3028.808	   15.504	           34.248	    7.531
[NII]b  	 6548.100	 6618.511	    0.467	 8.566e-17	         6.397e-17	    1.981	    0.379	 4.254e-16	 3.280e-16	            9.070	    0.553	 3206.297	 3206.297	   21.132	           77.087	    4.666
Halpha  	 6562.800	 6633.544	    0.401	 4.345e-16	         8.971e-17	    2.260	    0.323	 2.462e-15	 6.181e-16	            9.070	    0.553	 3214.225	 3214.225	   18.107	           25.110	    5.322
[NII]a  	 6583.500	 6654.291	    0.467	 2.484e-16	         6.397e-17	    1.992	    0.379	 1.240e-15	 3.970e-16	            9.070	    0.553	 3206.297	 3206.297	   21.018	           32.004	    4.691
[SII]a  	 6716.400	 6788.186	    0.498	 8.855e-17	         4.107e-17	    1.359	    0.320	 3.016e-16	 1.569e-16	            9.070	    0.553	 3187.119	 3187.119	   21.982	           52.014	    3.200
[SII]b  	 6730.800	 6802.740	    0.498	 4.515e-17	         3.279e-17	    1.362	    0.320	 1.541e-16	 1.177e-16	            9.070	    0.553	 3187.119	 3187.119	   21.935	           76.341	    3.207
Hbeta   	 4861.000	 4914.133	    0.244	 3.033e-16	         3.982e-17	    2.295	    0.182	 1.745e-15	 2.677e-16	            9.070	    0.553	 3258.947	 3258.947	   14.860	           15.340	    5.405
[OIII]49	 4959.000	 5012.812	    0.504	 1.385e-17	         1.385e-17	    1.795	    0.351	 6.231e-17	 6.350e-17	            9.070	    0.553	 3235.534	 3235.534	   30.144	          101.905	    4.226
[OIII]50	 5007.000	 5061.334	    0.504	 4.155e-17	         1.385e-17	    1.795	    0.351	 1.869e-16	 7.225e-17	            9.070	    0.553	 3235.592	 3235.592	   29.855	           38.653	    4.226
