WV      	 Sigma   
4184.326	    0.024
4185.077	    0.018
4185.828	    0.020
4186.580	    0.033
4187.331	    0.036
4188.083	    0.024
4188.835	    0.018
4189.586	    0.024
4190.339	    0.029
4191.091	    0.036
4191.843	    0.045
4192.595	    0.057
4193.348	    0.060
4194.101	    0.062
4194.853	    0.060
4195.606	    0.052
4196.359	    0.056
4197.113	    0.042
4197.866	    0.012
4198.620	    0.055
4199.373	    0.052
4200.127	    0.040
4200.881	    0.040
4201.635	    0.051
4202.389	    0.069
4203.143	    0.043
4203.898	    0.036
4204.652	    0.058
4205.407	    0.057
4206.162	    0.035
4206.917	    0.012
4207.672	    0.027
4208.427	    0.036
4209.183	    0.036
4209.938	    0.043
4210.694	    0.070
4211.450	    0.037
4212.206	    0.031
4212.962	    0.031
4213.718	    0.068
4214.474	    0.065
4215.231	    0.058
4215.987	    0.052
4216.744	    0.049
4217.501	    0.026
4218.258	    0.041
4219.015	    0.049
4219.773	    0.035
4220.530	    0.034
4221.288	    0.029
4222.045	    0.016
4222.803	    0.027
4223.561	    0.061
4224.319	    0.055
4225.077	    0.042
4225.836	    0.018
4226.594	    0.034
4227.353	    0.053
4228.112	    0.054
4228.871	    0.014
4229.630	    0.069
4230.389	    0.059
4231.148	    0.055
4231.908	    0.069
4232.667	    0.071
4233.427	    0.070
4234.187	    0.057
4234.947	    0.024
4235.707	    0.047
4236.468	    0.044
4237.228	    0.055
4237.989	    0.076
4238.749	    0.060
4239.510	    0.046
4240.271	    0.058
4241.032	    0.016
4241.793	    0.025
4242.555	    0.064
4243.316	    0.070
4244.078	    0.053
4244.840	    0.064
4245.602	    0.042
4246.364	    0.025
4247.126	    0.019
4247.888	    0.046
4248.651	    0.061
4249.413	    0.070
4250.176	    0.074
4250.939	    0.064
4251.702	    0.062
4252.465	    0.054
4253.229	    0.047
4253.992	    0.053
4254.756	    0.050
4255.519	    0.040
4256.283	    0.031
4257.047	    0.045
4257.811	    0.050
4258.575	    0.047
4259.340	    0.050
4260.104	    0.061
4260.869	    0.053
4261.634	    0.055
4262.399	    0.059
4263.164	    0.066
4263.929	    0.007
4264.695	    0.012
4265.460	    0.016
4266.226	    0.038
4266.991	    0.016
4267.757	    0.053
4268.523	    0.048
4269.290	    0.010
4270.056	    0.074
4270.822	    0.052
4271.589	    0.052
4272.356	    0.042
4273.123	    0.029
4273.890	    0.072
4274.657	    0.069
4275.424	    0.060
4276.191	    0.067
4276.959	    0.067
4277.727	    0.077
4278.494	    0.075
4279.262	    0.044
4280.031	    0.007
4280.799	    0.034
4281.567	    0.048
4282.336	    0.058
4283.104	    0.057
4283.873	    0.050
4284.642	    0.039
4285.411	    0.028
4286.180	    0.058
4286.950	    0.053
4287.719	    0.042
4288.489	    0.021
4289.259	    0.029
4290.029	    0.042
4290.799	    0.056
4291.569	    0.062
4292.339	    0.063
4293.110	    0.046
4293.880	    0.026
4294.651	    0.012
4295.422	    0.014
4296.193	    0.031
4296.964	    0.025
4297.735	    0.049
4298.507	    0.064
4299.278	    0.056
4300.050	    0.045
4300.822	    0.063
4301.594	    0.078
4302.366	    0.061
4303.138	    0.073
4303.910	    0.064
4304.683	    0.055
4305.456	    0.061
4306.229	    0.066
4307.001	    0.047
4307.775	    0.040
4308.548	    0.056
4309.321	    0.074
4310.095	    0.075
4310.868	    0.080
4311.642	    0.081
4312.416	    0.023
4313.190	    0.026
4313.964	    0.044
4314.739	    0.055
4315.513	    0.054
4316.288	    0.040
4317.062	    0.040
4317.837	    0.040
4318.612	    0.040
4319.388	    0.065
4320.163	    0.081
4320.938	    0.083
4321.714	    0.075
4322.490	    0.043
4323.266	    0.051
4324.042	    0.063
4324.818	    0.072
4325.594	    0.072
4326.370	    0.083
4327.147	    0.084
4327.924	    0.076
4328.700	    0.055
4329.477	    0.046
4330.255	    0.061
4331.032	    0.065
4331.809	    0.065
4332.587	    0.077
4333.364	    0.089
4334.142	    0.084
4334.920	    0.075
4335.698	    0.063
4336.477	    0.047
4337.255	    0.075
4338.034	    0.080
4338.812	    0.064
4339.591	    0.034
4340.370	    0.033
4341.149	    0.035
4341.928	    0.054
4342.708	    0.029
4343.487	    0.055
4344.267	    0.066
4345.046	    0.064
4345.826	    0.050
4346.606	    0.052
4347.387	    0.040
4348.167	    0.044
4348.947	    0.054
4349.728	    0.063
4350.509	    0.066
4351.290	    0.076
4352.071	    0.079
4352.852	    0.071
4353.633	    0.080
4354.415	    0.080
4355.196	    0.081
4355.978	    0.081
4356.760	    0.055
4357.542	    0.064
4358.324	    0.064
4359.106	    0.065
4359.889	    0.067
4360.671	    0.072
4361.454	    0.077
4362.237	    0.073
4363.020	    0.059
4363.803	    0.048
4364.587	    0.021
4365.370	    0.014
4366.153	    0.014
4366.937	    0.024
4367.721	    0.056
4368.505	    0.059
4369.289	    0.063
4370.073	    0.072
4370.858	    0.089
4371.642	    0.062
4372.427	    0.054
4373.212	    0.064
4373.997	    0.086
4374.782	    0.067
4375.567	    0.072
4376.353	    0.073
4377.138	    0.073
4377.924	    0.070
4387.363	    0.054
4388.151	    0.071
4388.938	    0.058
4389.726	    0.063
4390.514	    0.067
4391.302	    0.067
4392.090	    0.052
4392.879	    0.054
4393.667	    0.057
4394.456	    0.054
4395.245	    0.046
4396.033	    0.060
4396.823	    0.061
4397.612	    0.058
4398.401	    0.060
4399.191	    0.074
4399.980	    0.089
4400.770	    0.069
4401.560	    0.064
4402.350	    0.077
4403.140	    0.092
4403.931	    0.077
4404.721	    0.071
4405.512	    0.068
4406.302	    0.066
4407.093	    0.016
4407.884	    0.049
4408.676	    0.054
4409.467	    0.052
4410.258	    0.042
4411.050	    0.064
4411.842	    0.076
4412.634	    0.074
4413.426	    0.058
4414.218	    0.046
4415.010	    0.032
4415.803	    0.030
4416.595	    0.051
4417.388	    0.045
4418.181	    0.059
4418.974	    0.049
4419.767	    0.064
4420.561	    0.076
4421.354	    0.060
4422.148	    0.053
4422.941	    0.012
4423.735	    0.014
4424.529	    0.040
4425.324	    0.035
4426.118	    0.061
4426.912	    0.050
4427.707	    0.036
4428.502	    0.033
4429.297	    0.063
4430.092	    0.066
4430.887	    0.066
4431.682	    0.066
4432.478	    0.070
4433.273	    0.063
4434.069	    0.053
4434.865	    0.056
4435.661	    0.055
4436.457	    0.037
4437.253	    0.049
4438.050	    0.018
4438.847	    0.041
4439.643	    0.042
4440.440	    0.042
4441.237	    0.051
4442.034	    0.051
4442.832	    0.046
4443.629	    0.037
4444.427	    0.038
4445.225	    0.045
4446.023	    0.045
4446.821	    0.039
4447.619	    0.028
4448.417	    0.024
4449.216	    0.037
4450.014	    0.049
4450.813	    0.055
4451.612	    0.054
4452.411	    0.032
4453.210	    0.025
4454.009	    0.028
4454.809	    0.028
4455.609	    0.028
4456.408	    0.030
4457.208	    0.036
4458.008	    0.018
4458.808	    0.040
4459.609	    0.058
4460.409	    0.054
4461.210	    0.035
4462.011	    0.027
4462.812	    0.050
4463.613	    0.057
4464.414	    0.046
4465.215	    0.025
4466.017	    0.027
4466.818	    0.040
4467.620	    0.040
4468.422	    0.034
4469.224	    0.031
4470.026	    0.034
4470.829	    0.039
4471.631	    0.040
4472.434	    0.034
4473.237	    0.021
4474.039	    0.012
4474.843	    0.023
4475.646	    0.010
4476.449	    0.029
4477.253	    0.039
4478.056	    0.042
4478.860	    0.038
4479.664	    0.033
4480.468	    0.026
4481.272	    0.020
4482.077	    0.020
4482.881	    0.026
4483.686	    0.034
4484.491	    0.040
4485.296	    0.044
4486.101	    0.044
4486.906	    0.040
4487.711	    0.037
4488.517	    0.034
4489.322	    0.033
4490.128	    0.033
4490.934	    0.034
4491.740	    0.036
4492.547	    0.014
4493.353	    0.007
4494.160	    0.033
4494.966	    0.062
4495.773	    0.020
4496.580	    0.036
4497.387	    0.029
4498.194	    0.032
4499.002	    0.067
4499.809	    0.029
4500.617	    0.046
4501.425	    0.036
4502.233	    0.012
4503.041	    0.016
4503.849	    0.044
4504.658	    0.052
4505.466	    0.050
4506.275	    0.043
4507.084	    0.036
4507.893	    0.026
4508.702	    0.010
4509.511	    0.025
4510.321	    0.027
4511.130	    0.014
4511.940	    0.034
4512.750	    0.048
4513.560	    0.054
4514.370	    0.052
4515.180	    0.045
4515.991	    0.040
4516.802	    0.046
4517.612	    0.051
4518.423	    0.051
4519.234	    0.044
4520.045	    0.014
4520.857	    0.041
4521.668	    0.052
4522.480	    0.052
4523.292	    0.045
4524.103	    0.018
4524.916	    0.050
4525.728	    0.055
4526.540	    0.044
4527.353	    0.010
4528.165	    0.042
4528.978	    0.023
4529.791	    0.031
4530.604	    0.040
4531.417	    0.039
4532.231	    0.031
4533.044	    0.019
4533.858	    0.018
4534.672	    0.010
4535.486	    0.018
4536.300	    0.032
4537.114	    0.051
4537.928	    0.051
4538.743	    0.035
4539.558	    0.023
4540.372	    0.046
4541.187	    0.058
4542.002	    0.059
4542.818	    0.054
4543.633	    0.044
4544.449	    0.026
4545.264	    0.031
4546.080	    0.035
4546.896	    0.024
4547.712	    0.021
4548.529	    0.037
4549.345	    0.042
4550.162	    0.040
4550.979	    0.028
4551.795	    0.010
4552.612	    0.027
