1 1 1114.27 1118.96
20.9039 
0.9396 
name    flux    f_err    vel    sig
Hgamma      	   4.54864	      0.13	 2843.5565	     42.73
Hbeta       	   8.03563	      0.12	 2843.5565	     42.73
Halpha      	  41.70724	      0.11	 2843.5565	     42.73
[SII]6716   	   6.76794	      0.11	 2843.6339	     43.82
[SII]6731   	   5.03308	      0.11	 2843.6339	     43.82
[OIII]5007_d	   1.75141	      0.15	 2843.6339	     43.82
[OI]6300_d  	   3.60709	      0.14	 2843.6339	     43.82
[NII]6583_d 	  27.81066	      0.14	 2843.6339	     43.82
