WV      	 Sigma   
4441.237	    0.056
4442.034	    0.059
4442.832	    0.049
4443.629	    0.020
4444.427	    0.054
4445.225	    0.062
4446.023	    0.049
4446.821	    0.006
4447.619	    0.048
4448.417	    0.040
4449.216	    0.018
4450.014	    0.019
4450.813	    0.034
4451.612	    0.050
4452.411	    0.036
4453.210	    0.008
4454.009	    0.032
4454.809	    0.037
4455.609	    0.032
4456.408	    0.027
4457.208	    0.017
4458.008	    0.041
4458.808	    0.055
4459.609	    0.061
4460.409	    0.047
4461.210	    0.021
4462.011	    0.029
4462.812	    0.038
4463.613	    0.028
4464.414	    0.035
4465.215	    0.053
4466.017	    0.058
4466.818	    0.052
4467.620	    0.006
4468.422	    0.052
4469.224	    0.048
4470.026	    0.010
4470.829	    0.060
4471.631	    0.065
4472.434	    0.031
4473.237	    0.022
4474.039	    0.026
4474.843	    0.018
4475.646	    0.012
4476.449	    0.035
4477.253	    0.030
4478.056	    0.028
4478.860	    0.060
4479.664	    0.058
4480.468	    0.056
4481.272	    0.055
4482.077	    0.054
4482.881	    0.053
4483.686	    0.050
4484.491	    0.047
4485.296	    0.043
4486.101	    0.038
4486.906	    0.035
4487.711	    0.031
4488.517	    0.028
4489.322	    0.026
4490.128	    0.021
4490.934	    0.016
4491.740	    0.006
4492.547	    0.050
4493.353	    0.051
4494.160	    0.043
4494.966	    0.043
4495.773	    0.038
4496.580	    0.039
4497.387	    0.014
4498.194	    0.048
4499.002	    0.059
4499.809	    0.041
4500.617	    0.028
4501.425	    0.027
4502.233	    0.037
4503.041	    0.049
4503.849	    0.063
4504.658	    0.064
4505.466	    0.058
4506.275	    0.047
4507.084	    0.033
4507.893	    0.028
4508.702	    0.037
4509.511	    0.045
4510.321	    0.051
4511.130	    0.051
4511.940	    0.045
4512.750	    0.031
4513.560	    0.012
4514.370	    0.034
4515.180	    0.040
4515.991	    0.032
4516.802	    0.025
4517.612	    0.042
4518.423	    0.043
4519.234	    0.028
4520.045	    0.040
4520.857	    0.052
4521.668	    0.047
4522.480	    0.034
