Line    	 Rest_wv 	 Center  	 dCenter 	 Amp     	         dAmp    	 Sigma    	 dSig     	 Flux    	         dFlux   	 Pos     	 dPos    	 Vel     	 Rel_Vel 	         dVel    	 flu_per 	 fwhm    
[OI]a   	 6300.300	 6359.700	    0.191	 4.888e-17	         7.220e-18	    1.320	    0.148	 1.617e-16	 2.995e-17	   -3.200	            0.378	 2813.140	 2813.140	    9.004	   18.522	    3.108
[OI]b   	 6363.800	 6423.798	    0.191	 1.577e-17	         7.220e-18	    1.320	    0.148	 5.217e-17	 2.459e-17	   -3.200	            0.378	 2813.140	 2813.140	    8.914	   47.131	    3.108
[NII]b  	 6548.100	 6610.421	    0.341	 1.195e-16	         7.370e-17	    1.895	    0.276	 5.677e-16	 3.597e-16	           -3.200	    0.378	 2839.651	 2839.651	   15.444	           63.360	    4.462
Halpha  	 6562.800	 6625.335	    0.264	 7.103e-16	         1.185e-16	    1.947	    0.209	 3.466e-15	 6.877e-16	           -3.200	    0.378	 2843.032	 2843.032	   11.951	           19.840	    4.584
[NII]a  	 6583.500	 6646.157	    0.341	 3.466e-16	         7.370e-17	    1.905	    0.276	 1.655e-15	 4.257e-16	           -3.200	    0.378	 2839.651	 2839.651	   15.360	           25.722	    4.486
[SII]a  	 6716.400	 6780.611	    0.455	 1.302e-16	         4.645e-17	    1.760	    0.306	 5.744e-16	 2.279e-16	           -3.200	    0.378	 2852.412	 2852.412	   20.123	           39.686	    4.145
[SII]b  	 6730.800	 6795.149	    0.455	 9.240e-17	         3.971e-17	    1.764	    0.306	 4.086e-16	 1.893e-16	           -3.200	    0.378	 2852.412	 2852.412	   20.080	           46.333	    4.154
Hbeta   	 4861.000	 4907.277	    0.230	 1.161e-16	         1.894e-17	    1.745	    0.174	 5.079e-16	 9.710e-17	           -3.200	    0.378	 2840.431	 2840.431	   14.025	           19.120	    4.110
[OIII]49	 4959.000	 5006.092	    0.401	 7.385e-18	         8.702e-18	    1.154	    0.302	 2.137e-17	 2.579e-17	           -3.200	    0.378	 2833.399	 2833.399	   23.990	          120.714	    2.718
[OIII]50	 5007.000	 5054.549	    0.401	 2.215e-17	         8.702e-18	    1.154	    0.302	 6.410e-17	 3.026e-17	           -3.200	    0.378	 2833.457	 2833.457	   23.760	           47.205	    2.718
[OI]a   	 6300.300	 6359.700	    0.191	 4.888e-17	         7.220e-18	    1.320	    0.148	 1.617e-16	 2.995e-17	           -3.200	    0.378	 2813.140	 2813.140	    9.004	           18.522	    3.108
[OI]b   	 6363.800	 6423.798	    0.191	 1.577e-17	         7.220e-18	    1.320	    0.148	 5.217e-17	 2.459e-17	           -3.200	    0.378	 2813.140	 2813.140	    8.914	           47.131	    3.108
[NII]b  	 6548.100	 6610.421	    0.341	 1.195e-16	         7.370e-17	    1.895	    0.276	 5.677e-16	 3.597e-16	           -3.200	    0.378	 2839.651	 2839.651	   15.444	           63.360	    4.462
Halpha  	 6562.800	 6625.335	    0.264	 7.103e-16	         1.185e-16	    1.947	    0.209	 3.466e-15	 6.877e-16	           -3.200	    0.378	 2843.032	 2843.032	   11.951	           19.840	    4.584
[NII]a  	 6583.500	 6646.157	    0.341	 3.466e-16	         7.370e-17	    1.905	    0.276	 1.655e-15	 4.257e-16	           -3.200	    0.378	 2839.651	 2839.651	   15.360	           25.722	    4.486
[SII]a  	 6716.400	 6780.611	    0.455	 1.302e-16	         4.645e-17	    1.760	    0.306	 5.744e-16	 2.279e-16	           -3.200	    0.378	 2852.412	 2852.412	   20.123	           39.686	    4.145
[SII]b  	 6730.800	 6795.149	    0.455	 9.240e-17	         3.971e-17	    1.764	    0.306	 4.086e-16	 1.893e-16	           -3.200	    0.378	 2852.412	 2852.412	   20.080	           46.333	    4.154
Hbeta   	 4861.000	 4907.277	    0.230	 1.161e-16	         1.894e-17	    1.745	    0.174	 5.079e-16	 9.710e-17	           -3.200	    0.378	 2840.431	 2840.431	   14.025	           19.120	    4.110
[OIII]49	 4959.000	 5006.092	    0.401	 7.385e-18	         8.702e-18	    1.154	    0.302	 2.137e-17	 2.579e-17	           -3.200	    0.378	 2833.399	 2833.399	   23.990	          120.714	    2.718
[OIII]50	 5007.000	 5054.549	    0.401	 2.215e-17	         8.702e-18	    1.154	    0.302	 6.410e-17	 3.026e-17	           -3.200	    0.378	 2833.457	 2833.457	   23.760	           47.205	    2.718
