Line    	 Rest_wv 	 Center  	 dCenter 	 Amp     	         dAmp    	 Sigma    	 dSig     	 Flux    	         dFlux   	 Pos     	 dPos    	 Vel     	 Rel_Vel 	         dVel    	 flu_per 	 fwhm    
[OI]a   	 6300.300	 6360.885	    0.218	 4.754e-17	         5.532e-18	    1.859	    0.202	 2.215e-16	 3.529e-17	    2.843	            0.378	 2869.002	 2869.002	   10.263	   15.935	    4.377
[OI]b   	 6363.800	 6424.996	    0.218	 1.533e-17	         5.532e-18	    1.859	    0.202	 7.145e-17	 2.692e-17	    2.843	            0.378	 2869.002	 2869.002	   10.160	   37.683	    4.377
[NII]b  	 6548.100	 6611.739	    0.307	 3.554e-16	         1.756e-16	    2.155	    0.266	 1.920e-15	 9.777e-16	            2.843	    0.378	 2899.431	 2899.431	   13.928	           50.911	    5.076
Halpha  	 6562.800	 6626.332	    0.199	 2.623e-15	         3.197e-16	    2.001	    0.159	 1.315e-14	 1.913e-15	            2.843	    0.378	 2888.147	 2888.147	    9.007	           14.545	    4.711
[NII]a  	 6583.500	 6647.483	    0.307	 1.031e-15	         1.756e-16	    2.167	    0.266	 5.599e-15	 1.175e-15	            2.843	    0.378	 2899.431	 2899.431	   13.853	           20.986	    5.103
[SII]a  	 6716.400	 6781.526	    0.488	 2.982e-16	         1.019e-16	    1.996	    0.409	 1.492e-15	 5.947e-16	            2.843	    0.378	 2892.864	 2892.864	   21.585	           39.844	    4.701
[SII]b  	 6730.800	 6796.066	    0.488	 2.283e-16	         8.920e-17	    2.001	    0.409	 1.145e-15	 5.048e-16	            2.843	    0.378	 2892.864	 2892.864	   21.539	           44.101	    4.711
Hbeta   	 4861.000	 4907.906	    0.140	 3.472e-16	         3.120e-17	    1.989	    0.109	 1.731e-15	 1.820e-16	            2.843	    0.378	 2878.878	 2878.878	    8.543	           10.515	    4.684
[OIII]49	 4959.000	 5007.019	    0.507	 9.075e-18	         7.325e-18	    1.850	    0.433	 4.209e-17	 3.538e-17	            2.843	    0.378	 2888.875	 2888.875	   30.354	           84.048	    4.357
[OIII]50	 5007.000	 5055.484	    0.507	 2.723e-17	         7.325e-18	    1.850	    0.433	 1.263e-16	 4.505e-17	            2.843	    0.378	 2888.933	 2888.933	   30.063	           35.674	    4.357
[OI]a   	 6300.300	 6360.885	    0.218	 4.754e-17	         5.532e-18	    1.859	    0.202	 2.215e-16	 3.529e-17	            2.843	    0.378	 2869.002	 2869.002	   10.263	           15.935	    4.377
[OI]b   	 6363.800	 6424.996	    0.218	 1.533e-17	         5.532e-18	    1.859	    0.202	 7.145e-17	 2.692e-17	            2.843	    0.378	 2869.002	 2869.002	   10.160	           37.683	    4.377
[NII]b  	 6548.100	 6611.739	    0.307	 3.554e-16	         1.756e-16	    2.155	    0.266	 1.920e-15	 9.777e-16	            2.843	    0.378	 2899.431	 2899.431	   13.928	           50.911	    5.076
Halpha  	 6562.800	 6626.332	    0.199	 2.623e-15	         3.197e-16	    2.001	    0.159	 1.315e-14	 1.913e-15	            2.843	    0.378	 2888.147	 2888.147	    9.007	           14.545	    4.711
[NII]a  	 6583.500	 6647.483	    0.307	 1.031e-15	         1.756e-16	    2.167	    0.266	 5.599e-15	 1.175e-15	            2.843	    0.378	 2899.431	 2899.431	   13.853	           20.986	    5.103
[SII]a  	 6716.400	 6781.526	    0.488	 2.982e-16	         1.019e-16	    1.996	    0.409	 1.492e-15	 5.947e-16	            2.843	    0.378	 2892.864	 2892.864	   21.585	           39.844	    4.701
[SII]b  	 6730.800	 6796.066	    0.488	 2.283e-16	         8.920e-17	    2.001	    0.409	 1.145e-15	 5.048e-16	            2.843	    0.378	 2892.864	 2892.864	   21.539	           44.101	    4.711
Hbeta   	 4861.000	 4907.906	    0.140	 3.472e-16	         3.120e-17	    1.989	    0.109	 1.731e-15	 1.820e-16	            2.843	    0.378	 2878.878	 2878.878	    8.543	           10.515	    4.684
[OIII]49	 4959.000	 5007.019	    0.507	 9.075e-18	         7.325e-18	    1.850	    0.433	 4.209e-17	 3.538e-17	            2.843	    0.378	 2888.875	 2888.875	   30.354	           84.048	    4.357
[OIII]50	 5007.000	 5055.484	    0.507	 2.723e-17	         7.325e-18	    1.850	    0.433	 1.263e-16	 4.505e-17	            2.843	    0.378	 2888.933	 2888.933	   30.063	           35.674	    4.357
