WV      	 Sigma   
4184.326	    0.051
4185.077	    0.045
4185.828	    0.032
4186.580	    0.023
4187.331	    0.015
4188.083	    0.031
4188.835	    0.019
4189.586	    0.045
4190.339	    0.029
4191.091	    0.030
4191.843	    0.022
4192.595	    0.023
4193.348	    0.040
4194.101	    0.050
4194.853	    0.048
4195.606	    0.018
4196.359	    0.063
4197.113	    0.068
4197.866	    0.063
4198.620	    0.034
4199.373	    0.040
4200.127	    0.010
4200.881	    0.040
4201.635	    0.054
4202.389	    0.058
4203.143	    0.060
4203.898	    0.063
4204.652	    0.069
4205.407	    0.061
4206.162	    0.060
4206.917	    0.059
4207.672	    0.057
4208.427	    0.077
4209.183	    0.054
4209.938	    0.024
4210.694	    0.048
4211.450	    0.030
4212.206	    0.013
4212.962	    0.040
4213.718	    0.048
4214.474	    0.032
4215.231	    0.044
4215.987	    0.067
4216.744	    0.065
4217.501	    0.024
4218.258	    0.016
4219.015	    0.023
4219.773	    0.036
4220.530	    0.040
4221.288	    0.044
4222.045	    0.046
4222.803	    0.045
4223.561	    0.037
4224.319	    0.038
4225.077	    0.045
4225.836	    0.057
4226.594	    0.050
4227.353	    0.034
4228.112	    0.027
4228.871	    0.045
4229.630	    0.067
4230.389	    0.073
4231.148	    0.078
4231.908	    0.081
4232.667	    0.042
4233.427	    0.030
4234.187	    0.050
4234.947	    0.084
4235.707	    0.032
4236.468	    0.015
4237.228	    0.021
4237.989	    0.031
4238.749	    0.098
4239.510	    0.061
4240.271	    0.051
4241.032	    0.076
4241.793	    0.036
4242.555	    0.045
4243.316	    0.042
4244.078	    0.032
4244.840	    0.043
4245.602	    0.041
4246.364	    0.053
4247.126	    0.066
4247.888	    0.055
4248.651	    0.047
4249.413	    0.048
4250.176	    0.053
4250.939	    0.059
4251.702	    0.071
4252.465	    0.080
4253.229	    0.084
4253.992	    0.080
4254.756	    0.046
4255.519	    0.016
4256.283	    0.013
4257.047	    0.044
4257.811	    0.068
4258.575	    0.063
4259.340	    0.063
4260.104	    0.082
4260.869	    0.065
4261.634	    0.061
4262.399	    0.051
