wlen 	 newgal_spectrum 
  4259.984 	     -0.194
  4260.688 	     -0.194
  4261.392 	     -0.200
  4262.096 	     -0.209
  4262.800 	     -0.224
  4263.505 	     -0.233
  4264.209 	     -0.238
  4264.914 	     -0.241
  4265.618 	     -0.239
  4266.323 	     -0.232
  4267.028 	     -0.221
  4267.733 	     -0.209
  4268.439 	     -0.194
  4269.144 	     -0.171
  4269.849 	     -0.152
  4270.555 	     -0.138
  4271.261 	     -0.123
  4271.966 	     -0.025
  4272.672 	     -0.037
  4273.378 	     -0.070
  4274.084 	     -0.100
  4274.791 	     -0.054
  4275.497 	     -0.001
  4276.204 	      0.016
  4276.910 	      0.013
  4277.617 	     -0.016
  4278.324 	     -0.026
  4279.031 	     -0.017
  4279.738 	     -0.013
  4280.445 	     -0.015
  4281.152 	     -0.047
  4281.860 	     -0.057
  4282.567 	     -0.071
  4283.275 	     -0.087
  4283.983 	     -0.095
  4284.691 	     -0.097
  4285.399 	     -0.060
  4286.107 	     -0.022
  4286.815 	     -0.007
  4287.523 	     -0.064
  4288.232 	     -0.092
  4288.940 	     -0.091
  4289.649 	     -0.057
  4290.358 	     -0.071
  4291.067 	     -0.130
  4291.776 	     -0.133
  4292.485 	     -0.100
  4293.194 	     -0.037
  4293.904 	     -0.031
  4294.613 	     -0.026
  4295.323 	     -0.024
  4296.033 	     -0.020
  4296.743 	     -0.026
  4297.453 	     -0.027
  4298.163 	     -0.042
  4298.873 	     -0.073
  4299.583 	     -0.078
  4300.294 	     -0.079
  4301.004 	     -0.086
  4301.715 	     -0.093
  4302.426 	     -0.100
  4303.137 	     -0.067
  4303.848 	     -0.049
  4304.559 	     -0.062
  4305.270 	     -0.120
  4305.982 	     -0.117
  4306.693 	     -0.064
  4307.405 	     -0.055
  4308.117 	     -0.068
  4308.829 	     -0.081
  4309.541 	     -0.126
  4310.253 	     -0.148
  4310.965 	     -0.147
  4311.677 	     -0.127
  4312.390 	     -0.066
  4313.102 	     -0.034
  4313.815 	     -0.005
  4314.528 	      0.017
  4315.241 	     -0.007
  4315.954 	      0.009
  4316.667 	      0.025
  4317.380 	      0.031
  4318.094 	      0.004
  4318.807 	     -0.077
  4319.521 	     -0.078
  4320.235 	     -0.088
  4320.949 	     -0.112
  4321.663 	     -0.071
  4322.377 	      0.019
  4323.091 	      0.017
  4323.805 	     -0.031
  4324.520 	     -0.107
  4325.234 	     -0.119
  4325.949 	     -0.096
  4326.664 	     -0.070
  4327.379 	     -0.051
  4328.094 	     -0.047
  4328.809 	     -0.038
  4329.524 	     -0.011
  4330.240 	      0.022
  4330.955 	      0.049
  4331.671 	     -0.007
  4332.387 	     -0.018
  4333.103 	     -0.008
  4333.819 	      0.030
  4334.535 	      0.061
  4335.251 	      0.062
  4335.968 	      0.044
  4336.684 	      0.017
  4337.401 	     -0.017
  4338.117 	      0.003
  4338.834 	      0.027
  4339.551 	      0.035
  4340.268 	      0.029
  4340.985 	      0.039
  4341.703 	      0.022
  4342.420 	      0.008
  4343.138 	     -0.006
  4343.855 	     -0.020
  4344.573 	      0.031
  4345.291 	      0.062
  4346.009 	      0.072
  4346.727 	      0.063
  4347.445 	      0.044
  4348.164 	     -0.013
  4348.882 	     -0.037
  4349.601 	     -0.022
  4350.320 	      0.051
  4351.039 	     -0.003
  4351.758 	      0.019
  4352.477 	      0.055
  4353.196 	      0.082
  4353.915 	      0.032
  4354.635 	      0.025
  4355.354 	      0.028
  4356.074 	      0.040
  4356.794 	      0.059
  4357.514 	      0.106
  4358.234 	      0.059
  4358.954 	      0.064
  4359.674 	      0.092
  4360.394 	      0.114
  4361.115 	      0.115
  4361.836 	      0.051
  4362.556 	      0.014
  4363.277 	      0.007
  4363.998 	     -0.017
  4364.719 	     -0.034
  4365.441 	      0.015
  4366.162 	      0.068
  4366.883 	      0.099
  4367.605 	      0.129
  4368.327 	      0.140
  4369.049 	      0.116
  4369.771 	      0.078
  4370.493 	      0.063
  4371.215 	      0.080
  4371.937 	      0.091
  4372.660 	      0.074
  4373.382 	      0.033
  4394.388 	     -0.036
  4395.114 	      0.057
  4395.840 	      0.042
  4396.567 	      0.008
  4397.293 	     -0.032
  4398.020 	     -0.086
  4398.747 	     -0.052
  4399.473 	     -0.049
  4400.200 	     -0.051
  4400.928 	     -0.017
  4401.655 	      0.010
  4402.382 	     -0.005
  4403.110 	     -0.010
  4403.837 	      0.002
  4404.565 	      0.048
  4405.293 	      0.030
  4406.021 	      0.004
  4406.749 	      0.010
  4407.477 	      0.037
  4408.205 	      0.060
  4408.934 	      0.062
  4409.662 	      0.071
  4410.391 	      0.074
  4411.119 	      0.071
  4411.848 	      0.082
  4412.577 	      0.086
  4413.307 	      0.101
  4414.036 	      0.107
  4414.765 	      0.092
  4415.495 	      0.030
  4416.224 	      0.026
  4416.954 	      0.027
  4417.684 	      0.027
  4418.414 	      0.024
  4419.144 	      0.002
  4419.874 	     -0.025
  4420.605 	     -0.022
  4421.335 	      0.004
  4422.066 	      0.049
  4422.796 	      0.094
  4423.527 	      0.093
  4424.258 	      0.077
  4424.989 	      0.061
  4425.720 	      0.064
  4426.452 	      0.073
  4427.183 	      0.081
  4427.915 	      0.114
  4428.646 	      0.160
  4429.378 	      0.189
  4430.110 	      0.098
  4430.842 	      0.030
  4431.574 	      0.009
  4432.307 	      0.027
  4433.039 	      0.031
  4433.772 	      0.028
  4434.504 	      0.037
  4435.237 	      0.044
  4435.970 	      0.043
  4436.703 	      0.029
  4437.436 	      0.093
  4438.169 	      0.048
  4438.903 	     -0.010
  4439.636 	     -0.048
  4440.370 	     -0.014
  4441.103 	     -0.017
  4441.837 	      0.038
  4442.571 	      0.067
  4443.305 	      0.049
  4444.040 	      0.015
  4444.774 	      0.033
  4445.508 	      0.038
  4446.243 	      0.048
  4446.978 	      0.061
  4447.713 	      0.015
  4448.447 	      0.008
  4449.183 	      0.006
  4449.918 	      0.016
  4450.653 	      0.035
  4451.388 	      0.041
  4452.124 	      0.032
  4452.860 	      0.046
  4453.596 	      0.047
  4454.331 	      0.026
  4455.067 	      0.005
  4455.804 	      0.022
  4456.540 	      0.023
  4457.276 	      0.015
  4458.013 	     -0.003
  4458.750 	     -0.007
  4459.486 	     -0.003
  4460.223 	     -0.000
  4460.960 	      0.009
  4461.697 	      0.022
  4462.435 	      0.041
  4463.172 	      0.085
  4463.909 	      0.079
  4464.647 	      0.043
  4465.385 	     -0.001
  4466.123 	     -0.005
  4466.861 	     -0.021
  4467.599 	     -0.012
  4468.337 	      0.011
  4469.075 	      0.036
  4469.814 	      0.046
  4470.552 	      0.072
  4471.291 	      0.059
  4472.030 	      0.055
  4472.769 	      0.064
  4473.508 	      0.045
  4474.247 	      0.019
  4474.987 	      0.057
  4475.726 	      0.076
  4476.466 	      0.073
  4477.205 	      0.079
  4477.945 	      0.051
  4478.685 	      0.036
  4479.425 	     -0.000
  4480.165 	     -0.044
  4480.906 	     -0.072
  4481.646 	     -0.023
  4482.387 	     -0.013
  4483.127 	     -0.017
  4483.868 	     -0.025
  4484.609 	     -0.001
  4485.350 	      0.042
  4486.091 	      0.083
  4486.833 	      0.069
  4487.574 	      0.046
  4488.316 	      0.064
  4489.057 	      0.091
  4489.799 	      0.102
  4490.541 	      0.089
  4491.283 	      0.053
  4492.025 	     -0.002
  4492.767 	      0.069
  4493.510 	      0.066
  4494.252 	      0.058
  4494.995 	      0.042
  4495.738 	      0.020
  4496.481 	      0.021
  4497.224 	      0.043
  4497.967 	      0.030
  4498.710 	      0.020
  4499.453 	      0.025
  4500.197 	      0.058
  4500.940 	      0.066
  4501.684 	      0.065
  4502.428 	      0.068
  4503.172 	      0.073
  4503.916 	      0.072
  4504.660 	      0.020
  4505.405 	      0.040
  4506.149 	      0.091
  4506.894 	      0.129
  4507.639 	      0.110
  4508.383 	      0.052
  4509.128 	      0.055
  4509.873 	      0.054
  4510.619 	      0.059
  4511.364 	      0.070
  4512.109 	      0.048
  4512.855 	      0.012
  4513.601 	      0.019
  4514.347 	      0.042
  4515.093 	      0.066
  4515.839 	      0.064
  4516.585 	      0.147
  4517.331 	      0.163
  4518.078 	      0.178
  4518.824 	      0.191
  4519.571 	      0.185
  4520.318 	      0.195
  4521.065 	      0.190
  4521.812 	      0.143
  4522.559 	      0.099
  4523.306 	      0.096
  4524.054 	      0.140
  4524.801 	      0.118
  4525.549 	      0.091
  4526.297 	      0.121
  4527.045 	      0.194
  4527.793 	      0.174
  4528.541 	      0.108
  4529.289 	      0.113
  4530.038 	      0.109
  4530.786 	      0.087
  4531.535 	      0.035
  4532.284 	      0.029
  4533.033 	      0.045
  4533.782 	      0.049
  4534.531 	      0.062
  4535.280 	      0.095
  4536.030 	      0.098
  4536.779 	      0.081
  4537.529 	      0.055
  4538.279 	      0.033
  4539.028 	      0.018
  4539.779 	     -0.001
  4540.529 	      0.014
  4541.279 	      0.057
  4542.029 	      0.068
  4542.780 	      0.055
  4543.531 	      0.047
  4544.281 	      0.142
  4545.032 	      0.165
  4545.783 	      0.107
  4546.534 	      0.066
  4547.286 	      0.075
  4548.037 	      0.099
  4548.789 	      0.083
  4549.540 	      0.096
  4550.292 	      0.092
  4551.044 	      0.072
  4551.796 	      0.045
  4552.548 	      0.041
  4553.300 	      0.065
  4554.053 	      0.097
  4554.805 	      0.124
  4555.558 	      0.129
  4556.311 	      0.093
  4557.064 	      0.082
  4557.817 	      0.077
  4558.570 	      0.074
  4559.323 	      0.091
  4560.076 	      0.143
  4560.830 	      0.170
  4561.584 	      0.132
  4562.337 	      0.115
  4563.091 	      0.108
  4563.845 	      0.099
  4564.599 	      0.058
  4565.354 	      0.026
  4566.108 	      0.066
  4566.863 	      0.091
  4567.617 	      0.103
  4568.372 	      0.115
  4569.127 	      0.122
  4569.882 	      0.090
  4570.637 	      0.086
  4571.392 	      0.082
  4572.148 	      0.073
  4572.903 	      0.075
  4573.659 	      0.040
  4574.415 	      0.072
  4575.170 	      0.107
  4575.926 	      0.118
  4576.683 	      0.090
  4577.439 	     -0.003
  4578.195 	      0.038
  4578.952 	      0.059
  4579.708 	      0.061
  4580.465 	      0.061
  4581.222 	      0.089
  4581.979 	      0.090
  4582.736 	      0.057
  4583.493 	      0.046
  4584.251 	      0.043
  4585.008 	      0.033
  4585.766 	     -0.008
  4586.524 	      0.064
  4587.282 	      0.078
  4588.040 	      0.049
  4588.798 	      0.040
  4589.556 	      0.089
  4590.314 	      0.073
  4591.073 	     -0.017
  4591.832 	     -0.007
  4592.590 	      0.041
  4593.349 	      0.090
  4594.108 	      0.102
  4594.867 	      0.048
  4595.627 	      0.036
  4596.386 	      0.059
  4597.146 	      0.081
  4597.905 	      0.096
  4598.665 	      0.122
  4599.425 	      0.104
  4600.185 	      0.072
  4600.945 	      0.063
  4601.705 	      0.050
  4602.466 	      0.022
  4603.226 	     -0.008
  4603.987 	      0.031
  4604.748 	      0.041
  4605.508 	      0.046
  4606.269 	      0.061
  4607.031 	      0.087
  4607.792 	      0.063
  4608.553 	      0.019
  4609.315 	      0.050
  4610.076 	      0.109
  4610.838 	      0.145
  4611.600 	      0.113
  4612.362 	      0.104
  4613.124 	      0.107
  4613.887 	      0.083
  4614.649 	      0.058
  4615.412 	      0.039
  4616.174 	      0.022
  4616.937 	      0.004
  4617.700 	      0.003
  4618.463 	      0.046
  4619.226 	      0.106
  4619.989 	      0.140
  4620.753 	      0.084
  4621.516 	      0.036
  4622.280 	      0.085
  4623.044 	      0.050
  4623.808 	      0.002
  4624.572 	     -0.012
  4625.336 	      0.039
  4626.100 	      0.033
  4626.865 	     -0.001
  4627.629 	      0.017
  4628.394 	      0.044
  4629.159 	      0.047
  4629.924 	      0.031
  4630.689 	      0.062
  4631.454 	      0.045
  4632.219 	      0.045
  4632.985 	      0.041
  4633.750 	      0.028
  4634.516 	      0.068
  4635.282 	      0.060
  4636.048 	      0.050
  4636.814 	      0.052
  4637.580 	      0.035
  4638.346 	     -0.005
  4639.113 	     -0.006
  4639.879 	      0.002
  4640.646 	     -0.026
  4641.413 	     -0.025
  4642.180 	     -0.002
  4642.947 	      0.032
  4643.714 	      0.076
  4644.481 	      0.050
  4645.249 	     -0.009
  4646.016 	     -0.032
  4646.784 	     -0.012
  4647.552 	      0.034
  4648.320 	      0.048
  4649.088 	      0.064
  4649.856 	      0.063
  4650.625 	      0.063
  4651.393 	      0.071
  4652.162 	      0.080
  4652.930 	      0.060
  4653.699 	      0.060
  4654.468 	      0.068
  4655.237 	      0.072
  4656.007 	      0.071
  4656.776 	      0.057
  4657.546 	      0.028
  4658.315 	      0.040
  4659.085 	      0.066
  4659.855 	      0.080
  4660.625 	      0.083
  4661.395 	      0.086
  4662.165 	      0.107
  4662.936 	      0.065
  4663.706 	      0.027
  4664.477 	      0.042
  4665.247 	      0.068
  4666.018 	      0.076
  4666.789 	      0.052
  4667.561 	      0.074
  4668.332 	      0.037
  4669.103 	      0.033
  4669.875 	      0.008
  4670.646 	     -0.027
  4671.418 	     -0.035
  4672.190 	      0.054
  4672.962 	      0.096
  4673.734 	      0.083
  4674.507 	      0.057
  4675.279 	      0.035
  4676.052 	      0.026
  4676.824 	      0.022
  4677.597 	      0.034
  4678.370 	      0.060
  4679.143 	      0.017
  4679.916 	      0.002
  4680.690 	      0.053
  4681.463 	      0.096
  4682.237 	      0.060
  4683.010 	      0.022
  4683.784 	      0.052
  4684.558 	      0.091
  4685.332 	      0.098
  4686.106 	      0.051
  4686.881 	      0.068
  4687.655 	      0.080
  4688.430 	      0.051
  4689.205 	      0.042
  4689.979 	      0.063
  4690.754 	      0.088
  4691.529 	      0.027
  4692.305 	      0.013
  4693.080 	      0.022
  4693.856 	      0.029
  4694.631 	      0.028
  4695.407 	      0.025
  4696.183 	      0.043
  4696.959 	      0.052
  4697.735 	      0.020
  4698.511 	      0.014
  4699.288 	      0.016
  4700.064 	      0.015
  4700.841 	      0.011
  4701.618 	     -0.013
  4702.394 	      0.011
  4703.171 	      0.029
  4703.949 	      0.028
  4704.726 	      0.022
  4705.503 	      0.025
  4706.281 	      0.026
  4707.059 	     -0.002
  4707.836 	      0.027
  4708.614 	      0.044
  4709.392 	      0.055
  4710.171 	      0.080
  4710.949 	      0.135
  4711.727 	      0.144
  4712.506 	      0.094
  4713.285 	      0.066
  4714.063 	      0.051
  4714.842 	      0.036
  4715.621 	      0.015
  4716.401 	      0.013
  4717.180 	      0.075
  4717.960 	      0.074
  4718.739 	      0.045
