Line    	 Rest_wv 	 Center  	 dCenter 	 Amp     	         dAmp    	 Sigma    	 dSig     	 Flux    	         dFlux   	 Pos     	 dPos    	 Vel     	 Rel_Vel 	         dVel    	 flu_per 	 fwhm    
[OI]a   	 6300.300	 6365.679	    0.211	 1.069e-16	         7.276e-18	    3.423	    0.186	 9.169e-16	 7.995e-17	    7.846	            0.553	 3094.825	 3094.825	    9.920	    8.719	    8.062
[OI]b   	 6363.800	 6429.838	    0.211	 3.447e-17	         7.276e-18	    3.423	    0.186	 2.958e-16	 6.448e-17	    7.846	            0.553	 3094.825	 3094.825	    9.821	   21.799	    8.062
[NII]b  	 6548.100	 6619.071	    0.382	 3.713e-16	         2.486e-16	    1.955	    0.295	 1.819e-15	 1.249e-15	            7.846	    0.553	 3231.655	 3231.655	   17.290	           68.642	    4.603
Halpha  	 6562.800	 6633.994	    0.277	 2.586e-15	         4.342e-16	    2.004	    0.208	 1.299e-14	 2.563e-15	            7.846	    0.553	 3234.530	 3234.530	   12.512	           19.737	    4.719
[NII]a  	 6583.500	 6654.854	    0.382	 1.077e-15	         2.486e-16	    1.965	    0.295	 5.305e-15	 1.461e-15	            7.846	    0.553	 3231.655	 3231.655	   17.197	           27.533	    4.628
[SII]a  	 6716.400	 6789.130	    0.641	 3.179e-16	         1.603e-16	    1.575	    0.489	 1.255e-15	 7.430e-16	            7.846	    0.553	 3228.774	 3228.774	   28.286	           59.196	    3.709
[SII]b  	 6730.800	 6803.686	    0.641	 1.997e-16	         1.282e-16	    1.578	    0.489	 7.903e-16	 5.631e-16	            7.846	    0.553	 3228.774	 3228.774	   28.225	           71.254	    3.717
Hbeta   	 4861.000	 4914.303	    0.230	 1.347e-15	         1.917e-16	    1.991	    0.169	 6.725e-15	 1.113e-15	            7.846	    0.553	 3269.350	 3269.350	   14.011	           16.554	    4.689
[OIII]49	 4959.000	 5012.920	    0.670	 4.159e-17	         5.221e-17	    1.773	    0.443	 1.849e-16	 2.366e-16	            7.846	    0.553	 3241.951	 3241.951	   40.050	          127.987	    4.175
[OIII]50	 5007.000	 5061.443	    0.670	 1.248e-16	         5.221e-17	    1.773	    0.443	 5.546e-16	 2.702e-16	            7.846	    0.553	 3242.009	 3242.009	   39.667	           48.729	    4.175
[OI]a   	 6300.300	 6365.679	    0.211	 1.069e-16	         7.276e-18	    3.423	    0.186	 9.169e-16	 7.995e-17	            7.846	    0.553	 3094.825	 3094.825	    9.920	            8.719	    8.062
[OI]b   	 6363.800	 6429.838	    0.211	 3.447e-17	         7.276e-18	    3.423	    0.186	 2.958e-16	 6.448e-17	            7.846	    0.553	 3094.825	 3094.825	    9.821	           21.799	    8.062
[NII]b  	 6548.100	 6619.071	    0.382	 3.713e-16	         2.486e-16	    1.955	    0.295	 1.819e-15	 1.249e-15	            7.846	    0.553	 3231.655	 3231.655	   17.290	           68.642	    4.603
Halpha  	 6562.800	 6633.994	    0.277	 2.586e-15	         4.342e-16	    2.004	    0.208	 1.299e-14	 2.563e-15	            7.846	    0.553	 3234.530	 3234.530	   12.512	           19.737	    4.719
[NII]a  	 6583.500	 6654.854	    0.382	 1.077e-15	         2.486e-16	    1.965	    0.295	 5.305e-15	 1.461e-15	            7.846	    0.553	 3231.655	 3231.655	   17.197	           27.533	    4.628
[SII]a  	 6716.400	 6789.130	    0.641	 3.179e-16	         1.603e-16	    1.575	    0.489	 1.255e-15	 7.430e-16	            7.846	    0.553	 3228.774	 3228.774	   28.286	           59.196	    3.709
[SII]b  	 6730.800	 6803.686	    0.641	 1.997e-16	         1.282e-16	    1.578	    0.489	 7.903e-16	 5.631e-16	            7.846	    0.553	 3228.774	 3228.774	   28.225	           71.254	    3.717
Hbeta   	 4861.000	 4914.303	    0.230	 1.347e-15	         1.917e-16	    1.991	    0.169	 6.725e-15	 1.113e-15	            7.846	    0.553	 3269.350	 3269.350	   14.011	           16.554	    4.689
[OIII]49	 4959.000	 5012.920	    0.670	 4.159e-17	         5.221e-17	    1.773	    0.443	 1.849e-16	 2.366e-16	            7.846	    0.553	 3241.951	 3241.951	   40.050	          127.987	    4.175
[OIII]50	 5007.000	 5061.443	    0.670	 1.248e-16	         5.221e-17	    1.773	    0.443	 5.546e-16	 2.702e-16	            7.846	    0.553	 3242.009	 3242.009	   39.667	           48.729	    4.175
