Line    	 Rest_wv 	 Center  	 dCenter 	 Amp     	         dAmp    	 Sigma    	 dSig     	 Flux    	         dFlux   	 Pos     	 dPos    	 Vel     	 Rel_Vel 	         dVel    	 flu_per 	 fwhm    
[OI]a   	 6300.300	 6347.894	    2.415	 3.882e-18	         1.060e-18	    7.097	    2.334	 6.905e-17	 2.951e-17	    7.374	            0.378	 2256.154	 2256.154	  114.045	   42.738	   16.711
[OI]b   	 6363.800	 6411.874	    2.415	 1.252e-18	         1.060e-18	    7.097	    2.334	 2.227e-17	 2.022e-17	    7.374	            0.378	 2256.154	 2256.154	  112.907	   90.794	   16.711
[NII]b  	 6548.100	 6611.095	    0.394	 2.432e-17	         1.424e-17	    2.331	    0.330	 1.421e-16	 8.562e-17	            7.374	    0.378	 2870.246	 2870.246	   17.874	           60.250	    5.490
Halpha  	 6562.800	 6626.388	    0.344	 1.108e-16	         2.034e-17	    2.238	    0.272	 6.215e-16	 1.369e-16	            7.374	    0.378	 2890.684	 2890.684	   15.546	           22.022	    5.271
[NII]a  	 6583.500	 6646.836	    0.394	 7.053e-17	         1.424e-17	    2.344	    0.330	 4.143e-16	 1.020e-16	            7.374	    0.378	 2870.246	 2870.246	   17.778	           24.608	    5.519
[SII]a  	 6716.400	 6781.275	    0.545	 2.714e-17	         9.771e-18	    2.054	    0.440	 1.397e-16	 5.854e-17	            7.374	    0.378	 2881.764	 2881.764	   24.085	           41.890	    4.838
[SII]b  	 6730.800	 6795.814	    0.545	 1.716e-17	         7.643e-18	    2.059	    0.440	 8.858e-17	 4.375e-17	            7.374	    0.378	 2881.764	 2881.764	   24.033	           49.386	    4.848
Hbeta   	 4861.000	 4907.722	    0.353	 1.700e-17	         4.093e-18	    1.610	    0.295	 6.863e-17	 2.075e-17	            7.374	    0.378	 2867.634	 2867.634	   21.553	           30.240	    3.792
[OIII]49	 4959.000	 5005.409	    0.342	 3.663e-18	         3.233e-18	    1.311	    0.273	 1.203e-17	 1.091e-17	            7.374	    0.378	 2792.521	 2792.521	   20.484	           90.698	    3.087
[OIII]50	 5007.000	 5053.860	    0.342	 1.099e-17	         3.233e-18	    1.311	    0.273	 3.610e-17	 1.301e-17	            7.374	    0.378	 2792.579	 2792.579	   20.287	           36.050	    3.087
[OI]a   	 6300.300	 6347.894	    2.415	 3.882e-18	         1.060e-18	    7.097	    2.334	 6.905e-17	 2.951e-17	            7.374	    0.378	 2256.154	 2256.154	  114.045	           42.738	   16.711
[OI]b   	 6363.800	 6411.874	    2.415	 1.252e-18	         1.060e-18	    7.097	    2.334	 2.227e-17	 2.022e-17	            7.374	    0.378	 2256.154	 2256.154	  112.907	           90.794	   16.711
[NII]b  	 6548.100	 6611.095	    0.394	 2.432e-17	         1.424e-17	    2.331	    0.330	 1.421e-16	 8.562e-17	            7.374	    0.378	 2870.246	 2870.246	   17.874	           60.250	    5.490
Halpha  	 6562.800	 6626.388	    0.344	 1.108e-16	         2.034e-17	    2.238	    0.272	 6.215e-16	 1.369e-16	            7.374	    0.378	 2890.684	 2890.684	   15.546	           22.022	    5.271
[NII]a  	 6583.500	 6646.836	    0.394	 7.053e-17	         1.424e-17	    2.344	    0.330	 4.143e-16	 1.020e-16	            7.374	    0.378	 2870.246	 2870.246	   17.778	           24.608	    5.519
[SII]a  	 6716.400	 6781.275	    0.545	 2.714e-17	         9.771e-18	    2.054	    0.440	 1.397e-16	 5.854e-17	            7.374	    0.378	 2881.764	 2881.764	   24.085	           41.890	    4.838
[SII]b  	 6730.800	 6795.814	    0.545	 1.716e-17	         7.643e-18	    2.059	    0.440	 8.858e-17	 4.375e-17	            7.374	    0.378	 2881.764	 2881.764	   24.033	           49.386	    4.848
Hbeta   	 4861.000	 4907.722	    0.353	 1.700e-17	         4.093e-18	    1.610	    0.295	 6.863e-17	 2.075e-17	            7.374	    0.378	 2867.634	 2867.634	   21.553	           30.240	    3.792
[OIII]49	 4959.000	 5005.409	    0.342	 3.663e-18	         3.233e-18	    1.311	    0.273	 1.203e-17	 1.091e-17	            7.374	    0.378	 2792.521	 2792.521	   20.484	           90.698	    3.087
[OIII]50	 5007.000	 5053.860	    0.342	 1.099e-17	         3.233e-18	    1.311	    0.273	 3.610e-17	 1.301e-17	            7.374	    0.378	 2792.579	 2792.579	   20.287	           36.050	    3.087
