wlen 	 newgal_spectrum 
  4176.646 	      0.002
  4177.397 	     -0.008
  4178.147 	     -0.016
  4178.898 	     -0.023
  4179.649 	     -0.028
  4180.400 	     -0.031
  4181.151 	     -0.031
  4181.902 	     -0.029
  4182.653 	     -0.024
  4183.405 	     -0.017
  4184.157 	     -0.011
  4184.908 	     -0.009
  4185.660 	     -0.013
  4186.412 	     -0.019
  4187.164 	     -0.029
  4187.917 	     -0.040
  4188.669 	     -0.038
  4189.422 	     -0.027
  4190.174 	     -0.021
  4190.927 	     -0.029
  4191.680 	     -0.040
  4192.433 	     -0.036
  4193.186 	     -0.035
  4193.940 	     -0.048
  4194.693 	     -0.050
  4195.447 	     -0.037
  4196.201 	     -0.026
  4196.955 	     -0.024
  4197.709 	     -0.021
  4198.463 	     -0.021
  4199.217 	     -0.029
  4199.972 	     -0.051
  4200.726 	     -0.033
  4201.481 	     -0.026
  4202.236 	     -0.019
  4202.991 	     -0.006
  4203.746 	     -0.018
  4204.501 	     -0.017
  4205.257 	     -0.014
  4206.012 	     -0.009
  4206.768 	     -0.014
  4207.524 	     -0.022
  4208.280 	     -0.029
  4209.036 	     -0.037
  4209.792 	     -0.022
  4210.548 	     -0.018
  4211.305 	     -0.021
  4212.061 	     -0.037
  4212.818 	     -0.023
  4213.575 	     -0.004
  4214.332 	      0.008
  4215.089 	      0.006
  4215.846 	     -0.005
  4216.604 	     -0.007
  4217.361 	     -0.010
  4218.119 	     -0.020
  4218.877 	     -0.018
  4219.635 	     -0.018
  4220.393 	     -0.020
  4221.151 	     -0.027
  4221.910 	     -0.019
  4222.668 	     -0.006
  4223.427 	      0.002
  4224.186 	     -0.000
  4224.945 	      0.013
  4225.704 	      0.019
  4226.463 	      0.021
  4227.222 	      0.019
  4227.982 	      0.004
  4228.741 	      0.012
  4229.501 	      0.006
  4230.261 	     -0.023
  4231.021 	      0.024
  4231.781 	     -0.007
  4232.542 	     -0.013
  4233.302 	      0.011
  4234.063 	      0.010
  4234.823 	      0.014
  4235.584 	      0.008
  4236.345 	     -0.005
  4237.106 	      0.015
  4237.868 	      0.000
  4238.629 	     -0.001
  4239.390 	      0.007
  4240.152 	      0.016
  4240.914 	      0.009
  4241.676 	      0.000
