Line    	 Rest_wv 	 Center  	 dCenter 	 Amp     	         dAmp    	 Sigma    	 dSig     	 Flux    	         dFlux   	 Pos     	 dPos    	 Vel     	 Rel_Vel 	         dVel    	 flu_per 	 fwhm    
[OI]a   	 6300.300	 6361.753	    0.181	 3.123e-17	         3.292e-18	    1.801	    0.168	 1.410e-16	 1.983e-17	   -9.197	            0.378	 2909.888	 2909.888	    8.522	   14.066	    4.240
[OI]b   	 6363.800	 6425.872	    0.181	 1.007e-17	         3.292e-18	    1.801	    0.168	 4.547e-17	 1.545e-17	   -9.197	            0.378	 2909.888	 2909.888	    8.437	   33.976	    4.240
[NII]b  	 6548.100	 6611.583	    0.302	 2.569e-16	         1.620e-16	    1.679	    0.237	 1.081e-15	 6.986e-16	           -9.197	    0.378	 2892.360	 2892.360	   13.696	           64.619	    3.953
Halpha  	 6562.800	 6626.391	    0.226	 1.579e-15	         2.766e-16	    1.576	    0.169	 6.240e-15	 1.282e-15	           -9.197	    0.378	 2890.812	 2890.812	   10.217	           20.543	    3.712
[NII]a  	 6583.500	 6647.326	    0.302	 7.450e-16	         1.620e-16	    1.688	    0.237	 3.152e-15	 8.159e-16	           -9.197	    0.378	 2892.360	 2892.360	   13.622	           25.884	    3.975
[SII]a  	 6716.400	 6781.477	    0.489	 2.321e-16	         9.540e-17	    1.718	    0.380	 9.991e-16	 4.663e-16	           -9.197	    0.378	 2890.698	 2890.698	   21.594	           46.671	    4.045
[SII]b  	 6730.800	 6796.017	    0.489	 1.661e-16	         7.912e-17	    1.721	    0.380	 7.165e-16	 3.761e-16	           -9.197	    0.378	 2890.698	 2890.698	   21.548	           52.499	    4.053
Hbeta   	 4861.000	 4908.666	    0.308	 1.339e-16	         3.728e-17	    1.270	    0.206	 4.262e-16	 1.373e-16	           -9.197	    0.378	 2925.270	 2925.270	   18.835	           32.222	    2.991
[OIII]49	 4959.000	 5007.062	    0.547	 1.091e-17	         1.503e-17	    1.362	    0.309	 3.724e-17	 5.200e-17	           -9.197	    0.378	 2891.499	 2891.499	   32.752	          139.634	    3.206
[OIII]50	 5007.000	 5055.529	    0.547	 3.273e-17	         1.503e-17	    1.362	    0.309	 1.117e-16	 5.722e-17	           -9.197	    0.378	 2891.557	 2891.557	   32.438	           51.221	    3.206
