WV      	 Sigma   
4184.326	    0.074
4185.077	    0.092
4185.828	    0.108
4186.580	    0.122
4187.331	    0.110
4188.083	    0.113
4188.835	    0.100
4189.586	    0.056
4190.339	    0.055
4191.091	    0.062
4191.843	    0.117
4192.595	    0.168
4193.348	    0.103
4194.101	    0.040
4194.853	    0.038
4195.606	    0.126
4196.359	    0.262
4197.113	    0.239
4197.866	    0.212
4198.620	    0.210
4199.373	    0.132
4200.127	    0.100
4200.881	    0.133
4201.635	    0.133
4202.389	    0.110
4203.143	    0.124
4203.898	    0.163
4204.652	    0.143
4205.407	    0.152
4206.162	    0.120
4206.917	    0.056
4207.672	    0.066
4208.427	    0.043
4209.183	    0.100
4209.938	    0.139
4210.694	    0.164
4211.450	    0.067
4212.206	    0.074
4212.962	    0.075
4213.718	    0.069
4214.474	    0.088
4215.231	    0.080
4215.987	    0.055
4216.744	    0.064
4217.501	    0.112
4218.258	    0.153
4219.015	    0.177
4219.773	    0.183
4220.530	    0.099
4221.288	    0.184
4222.045	    0.215
4222.803	    0.199
4223.561	    0.091
4224.319	    0.057
4225.077	    0.031
4225.836	    0.102
4226.594	    0.183
4227.353	    0.163
4228.112	    0.091
4228.871	    0.162
4229.630	    0.085
4230.389	    0.125
4231.148	    0.132
4231.908	    0.123
4232.667	    0.131
4233.427	    0.072
4234.187	    0.066
4234.947	    0.138
4235.707	    0.141
4236.468	    0.152
4237.228	    0.190
4237.989	    0.116
4238.749	    0.119
4239.510	    0.133
4240.271	    0.188
4241.032	    0.195
4241.793	    0.120
4242.555	    0.099
4243.316	    0.055
4244.078	    0.073
4244.840	    0.110
4245.602	    0.152
4246.364	    0.137
4247.126	    0.046
4247.888	    0.217
4248.651	    0.144
4249.413	    0.158
4250.176	    0.191
4250.939	    0.078
4251.702	    0.093
4252.465	    0.029
4253.229	    0.091
4253.992	    0.098
4254.756	    0.085
4255.519	    0.113
4256.283	    0.135
4257.047	    0.137
4257.811	    0.095
4258.575	    0.054
4259.340	    0.084
4260.104	    0.071
4260.869	    0.127
4261.634	    0.129
4262.399	    0.083
4263.164	    0.126
4263.929	    0.105
4264.695	    0.108
4265.460	    0.109
4266.226	    0.105
4266.991	    0.191
4267.757	    0.190
4268.523	    0.135
4269.290	    0.094
4270.056	    0.124
4270.822	    0.043
4271.589	    0.076
4272.356	    0.117
4273.123	    0.034
4273.890	    0.194
4274.657	    0.171
4275.424	    0.106
4276.191	    0.088
4276.959	    0.112
4277.727	    0.104
4278.494	    0.087
4279.262	    0.059
4280.031	    0.095
4280.799	    0.163
4281.567	    0.193
4282.336	    0.195
4283.104	    0.069
4283.873	    0.091
4284.642	    0.127
4285.411	    0.142
4286.180	    0.158
4286.950	    0.177
4287.719	    0.163
4288.489	    0.133
4289.259	    0.112
4290.029	    0.160
4290.799	    0.133
4291.569	    0.091
4292.339	    0.092
4293.110	    0.084
4293.880	    0.077
4294.651	    0.022
4295.422	    0.088
4296.193	    0.104
4296.964	    0.038
4297.735	    0.065
4298.507	    0.132
4299.278	    0.186
4300.050	    0.205
4300.822	    0.227
4301.594	    0.237
4302.366	    0.194
4303.138	    0.148
4303.910	    0.193
4304.683	    0.203
4305.456	    0.055
4306.229	    0.125
4307.001	    0.123
4307.775	    0.142
4308.548	    0.178
4309.321	    0.089
4310.095	    0.172
4310.868	    0.156
4311.642	    0.038
4312.416	    0.132
4313.190	    0.084
4313.964	    0.146
4314.739	    0.169
4315.513	    0.075
4316.288	    0.075
4317.062	    0.118
4317.837	    0.140
4318.612	    0.147
4319.388	    0.112
4320.163	    0.077
4320.938	    0.121
4321.714	    0.110
4322.490	    0.136
4323.266	    0.157
4324.042	    0.160
4324.818	    0.140
4325.594	    0.035
