1 1 1184.46 1189.15
65.0836 
0.4709 
name    flux    f_err    vel    sig
Hgamma      	   4.38220	      0.14	 2882.9852	     77.20
Hbeta       	   4.78899	      0.13	 2882.9852	     77.20
Halpha      	  17.47281	      0.12	 2882.9852	     77.20
[SII]6716   	   3.44524	      0.10	 2908.3372	      0.54
[SII]6731   	  15.92311	      0.10	 2908.3372	      0.54
[OIII]5007_d	   1.15696	      0.15	 2908.3372	      0.54
[OI]6300_d  	   3.46428	      0.13	 2908.3372	      0.54
[NII]6583_d 	  12.63771	      0.13	 2908.3372	      0.54
