Line    	 Rest_wv 	 Center  	 dCenter 	 Amp     	         dAmp    	 Sigma    	 dSig     	 Flux    	         dFlux   	 Pos     	 dPos    	 Vel     	 Rel_Vel 	         dVel    	 flu_per 	 fwhm    
[OI]a   	 6300.300	 6359.813	    0.363	 1.560e-17	         3.923e-18	    1.400	    0.275	 5.473e-17	 1.747e-17	    8.129	            0.378	 2818.497	 2818.497	   17.131	   31.919	    3.297
[OI]b   	 6363.800	 6423.913	    0.363	 5.031e-18	         3.923e-18	    1.400	    0.275	 1.766e-17	 1.420e-17	    8.129	            0.378	 2818.497	 2818.497	   16.960	   80.421	    3.297
[NII]b  	 6548.100	 6611.107	    1.097	 1.905e-17	         3.057e-17	    2.270	    0.919	 1.084e-16	 1.794e-16	            8.129	    0.378	 2870.795	 2870.795	   49.726	          165.492	    5.344
Halpha  	 6562.800	 6626.312	    0.999	 8.162e-17	         4.131e-17	    2.376	    0.829	 4.862e-16	 2.988e-16	            8.129	    0.378	 2887.206	 2887.206	   45.176	           61.467	    5.596
[NII]a  	 6583.500	 6646.848	    1.097	 5.525e-17	         3.057e-17	    2.282	    0.919	 3.160e-16	 2.163e-16	            8.129	    0.378	 2870.795	 2870.795	   49.459	           68.434	    5.373
[SII]a  	 6716.400	 6782.120	    0.446	 2.501e-17	         2.813e-17	    1.043	    0.345	 6.538e-17	 7.663e-17	            8.129	    0.378	 2919.139	 2919.139	   19.713	          117.208	    2.456
[SII]b  	 6730.800	 6796.661	    0.446	 1.478e-16	         8.152e-17	    1.045	    0.345	 3.873e-16	 2.488e-16	            8.129	    0.378	 2919.139	 2919.139	   19.671	           64.251	    2.461
Hbeta   	 4861.000	 4907.641	    0.470	 2.342e-17	         8.093e-18	    1.512	    0.330	 8.872e-17	 3.627e-17	            8.129	    0.378	 2862.719	 2862.719	   28.716	           40.881	    3.559
[OIII]49	 4959.000	 5005.382	    0.781	 2.231e-18	         4.907e-18	    1.029	    0.689	 5.756e-18	 1.323e-17	            8.129	    0.378	 2790.874	 2790.874	   46.794	          229.941	    2.424
[OIII]50	 5007.000	 5053.832	    0.781	 6.692e-18	         4.907e-18	    1.029	    0.689	 1.727e-17	 1.714e-17	            8.129	    0.378	 2790.932	 2790.932	   46.346	           99.274	    2.424
