Line    	 Rest_wv 	 Center  	 dCenter 	 Amp     	         dAmp    	 Sigma    	 dSig     	 Flux    	         dFlux   	 Pos     	 dPos    	 Vel     	 Rel_Vel 	         dVel    	 flu_per 	 fwhm    
[OI]a   	 6300.300	 6365.775	    0.099	 5.621e-16	         2.561e-17	    2.226	    0.089	 3.137e-15	 1.904e-16	    2.509	            0.553	 3099.345	 3099.345	    4.675	    6.068	    5.243
[OI]b   	 6363.800	 6429.935	    0.099	 1.813e-16	         2.561e-17	    2.226	    0.089	 1.012e-15	 1.486e-16	    2.509	            0.553	 3099.345	 3099.345	    4.628	   14.682	    5.243
[NII]b  	 6548.100	 6617.232	    0.321	 9.454e-16	         3.985e-16	    2.568	    0.264	 6.085e-15	 2.640e-15	            2.509	    0.553	 3148.373	 3148.373	   14.526	           43.387	    6.046
Halpha  	 6562.800	 6631.962	    0.271	 4.387e-15	         5.825e-16	    2.427	    0.216	 2.669e-14	 4.264e-15	            2.509	    0.553	 3142.725	 3142.725	   12.271	           15.974	    5.715
[NII]a  	 6583.500	 6653.006	    0.321	 2.742e-15	         3.985e-16	    2.581	    0.264	 1.774e-14	 3.154e-15	            2.509	    0.553	 3148.373	 3148.373	   14.448	           17.777	    6.079
[SII]a  	 6716.400	 6787.241	    0.511	 6.771e-16	         2.169e-16	    2.233	    0.377	 3.791e-15	 1.372e-15	            2.509	    0.553	 3145.369	 3145.369	   22.562	           36.204	    5.259
[SII]b  	 6730.800	 6801.793	    0.511	 5.294e-16	         1.866e-16	    2.238	    0.377	 2.970e-15	 1.160e-15	            2.509	    0.553	 3145.369	 3145.369	   22.514	           39.064	    5.270
Hbeta   	 4861.000	 4912.552	    0.254	 7.488e-16	         1.152e-16	    1.912	    0.184	 3.588e-15	 6.512e-16	            2.509	    0.553	 3162.499	 3162.499	   15.526	           18.146	    4.502
[OIII]49	 4959.000	 5011.417	    0.438	 8.866e-17	         5.892e-17	    2.269	    0.354	 5.043e-16	 3.442e-16	            2.509	    0.553	 3152.085	 3152.085	   26.197	           68.257	    5.343
[OIII]50	 5007.000	 5059.925	    0.438	 2.660e-16	         5.892e-17	    2.269	    0.354	 1.513e-15	 4.099e-16	            2.509	    0.553	 3152.143	 3152.143	   25.946	           27.096	    5.343
